ts,run_id,batch_id,group,step_kind,n,pos_share,label_dist,acc,f1_macro,precision,recall,mix_weights,mix_alloc,wall_pred_sec,cpu_pred_sec,cpu_pred_pct,rss_mb
2026-01-29 02:58:18,cfpb_company_sudden__retrain_p4_last_window_wb4_fit__025816,11,A,group,500,,"{""0"": 237, ""5"": 142, ""1"": 34, ""2"": 51, ""4"": 33, ""3"": 3}",0.626,0.4267431598657471,0.4395972032223742,0.42130768848596284,,,0.021997451782226562,0.015625,71.03095465186856,
2026-01-29 02:58:18,cfpb_company_sudden__retrain_p4_last_window_wb4_fit__025816,12,A,group,500,,"{""2"": 49, ""0"": 234, ""4"": 32, ""5"": 157, ""1"": 21, ""3"": 7}",0.596,0.37236303988848607,0.37370735139785943,0.3737476069283394,,,0.018998146057128906,0.015625,82.24486722554089,
2026-01-29 02:58:18,cfpb_company_sudden__retrain_p4_last_window_wb4_fit__025816,13,A,group,500,,"{""0"": 242, ""5"": 154, ""2"": 42, ""1"": 29, ""4"": 28, ""3"": 5}",0.59,0.38740054000849994,0.399050866944674,0.38499074941081207,,,0.016997814178466797,0.015625,91.92358403231688,
2026-01-29 02:58:18,cfpb_company_sudden__retrain_p4_last_window_wb4_fit__025816,14,A,group,500,,"{""0"": 251, ""5"": 153, ""2"": 44, ""4"": 19, ""1"": 25, ""3"": 8}",0.656,0.4112761421098841,0.40866547964556305,0.4181535292568559,,,0.018999099731445312,0.015625,82.24073888163839,
2026-01-29 02:58:18,cfpb_company_sudden__retrain_p4_last_window_wb4_fit__025816,15,A,group,500,,"{""5"": 146, ""0"": 243, ""4"": 36, ""2"": 45, ""1"": 27, ""3"": 3}",0.632,0.4012538668731953,0.4099757229068304,0.3971602119623428,,,0.020999908447265625,0.015625,74.40508628519528,
2026-01-29 02:58:18,cfpb_company_sudden__retrain_p4_last_window_wb4_fit__025816,16,A,group,500,,"{""4"": 33, ""0"": 241, ""5"": 161, ""2"": 38, ""3"": 6, ""1"": 21}",0.614,0.36511119059104674,0.36956806252563373,0.3657996497922626,,,0.021999597549438477,0.015625,71.02402652997085,
2026-01-29 02:58:18,cfpb_company_sudden__retrain_p4_last_window_wb4_fit__025816,17,A,group,500,,"{""0"": 250, ""2"": 55, ""1"": 19, ""5"": 139, ""3"": 6, ""4"": 31}",0.608,0.3757377269880693,0.3652888858246001,0.3919684751658466,,,0.019997835159301758,0.03125,156.26691464883103,
2026-01-29 02:58:18,cfpb_company_sudden__retrain_p4_last_window_wb4_fit__025816,18,A,group,500,,"{""0"": 260, ""2"": 42, ""5"": 134, ""1"": 32, ""4"": 30, ""3"": 2}",0.61,0.39750278181842463,0.41859625687966245,0.3879632287281541,,,0.019998550415039062,0.015625,78.13066285169289,
2026-01-29 02:58:19,cfpb_company_sudden__retrain_p4_last_window_wb4_fit__025816,19,A,group,500,,"{""5"": 130, ""4"": 31, ""0"": 258, ""2"": 46, ""1"": 29, ""3"": 6}",0.622,0.44123928111859745,0.4621692566919005,0.429038855935104,,,0.019999980926513672,0.015625,78.12507450587702,
2026-01-29 02:58:19,cfpb_company_sudden__retrain_p4_last_window_wb4_fit__025816,20,A,group,500,,"{""0"": 255, ""2"": 43, ""5"": 145, ""1"": 26, ""3"": 6, ""4"": 25}",0.598,0.35882247171566,0.37591432284414744,0.35129483611345963,,,0.0169985294342041,0.015625,91.91971611708767,
