ts,run_id,batch_id,group,step_kind,n,pos_share,label_dist,acc,f1_macro,precision,recall,mix_weights,mix_alloc,wall_pred_sec,cpu_pred_sec,cpu_pred_pct,rss_mb
2026-01-29 02:55:00,cfpb_company_sudden__drift_detected_ADWIN_last_window_wb1_update__025458,11,A,group,500,,"{""0"": 237, ""5"": 142, ""1"": 34, ""2"": 51, ""4"": 33, ""3"": 3}",0.674,0.4345246293300844,0.523234230442001,0.40422914980348934,,,0.02000260353088379,0.03125,156.22966256242773,
2026-01-29 02:55:00,cfpb_company_sudden__drift_detected_ADWIN_last_window_wb1_update__025458,12,A,group,500,,"{""2"": 49, ""0"": 234, ""4"": 32, ""5"": 157, ""1"": 21, ""3"": 7}",0.654,0.40438475678023167,0.5084538695782715,0.3865131131253743,,,0.017999649047851562,0.015625,86.80724806612271,
2026-01-29 02:55:00,cfpb_company_sudden__drift_detected_ADWIN_last_window_wb1_update__025458,13,A,group,500,,"{""0"": 242, ""5"": 154, ""2"": 42, ""1"": 29, ""4"": 28, ""3"": 5}",0.656,0.37780353068796074,0.46691154342317337,0.35399901387362204,,,0.01829361915588379,0.015625,85.41229522084218,
2026-01-29 02:55:00,cfpb_company_sudden__drift_detected_ADWIN_last_window_wb1_update__025458,14,A,group,500,,"{""0"": 251, ""5"": 153, ""2"": 44, ""4"": 19, ""1"": 25, ""3"": 8}",0.702,0.4141568812830209,0.4786200382963308,0.3912912586449399,,,0.01799917221069336,0.015625,86.80954777863141,
2026-01-29 02:55:00,cfpb_company_sudden__drift_detected_ADWIN_last_window_wb1_update__025458,15,A,group,500,,"{""5"": 146, ""0"": 243, ""4"": 36, ""2"": 45, ""1"": 27, ""3"": 3}",0.68,0.4371499085292189,0.545331560726377,0.400505477572956,,,0.02811145782470703,0.03125,111.16463683549887,
2026-01-29 02:55:00,cfpb_company_sudden__drift_detected_ADWIN_last_window_wb1_update__025458,16,A,group,500,,"{""4"": 33, ""0"": 241, ""5"": 161, ""2"": 38, ""3"": 6, ""1"": 21}",0.66,0.39529029539637955,0.44705840883961495,0.37699609524908384,,,0.008141040802001953,0.015625,191.92877643062144,
2026-01-29 02:55:00,cfpb_company_sudden__drift_detected_ADWIN_last_window_wb1_update__025458,17,A,group,500,,"{""0"": 250, ""2"": 55, ""1"": 19, ""5"": 139, ""3"": 6, ""4"": 31}",0.664,0.3895221975593677,0.49493372823499265,0.3639681768399141,,,0.01799941062927246,0.015625,86.80839790714617,
2026-01-29 02:55:00,cfpb_company_sudden__drift_detected_ADWIN_last_window_wb1_update__025458,18,A,group,500,,"{""0"": 260, ""2"": 42, ""5"": 134, ""1"": 32, ""4"": 30, ""3"": 2}",0.718,0.46363713294406367,0.5602475454046201,0.42588328959597616,,,0.017910242080688477,0.015625,87.24058518922804,
2026-01-29 02:55:00,cfpb_company_sudden__drift_detected_ADWIN_last_window_wb1_update__025458,19,A,group,500,,"{""5"": 130, ""4"": 31, ""0"": 258, ""2"": 46, ""1"": 29, ""3"": 6}",0.676,0.4012823711807747,0.4787424809896721,0.3811018534243756,,,0.017001867294311523,0.015625,91.90167014906537,
2026-01-29 02:55:00,cfpb_company_sudden__drift_detected_ADWIN_last_window_wb1_update__025458,20,A,group,500,,"{""0"": 255, ""2"": 43, ""5"": 145, ""1"": 26, ""3"": 6, ""4"": 25}",0.69,0.40323705358578416,0.49048297381630723,0.37243524630052294,,,0.018065452575683594,0.015625,86.49105210367945,
2026-01-29 02:55:00,cfpb_company_sudden__drift_detected_ADWIN_last_window_wb1_update__025458,21,B,group,500,,"{""1"": 30, ""4"": 44, ""0"": 236, ""5"": 95, ""2"": 87, ""3"": 8}",0.554,0.34650743786309973,0.47159230842095295,0.3261702120718085,,,0.02805185317993164,0.03125,111.40083972190587,
2026-01-29 02:55:00,cfpb_company_sudden__drift_detected_ADWIN_last_window_wb1_update__025458,22,B,group,500,,"{""0"": 226, ""5"": 83, ""4"": 60, ""2"": 85, ""1"": 39, ""3"": 7}",0.55,0.3427236035527865,0.4145709123757904,0.33504996105298407,,,0.02399897575378418,0.015625,65.10694523092818,
2026-01-29 02:55:00,cfpb_company_sudden__drift_detected_ADWIN_last_window_wb1_update__025458,23,B,group,500,,"{""2"": 80, ""0"": 239, ""1"": 43, ""5"": 70, ""4"": 53, ""3"": 15}",0.566,0.3644349862667689,0.4736688442828794,0.33774446921793716,,,0.02100086212158203,0.015625,74.4017074610599,
2026-01-29 02:55:00,cfpb_company_sudden__drift_detected_ADWIN_last_window_wb1_update__025458,24,B,group,500,,"{""3"": 14, ""4"": 60, ""5"": 98, ""0"": 217, ""2"": 69, ""1"": 42}",0.544,0.3577192982456141,0.46052041046936276,0.34398234282025103,,,0.025412321090698242,0.015625,61.48592229821648,
2026-01-29 02:55:00,cfpb_company_sudden__drift_detected_ADWIN_last_window_wb1_update__025458,25,B,group,500,,"{""5"": 92, ""1"": 33, ""4"": 49, ""2"": 74, ""0"": 241, ""3"": 11}",0.574,0.3696057391192094,0.48984439043805805,0.3522032353666847,,,0.023056983947753906,0.015625,67.7668858832775,
2026-01-29 02:55:00,cfpb_company_sudden__drift_detected_ADWIN_last_window_wb1_update__025458,26,B,group,500,,"{""5"": 89, ""2"": 78, ""0"": 223, ""1"": 47, ""3"": 11, ""4"": 52}",0.524,0.3301535695652653,0.442627849748158,0.3134275351556703,,,0.023907184600830078,0.015625,65.35692203362787,
2026-01-29 02:55:00,cfpb_company_sudden__drift_detected_ADWIN_last_window_wb1_update__025458,27,B,group,500,,"{""0"": 231, ""5"": 80, ""4"": 63, ""3"": 9, ""1"": 44, ""2"": 73}",0.546,0.3201177617632471,0.4258977530406101,0.30725450031956886,,,0.02209186553955078,0.015625,70.72739045974531,
2026-01-29 02:55:00,cfpb_company_sudden__drift_detected_ADWIN_last_window_wb1_update__025458,28,B,group,500,,"{""4"": 54, ""2"": 82, ""1"": 50, ""5"": 87, ""0"": 210, ""3"": 17}",0.492,0.29859289027145514,0.39627082611678244,0.3018426552628964,,,0.023098468780517578,0.015625,67.6451766065936,
2026-01-29 02:55:00,cfpb_company_sudden__drift_detected_ADWIN_last_window_wb1_update__025458,29,B,group,500,,"{""4"": 56, ""2"": 79, ""0"": 222, ""3"": 11, ""5"": 86, ""1"": 46}",0.516,0.3210732135581497,0.42624595749595745,0.3134122021007509,,,0.019999027252197266,0.015625,78.12879998092559,
2026-01-29 02:55:00,cfpb_company_sudden__drift_detected_ADWIN_last_window_wb1_update__025458,30,B,group,500,,"{""0"": 223, ""5"": 100, ""2"": 64, ""1"": 51, ""4"": 57, ""3"": 5}",0.512,0.31088994528223696,0.4591162475091046,0.2967781297772039,,,0.02185201644897461,0.03125,143.00739738582058,
2026-01-29 02:55:00,cfpb_company_sudden__drift_detected_ADWIN_last_window_wb1_update__025458,31,B,group,500,,"{""0"": 218, ""5"": 85, ""4"": 53, ""1"": 49, ""2"": 85, ""3"": 10}",0.516,0.32005469256881186,0.4180258800260252,0.30900297110362235,,,0.024111032485961914,0.03125,129.60871757853832,
2026-01-29 02:55:01,cfpb_company_sudden__drift_detected_ADWIN_last_window_wb1_update__025458,32,B,group,500,,"{""0"": 227, ""5"": 89, ""4"": 67, ""2"": 62, ""3"": 10, ""1"": 45}",0.496,0.28070614239181013,0.35689562787881485,0.2803344305535092,,,0.026510953903198242,0.03125,117.87580376815505,
2026-01-29 02:55:01,cfpb_company_sudden__drift_detected_ADWIN_last_window_wb1_update__025458,33,B,group,500,,"{""4"": 63, ""2"": 57, ""0"": 235, ""5"": 88, ""3"": 12, ""1"": 45}",0.542,0.3119214330255973,0.3901409048467872,0.3135049705178485,,,0.023999929428100586,0.03125,130.20871621151764,
2026-01-29 02:55:01,cfpb_company_sudden__drift_detected_ADWIN_last_window_wb1_update__025458,34,B,group,500,,"{""0"": 230, ""4"": 52, ""1"": 48, ""5"": 92, ""2"": 73, ""3"": 5}",0.52,0.3064722107628672,0.40210420842009836,0.2977565375197894,,,0.025266170501708984,0.03125,123.6831675694038,
2026-01-29 02:55:01,cfpb_company_sudden__drift_detected_ADWIN_last_window_wb1_update__025458,35,B,group,500,,"{""0"": 229, ""5"": 75, ""4"": 66, ""2"": 66, ""3"": 19, ""1"": 45}",0.518,0.3090402019027203,0.4008192192694115,0.30100466087365646,,,0.0260469913482666,0.015625,59.98773444150518,
2026-01-29 02:55:01,cfpb_company_sudden__drift_detected_ADWIN_last_window_wb1_update__025458,36,B,group,500,,"{""1"": 52, ""0"": 225, ""5"": 96, ""2"": 62, ""4"": 56, ""3"": 9}",0.538,0.3215859050236032,0.423254561351504,0.30797769211075665,,,0.021998882293701172,0.015625,71.02633575376612,
2026-01-29 02:55:01,cfpb_company_sudden__drift_detected_ADWIN_last_window_wb1_update__025458,37,B,group,500,,"{""4"": 59, ""5"": 93, ""0"": 243, ""1"": 45, ""2"": 53, ""3"": 7}",0.544,0.3140284729173618,0.40461555409456557,0.30521882235026204,,,0.02052903175354004,0.015625,76.11172405783635,
2026-01-29 02:55:01,cfpb_company_sudden__drift_detected_ADWIN_last_window_wb1_update__025458,38,B,group,500,,"{""0"": 235, ""2"": 69, ""5"": 92, ""4"": 56, ""1"": 35, ""3"": 13}",0.524,0.3185476084049777,0.4183862433862435,0.3102679030292351,,,0.019999980926513672,0.03125,156.25014901175405,
2026-01-29 02:55:01,cfpb_company_sudden__drift_detected_ADWIN_last_window_wb1_update__025458,39,B,group,500,,"{""2"": 76, ""5"": 101, ""0"": 211, ""4"": 62, ""1"": 45, ""3"": 5}",0.502,0.3150879321036251,0.4590989154613833,0.3106170404829785,,,0.023000001907348633,0.03125,135.86955394997358,
2026-01-29 02:55:01,cfpb_company_sudden__drift_detected_ADWIN_last_window_wb1_update__025458,40,B,group,500,,"{""0"": 237, ""5"": 90, ""4"": 67, ""2"": 57, ""1"": 39, ""3"": 10}",0.552,0.33527705224261894,0.4252236652236652,0.3238671320507311,,,0.021999359130859375,0.015625,71.02479625455176,
2026-01-29 02:55:01,cfpb_company_sudden__drift_detected_ADWIN_last_window_wb1_update__025458,41,B,group,500,,"{""0"": 224, ""1"": 45, ""4"": 54, ""2"": 69, ""5"": 99, ""3"": 9}",0.526,0.299348605201228,0.3940608315206644,0.2947631508319914,,,0.021000146865844727,0.015625,74.40424155039112,
2026-01-29 02:55:01,cfpb_company_sudden__drift_detected_ADWIN_last_window_wb1_update__025458,42,B,group,500,,"{""1"": 41, ""0"": 197, ""2"": 91, ""4"": 66, ""5"": 98, ""3"": 7}",0.452,0.2815294176195196,0.3851706364616813,0.2756395870706347,,,0.022999286651611328,0.015625,67.93688968133851,
2026-01-29 02:55:01,cfpb_company_sudden__drift_detected_ADWIN_last_window_wb1_update__025458,43,B,group,500,,"{""0"": 210, ""4"": 63, ""2"": 67, ""1"": 61, ""5"": 86, ""3"": 13}",0.496,0.3116405610924321,0.3555928550114597,0.31274898164383264,,,0.022000551223754883,0.015625,71.02094779847633,
2026-01-29 02:55:01,cfpb_company_sudden__drift_detected_ADWIN_last_window_wb1_update__025458,44,B,group,500,,"{""0"": 239, ""5"": 97, ""1"": 26, ""2"": 70, ""4"": 55, ""3"": 13}",0.532,0.3331766381766382,0.38801615297127395,0.33946239887878155,,,0.020999670028686523,0.015625,74.40593103918074,
2026-01-29 02:55:01,cfpb_company_sudden__drift_detected_ADWIN_last_window_wb1_update__025458,45,B,group,500,,"{""0"": 229, ""2"": 77, ""1"": 45, ""5"": 79, ""4"": 58, ""3"": 12}",0.528,0.33400272025272026,0.42037851451819924,0.3228489382370432,,,0.02395176887512207,0.015625,65.23526542638437,
