ts,run_id,batch_id,group,step_kind,n,pos_share,label_dist,acc,f1_macro,precision,recall,mix_weights,mix_alloc,wall_pred_sec,cpu_pred_sec,cpu_pred_pct,rss_mb
2026-01-29 02:52:11,cfpb_company_sudden__retrain_p2_last_window_wb2_fit__025209,11,A,group,500,,"{""0"": 237, ""5"": 142, ""1"": 34, ""2"": 51, ""4"": 33, ""3"": 3}",0.674,0.4345246293300844,0.523234230442001,0.40422914980348934,,,0.018012285232543945,0.015625,86.7463500509603,
2026-01-29 02:52:11,cfpb_company_sudden__retrain_p2_last_window_wb2_fit__025209,12,A,group,500,,"{""2"": 49, ""0"": 234, ""4"": 32, ""5"": 157, ""1"": 21, ""3"": 7}",0.654,0.40438475678023167,0.5084538695782715,0.3865131131253743,,,0.019405841827392578,0.015625,80.51699142442932,
2026-01-29 02:52:11,cfpb_company_sudden__retrain_p2_last_window_wb2_fit__025209,13,A,group,500,,"{""0"": 242, ""5"": 154, ""2"": 42, ""1"": 29, ""4"": 28, ""3"": 5}",0.628,0.3387110597225178,0.4195782246629704,0.3226222140798944,,,0.016083240509033203,0.015625,97.15081976933796,
2026-01-29 02:52:11,cfpb_company_sudden__retrain_p2_last_window_wb2_fit__025209,14,A,group,500,,"{""0"": 251, ""5"": 153, ""2"": 44, ""4"": 19, ""1"": 25, ""3"": 8}",0.676,0.3832069012361292,0.476436349029617,0.35629815291792766,,,0.02013540267944336,0.015625,77.59964004073223,
2026-01-29 02:52:11,cfpb_company_sudden__retrain_p2_last_window_wb2_fit__025209,15,A,group,500,,"{""5"": 146, ""0"": 243, ""4"": 36, ""2"": 45, ""1"": 27, ""3"": 3}",0.656,0.371871633712967,0.4878300793349035,0.35772215645376476,,,0.018018007278442383,0.03125,173.4376033768674,
2026-01-29 02:52:11,cfpb_company_sudden__retrain_p2_last_window_wb2_fit__025209,16,A,group,500,,"{""4"": 33, ""0"": 241, ""5"": 161, ""2"": 38, ""3"": 6, ""1"": 21}",0.658,0.35265648941551,0.3908010046728221,0.34270081964186433,,,0.019521236419677734,0.015625,80.04103666430544,
2026-01-29 02:52:11,cfpb_company_sudden__retrain_p2_last_window_wb2_fit__025209,17,A,group,500,,"{""0"": 250, ""2"": 55, ""1"": 19, ""5"": 139, ""3"": 6, ""4"": 31}",0.642,0.3694072099395753,0.49221177779134195,0.34664553216201544,,,0.018009185791015625,0.015625,86.76127938995975,
2026-01-29 02:52:11,cfpb_company_sudden__retrain_p2_last_window_wb2_fit__025209,18,A,group,500,,"{""0"": 260, ""2"": 42, ""5"": 134, ""1"": 32, ""4"": 30, ""3"": 2}",0.684,0.38061067697287204,0.5696410315583634,0.3511005526397317,,,0.018012285232543945,0.015625,86.7463500509603,
2026-01-29 02:52:12,cfpb_company_sudden__retrain_p2_last_window_wb2_fit__025209,19,A,group,500,,"{""5"": 130, ""4"": 31, ""0"": 258, ""2"": 46, ""1"": 29, ""3"": 6}",0.682,0.40786293366840604,0.4806732465065798,0.39111816309899566,,,0.017015695571899414,0.03125,183.65396740881897,
2026-01-29 02:52:12,cfpb_company_sudden__retrain_p2_last_window_wb2_fit__025209,20,A,group,500,,"{""0"": 255, ""2"": 43, ""5"": 145, ""1"": 26, ""3"": 6, ""4"": 25}",0.684,0.3764982167095772,0.46446437696437703,0.35082867156691394,,,0.016012907028198242,0.015625,97.57753525006328,
