ts,run_id,batch_id,group,step_kind,n,pos_share,label_dist,acc,f1_macro,precision,recall,mix_weights,mix_alloc,wall_pred_sec,cpu_pred_sec,cpu_pred_pct,rss_mb
2026-01-28 04:12:18,BE_gradual__drift_detected_ADWIN_all_seen_fit__041218,6,books,group,500,0.894,"{""1"": 447, ""0"": 53}",0.894,0.4720168954593453,0.447,0.5,,,0.024194717407226562,0.015625,64.58021284982263,
2026-01-28 04:12:18,BE_gradual__drift_detected_ADWIN_all_seen_fit__041218,7,books,group,500,0.896,"{""1"": 448, ""0"": 52}",0.896,0.4725738396624473,0.448,0.5,,,0.010999917984008789,0.015625,142.04651364414678,
2026-01-28 04:12:18,BE_gradual__drift_detected_ADWIN_all_seen_fit__041218,8,books,group,500,0.89,"{""1"": 445, ""0"": 55}",0.894,0.5069859165410876,0.9467871485943775,0.5181818181818182,,,0.009000778198242188,0.015625,173.59610086882816,
2026-01-28 04:12:18,BE_gradual__drift_detected_ADWIN_all_seen_fit__041218,9,books,group,500,0.894,"{""1"": 447, ""0"": 53}",0.894,0.4720168954593453,0.447,0.5,,,0.009117841720581055,0.015625,171.36730905002221,
2026-01-28 04:12:18,BE_gradual__drift_detected_ADWIN_all_seen_fit__041218,10,books,group,500,0.884,"{""1"": 442, ""0"": 58}",0.886,0.48666222374322304,0.9428857715430862,0.5086206896551724,,,0.009508848190307617,0.015625,164.32063786575733,
2026-01-28 04:12:18,BE_gradual__drift_detected_ADWIN_all_seen_fit__041218,11,books,group,500,0.882,"{""1"": 441, ""0"": 59}",0.882,0.46865037194473963,0.441,0.5,,,0.00956869125366211,0.015625,163.2929685553396,
2026-01-28 04:12:18,BE_gradual__drift_detected_ADWIN_all_seen_fit__041218,12,books,group,500,0.914,"{""1"": 457, ""0"": 43}",0.914,0.47753396029258094,0.457,0.5,,,0.011999130249023438,0.015625,130.21777141948817,
2026-01-28 04:12:18,BE_gradual__drift_detected_ADWIN_all_seen_fit__041218,13,mix,mix,500,0.888,"{""1"": 444, ""0"": 56}",0.89,0.4883816115049022,0.9448897795591182,0.5089285714285714,"{""books"": 0.8, ""electronics"": 0.2}","{""books"": 400, ""electronics"": 100}",0.011003255844116211,0.0,0.0,
2026-01-28 04:12:18,BE_gradual__drift_detected_ADWIN_all_seen_fit__041218,14,mix,mix,500,0.896,"{""0"": 52, ""1"": 448}",0.898,0.4919407861967285,0.9488977955911824,0.5096153846153846,"{""books"": 0.8, ""electronics"": 0.2}","{""books"": 400, ""electronics"": 100}",0.008997201919555664,0.0,0.0,
2026-01-28 04:12:18,BE_gradual__drift_detected_ADWIN_all_seen_fit__041218,15,mix,mix,500,0.906,"{""1"": 453, ""0"": 47}",0.908,0.49667366946778707,0.9539078156312626,0.5106382978723404,"{""books"": 0.8, ""electronics"": 0.2}","{""books"": 400, ""electronics"": 100}",0.01000070571899414,0.0,0.0,
2026-01-28 04:12:18,BE_gradual__drift_detected_ADWIN_all_seen_fit__041218,16,mix,mix,500,0.864,"{""1"": 432, ""0"": 68}",0.864,0.46351931330472107,0.432,0.5,"{""books"": 0.8, ""electronics"": 0.2}","{""books"": 400, ""electronics"": 100}",0.010001182556152344,0.015625,156.23152474492227,
2026-01-28 04:12:18,BE_gradual__drift_detected_ADWIN_all_seen_fit__041218,17,mix,mix,500,0.848,"{""1"": 424, ""0"": 76}",0.848,0.4588744588744589,0.424,0.5,"{""books"": 0.8, ""electronics"": 0.2}","{""books"": 400, ""electronics"": 100}",0.009948492050170898,0.015625,157.0589785989887,
2026-01-28 04:12:18,BE_gradual__drift_detected_ADWIN_all_seen_fit__041218,18,mix,mix,500,0.876,"{""1"": 438, ""0"": 62}",0.876,0.466950959488273,0.438,0.5,"{""books"": 0.8, ""electronics"": 0.2}","{""books"": 400, ""electronics"": 100}",0.007993698120117188,0.015625,195.4664757814364,
2026-01-28 04:12:18,BE_gradual__drift_detected_ADWIN_all_seen_fit__041218,19,mix,mix,500,0.86,"{""1"": 430, ""0"": 70}",0.86,0.4623655913978495,0.43,0.5,"{""books"": 0.6, ""electronics"": 0.4}","{""books"": 300, ""electronics"": 200}",0.008002042770385742,0.015625,195.2626404075917,
2026-01-28 04:12:19,BE_gradual__drift_detected_ADWIN_all_seen_fit__041218,20,mix,mix,500,0.874,"{""1"": 437, ""0"": 63}",0.874,0.4663820704375667,0.437,0.5,"{""books"": 0.6, ""electronics"": 0.4}","{""books"": 300, ""electronics"": 200}",0.008999824523925781,0.015625,173.61449613224542,
2026-01-28 04:12:19,BE_gradual__drift_detected_ADWIN_all_seen_fit__041218,21,mix,mix,500,0.866,"{""1"": 433, ""0"": 67}",0.866,0.4640943193997856,0.433,0.5,"{""books"": 0.6, ""electronics"": 0.4}","{""books"": 300, ""electronics"": 200}",0.009002447128295898,0.015625,173.56391853597816,
2026-01-28 04:12:19,BE_gradual__drift_detected_ADWIN_all_seen_fit__041218,22,mix,mix,500,0.834,"{""1"": 417, ""0"": 83}",0.834,0.45474372955288983,0.417,0.5,"{""books"": 0.6, ""electronics"": 0.4}","{""books"": 300, ""electronics"": 200}",0.009005069732666016,0.015625,173.51337039978822,
2026-01-28 04:12:19,BE_gradual__drift_detected_ADWIN_all_seen_fit__041218,23,mix,mix,500,0.878,"{""1"": 439, ""0"": 61}",0.878,0.4675186368477103,0.439,0.5,"{""books"": 0.6, ""electronics"": 0.4}","{""books"": 300, ""electronics"": 200}",0.01100301742553711,0.015625,142.0065005417118,
2026-01-28 04:12:19,BE_gradual__drift_detected_ADWIN_all_seen_fit__041218,24,mix,mix,500,0.856,"{""0"": 72, ""1"": 428}",0.856,0.46120689655172414,0.428,0.5,"{""books"": 0.6, ""electronics"": 0.4}","{""books"": 300, ""electronics"": 200}",0.008998870849609375,0.015625,173.63289529461636,
2026-01-28 04:12:19,BE_gradual__drift_detected_ADWIN_all_seen_fit__041218,25,mix,mix,500,0.818,"{""1"": 409, ""0"": 91}",0.818,0.4499449944994499,0.409,0.5,"{""books"": 0.4, ""electronics"": 0.6}","{""books"": 200, ""electronics"": 300}",0.008000612258911133,0.015625,195.29755341657477,
2026-01-28 04:12:19,BE_gradual__drift_detected_ADWIN_all_seen_fit__041218,26,mix,mix,500,0.84,"{""1"": 420, ""0"": 80}",0.84,0.4565217391304348,0.42,0.5,"{""books"": 0.4, ""electronics"": 0.6}","{""books"": 200, ""electronics"": 300}",0.007003068923950195,0.015625,223.1164675041705,
2026-01-28 04:12:19,BE_gradual__drift_detected_ADWIN_all_seen_fit__041218,27,mix,mix,500,0.828,"{""1"": 414, ""0"": 86}",0.83,0.464944417167101,0.9148296593186374,0.5058139534883721,"{""books"": 0.4, ""electronics"": 0.6}","{""books"": 200, ""electronics"": 300}",0.007999897003173828,0.015625,195.31501460332598,
2026-01-28 04:12:19,BE_gradual__drift_detected_ADWIN_all_seen_fit__041218,28,mix,mix,500,0.826,"{""1"": 413, ""0"": 87}",0.828,0.4642145135566188,0.9138276553106213,0.5057471264367817,"{""books"": 0.4, ""electronics"": 0.6}","{""books"": 200, ""electronics"": 300}",0.008080720901489258,0.015625,193.36146106865723,
2026-01-28 04:12:19,BE_gradual__drift_detected_ADWIN_all_seen_fit__041218,29,mix,mix,500,0.832,"{""1"": 416, ""0"": 84}",0.832,0.45414847161572053,0.416,0.5,"{""books"": 0.4, ""electronics"": 0.6}","{""books"": 200, ""electronics"": 300}",0.008000612258911133,0.015625,195.29755341657477,
2026-01-28 04:12:19,BE_gradual__drift_detected_ADWIN_all_seen_fit__041218,30,mix,mix,500,0.834,"{""1"": 417, ""0"": 83}",0.834,0.45474372955288983,0.417,0.5,"{""books"": 0.4, ""electronics"": 0.6}","{""books"": 200, ""electronics"": 300}",0.008998394012451172,0.015625,173.64209633829685,
2026-01-28 04:12:19,BE_gradual__drift_detected_ADWIN_all_seen_fit__041218,31,mix,mix,500,0.834,"{""1"": 417, ""0"": 83}",0.836,0.467144936577251,0.9178356713426854,0.5060240963855421,"{""books"": 0.2, ""electronics"": 0.8}","{""books"": 100, ""electronics"": 400}",0.0069997310638427734,0.015625,223.22286181409447,
2026-01-28 04:12:19,BE_gradual__drift_detected_ADWIN_all_seen_fit__041218,32,mix,mix,500,0.82,"{""0"": 90, ""1"": 410}",0.82,0.45054945054945056,0.41,0.5,"{""books"": 0.2, ""electronics"": 0.8}","{""books"": 100, ""electronics"": 400}",0.006997108459472656,0.015625,223.30652855390488,
2026-01-28 04:12:19,BE_gradual__drift_detected_ADWIN_all_seen_fit__041218,33,mix,mix,500,0.806,"{""1"": 403, ""0"": 97}",0.806,0.44629014396456257,0.403,0.5,"{""books"": 0.2, ""electronics"": 0.8}","{""books"": 100, ""electronics"": 400}",0.007998943328857422,0.015625,195.33830104321908,
2026-01-28 04:12:19,BE_gradual__drift_detected_ADWIN_all_seen_fit__041218,34,mix,mix,500,0.782,"{""1"": 391, ""0"": 109}",0.782,0.4388327721661055,0.391,0.5,"{""books"": 0.2, ""electronics"": 0.8}","{""books"": 100, ""electronics"": 400}",0.0069997310638427734,0.015625,223.22286181409447,
2026-01-28 04:12:19,BE_gradual__drift_detected_ADWIN_all_seen_fit__041218,35,mix,mix,500,0.816,"{""1"": 408, ""0"": 92}",0.816,0.44933920704845814,0.408,0.5,"{""books"": 0.2, ""electronics"": 0.8}","{""books"": 100, ""electronics"": 400}",0.0070018768310546875,0.0,0.0,
2026-01-28 04:12:19,BE_gradual__drift_detected_ADWIN_all_seen_fit__041218,36,mix,mix,500,0.8,"{""1"": 400, ""0"": 100}",0.798,0.4438264738598443,0.3997995991983968,0.49875,"{""books"": 0.2, ""electronics"": 0.8}","{""books"": 100, ""electronics"": 400}",0.0060007572174072266,0.0,0.0,
2026-01-28 04:12:19,BE_gradual__drift_detected_ADWIN_all_seen_fit__041218,37,electronics,group,500,0.748,"{""0"": 126, ""1"": 374}",0.752,0.4445240825688073,0.8755020080321285,0.5079365079365079,,,0.007999658584594727,0.0,0.0,
2026-01-28 04:12:19,BE_gradual__drift_detected_ADWIN_all_seen_fit__041218,38,electronics,group,500,0.78,"{""1"": 390, ""0"": 110}",0.88,0.7853708791208791,0.9021688250897175,0.7403263403263404,,,0.01000213623046875,0.0,0.0,
2026-01-28 04:12:19,BE_gradual__drift_detected_ADWIN_all_seen_fit__041218,39,electronics,group,500,0.726,"{""0"": 137, ""1"": 363}",0.856,0.7859741742170221,0.8830247766417979,0.7508596247813235,,,0.006996631622314453,0.0,0.0,
2026-01-28 04:12:19,BE_gradual__drift_detected_ADWIN_all_seen_fit__041218,40,electronics,group,500,0.774,"{""0"": 113, ""1"": 387}",0.88,0.8050682261208577,0.8653403334254397,0.7721067435000343,,,0.006865501403808594,0.0,0.0,
2026-01-28 04:12:19,BE_gradual__drift_detected_ADWIN_all_seen_fit__041218,41,electronics,group,500,0.784,"{""1"": 392, ""0"": 108}",0.878,0.7828238594692357,0.8811195339631801,0.7410714285714286,,,0.00550389289855957,0.0,0.0,
2026-01-28 04:12:19,BE_gradual__drift_detected_ADWIN_all_seen_fit__041218,42,electronics,group,500,0.778,"{""1"": 389, ""0"": 111}",0.884,0.7944720056697377,0.9122179945424498,0.7483962111211468,,,0.007280111312866211,0.0,0.0,
2026-01-28 04:12:19,BE_gradual__drift_detected_ADWIN_all_seen_fit__041218,43,electronics,group,500,0.77,"{""1"": 385, ""0"": 115}",0.894,0.8196775971529475,0.9325544724770642,0.7726143421795595,,,0.0069997310638427734,0.0,0.0,
2026-01-28 04:12:19,BE_gradual__drift_detected_ADWIN_all_seen_fit__041218,44,electronics,group,500,0.766,"{""1"": 383, ""0"": 117}",0.866,0.7814442943912734,0.8581905503634475,0.7463234473678337,,,0.006633758544921875,0.0,0.0,
