ts,run_id,event_type,batch_id,reason,train_n,info,wall_fit_sec,cpu_fit_sec,cpu_fit_pct,rss_mb
2026-01-28 04:11:41,BE_gradual__retrain_p2_all_seen_fit__041141,pretrain_fit,,pretrain,2500,"{""pretrain_batches"": 5, ""pre_acc"": 0.9144, ""pre_f1_macro"": 0.5241500519432466}",0.06300091743469238,0.0625,99.20490453934795,
2026-01-28 04:11:41,BE_gradual__retrain_p2_all_seen_fit__041141,retrain_fit,7,periodic,3500,"{""period_batches"": 2, ""stream_batches_seen"": 2, ""buffer_size"": 3500, ""global_batch_id"": 7}",0.07436037063598633,0.09375,126.07521882715061,
2026-01-28 04:11:41,BE_gradual__retrain_p2_all_seen_fit__041141,retrain_fit,9,periodic,4500,"{""period_batches"": 2, ""stream_batches_seen"": 4, ""buffer_size"": 4500, ""global_batch_id"": 9}",0.10332536697387695,0.109375,105.85493495285871,
2026-01-28 04:11:41,BE_gradual__retrain_p2_all_seen_fit__041141,retrain_fit,11,periodic,5500,"{""period_batches"": 2, ""stream_batches_seen"": 6, ""buffer_size"": 5500, ""global_batch_id"": 11}",0.14197158813476562,0.140625,99.05150871913374,
2026-01-28 04:11:41,BE_gradual__retrain_p2_all_seen_fit__041141,retrain_fit,13,periodic,6500,"{""period_batches"": 2, ""stream_batches_seen"": 8, ""buffer_size"": 6500, ""global_batch_id"": 13}",0.14799880981445312,0.140625,95.01765600433023,
2026-01-28 04:11:42,BE_gradual__retrain_p2_all_seen_fit__041141,retrain_fit,15,periodic,7500,"{""period_batches"": 2, ""stream_batches_seen"": 10, ""buffer_size"": 7500, ""global_batch_id"": 15}",0.16810154914855957,0.171875,102.24474484057589,
2026-01-28 04:11:42,BE_gradual__retrain_p2_all_seen_fit__041141,retrain_fit,17,periodic,8500,"{""period_batches"": 2, ""stream_batches_seen"": 12, ""buffer_size"": 8500, ""global_batch_id"": 17}",0.19899821281433105,0.203125,102.07378102913884,
2026-01-28 04:11:42,BE_gradual__retrain_p2_all_seen_fit__041141,retrain_fit,19,periodic,9500,"{""period_batches"": 2, ""stream_batches_seen"": 14, ""buffer_size"": 9500, ""global_batch_id"": 19}",0.20999956130981445,0.203125,96.72639253770996,
2026-01-28 04:11:42,BE_gradual__retrain_p2_all_seen_fit__041141,retrain_fit,21,periodic,10500,"{""period_batches"": 2, ""stream_batches_seen"": 16, ""buffer_size"": 10500, ""global_batch_id"": 21}",0.2438664436340332,0.234375,96.10793371462091,
2026-01-28 04:11:43,BE_gradual__retrain_p2_all_seen_fit__041141,retrain_fit,23,periodic,11500,"{""period_batches"": 2, ""stream_batches_seen"": 18, ""buffer_size"": 11500, ""global_batch_id"": 23}",0.2573575973510742,0.265625,103.21241833698338,
2026-01-28 04:11:43,BE_gradual__retrain_p2_all_seen_fit__041141,retrain_fit,25,periodic,12500,"{""period_batches"": 2, ""stream_batches_seen"": 20, ""buffer_size"": 12500, ""global_batch_id"": 25}",0.2674989700317383,0.265625,99.29944775805457,
2026-01-28 04:11:43,BE_gradual__retrain_p2_all_seen_fit__041141,retrain_fit,27,periodic,13500,"{""period_batches"": 2, ""stream_batches_seen"": 22, ""buffer_size"": 13500, ""global_batch_id"": 27}",0.3006110191345215,0.296875,98.75719155429574,
2026-01-28 04:11:44,BE_gradual__retrain_p2_all_seen_fit__041141,retrain_fit,29,periodic,14500,"{""period_batches"": 2, ""stream_batches_seen"": 24, ""buffer_size"": 14500, ""global_batch_id"": 29}",0.330718994140625,0.328125,99.21565008766264,
2026-01-28 04:11:44,BE_gradual__retrain_p2_all_seen_fit__041141,retrain_fit,31,periodic,15500,"{""period_batches"": 2, ""stream_batches_seen"": 26, ""buffer_size"": 15500, ""global_batch_id"": 31}",0.36400628089904785,0.375,103.02020038604805,
2026-01-28 04:11:44,BE_gradual__retrain_p2_all_seen_fit__041141,retrain_fit,33,periodic,16500,"{""period_batches"": 2, ""stream_batches_seen"": 28, ""buffer_size"": 16500, ""global_batch_id"": 33}",0.34399890899658203,0.34375,99.92764250406839,
2026-01-28 04:11:45,BE_gradual__retrain_p2_all_seen_fit__041141,retrain_fit,35,periodic,17500,"{""period_batches"": 2, ""stream_batches_seen"": 30, ""buffer_size"": 17500, ""global_batch_id"": 35}",0.37629032135009766,0.375,99.65709419645233,
2026-01-28 04:11:45,BE_gradual__retrain_p2_all_seen_fit__041141,retrain_fit,37,periodic,18500,"{""period_batches"": 2, ""stream_batches_seen"": 32, ""buffer_size"": 18500, ""global_batch_id"": 37}",0.38046932220458984,0.390625,102.6692501084093,
2026-01-28 04:11:46,BE_gradual__retrain_p2_all_seen_fit__041141,retrain_fit,39,periodic,19500,"{""period_batches"": 2, ""stream_batches_seen"": 34, ""buffer_size"": 19500, ""global_batch_id"": 39}",0.41397905349731445,0.421875,101.90732995690969,
2026-01-28 04:11:46,BE_gradual__retrain_p2_all_seen_fit__041141,retrain_fit,41,periodic,20500,"{""period_batches"": 2, ""stream_batches_seen"": 36, ""buffer_size"": 20500, ""global_batch_id"": 41}",0.4236786365509033,0.40625,95.88635464540131,
2026-01-28 04:11:47,BE_gradual__retrain_p2_all_seen_fit__041141,retrain_fit,43,periodic,21500,"{""period_batches"": 2, ""stream_batches_seen"": 38, ""buffer_size"": 21500, ""global_batch_id"": 43}",0.42662763595581055,0.4375,102.54844344994932,
