ts,run_id,batch_id,group,step_kind,n,pos_share,label_dist,acc,f1_macro,precision,recall,mix_weights,mix_alloc,wall_pred_sec,cpu_pred_sec,cpu_pred_pct,rss_mb
2026-01-28 04:16:51,BE_gradual__quality_drop_acc_th0.05_bk3_ck2_quality_drop_last_window_wb1_fit__041650,6,books,group,500,0.894,"{""1"": 447, ""0"": 53}",0.892,0.7,0.7115682682823729,0.6901354944915791,,,0.00799417495727539,0.0,0.0,
2026-01-28 04:16:51,BE_gradual__quality_drop_acc_th0.05_bk3_ck2_quality_drop_last_window_wb1_fit__041650,7,books,group,500,0.896,"{""1"": 448, ""0"": 52}",0.89,0.7256337859544452,0.7115090182605773,0.7431318681318682,,,0.009002208709716797,0.015625,173.56851528152976,
2026-01-28 04:16:51,BE_gradual__quality_drop_acc_th0.05_bk3_ck2_quality_drop_last_window_wb1_fit__041650,8,books,group,500,0.89,"{""1"": 445, ""0"": 55}",0.866,0.7018485390578414,0.6812904453749524,0.7335035750766088,,,0.0026865005493164062,0.0,0.0,
2026-01-28 04:16:51,BE_gradual__quality_drop_acc_th0.05_bk3_ck2_quality_drop_last_window_wb1_fit__041650,9,books,group,500,0.894,"{""1"": 447, ""0"": 53}",0.892,0.7197309417040358,0.7162410623084781,0.7233970706175341,,,0.007262706756591797,0.015625,215.14017464381854,
2026-01-28 04:16:51,BE_gradual__quality_drop_acc_th0.05_bk3_ck2_quality_drop_last_window_wb1_fit__041650,10,books,group,500,0.884,"{""1"": 442, ""0"": 58}",0.872,0.696969696969697,0.6915598762704375,0.7029177718832892,,,0.007760286331176758,0.015625,201.34566346124302,
2026-01-28 04:16:51,BE_gradual__quality_drop_acc_th0.05_bk3_ck2_quality_drop_last_window_wb1_fit__041650,11,books,group,500,0.882,"{""1"": 441, ""0"": 59}",0.876,0.7064393939393939,0.7035363531125135,0.7094815327260848,,,0.007173061370849609,0.0,0.0,
2026-01-28 04:16:51,BE_gradual__quality_drop_acc_th0.05_bk3_ck2_quality_drop_last_window_wb1_fit__041650,12,books,group,500,0.914,"{""1"": 457, ""0"": 43}",0.872,0.6242543797848856,0.6158784226385432,0.635031296117246,,,0.00748753547668457,0.0,0.0,
2026-01-28 04:16:51,BE_gradual__quality_drop_acc_th0.05_bk3_ck2_quality_drop_last_window_wb1_fit__041650,13,mix,mix,500,0.888,"{""1"": 444, ""0"": 56}",0.822,0.6490508600225553,0.6293492906396132,0.696911196911197,"{""books"": 0.8, ""electronics"": 0.2}","{""books"": 400, ""electronics"": 100}",0.006939888000488281,0.015625,225.14772571114472,
2026-01-28 04:16:51,BE_gradual__quality_drop_acc_th0.05_bk3_ck2_quality_drop_last_window_wb1_fit__041650,14,mix,mix,500,0.896,"{""0"": 52, ""1"": 448}",0.84,0.6791889897661287,0.6521329001152919,0.7492273351648351,"{""books"": 0.8, ""electronics"": 0.2}","{""books"": 400, ""electronics"": 100}",0.006470441818237305,0.0,0.0,
2026-01-28 04:16:51,BE_gradual__quality_drop_acc_th0.05_bk3_ck2_quality_drop_last_window_wb1_fit__041650,15,mix,mix,500,0.906,"{""1"": 453, ""0"": 47}",0.864,0.6825871018335262,0.6564705882352941,0.7342539101028605,"{""books"": 0.8, ""electronics"": 0.2}","{""books"": 400, ""electronics"": 100}",0.007207393646240234,0.0,0.0,
2026-01-28 04:16:51,BE_gradual__quality_drop_acc_th0.05_bk3_ck2_quality_drop_last_window_wb1_fit__041650,16,mix,mix,500,0.864,"{""1"": 432, ""0"": 68}",0.844,0.6798975672215108,0.6739626950894557,0.6866830065359477,"{""books"": 0.8, ""electronics"": 0.2}","{""books"": 400, ""electronics"": 100}",0.014959335327148438,0.015625,104.44982787198775,
2026-01-28 04:16:51,BE_gradual__quality_drop_acc_th0.05_bk3_ck2_quality_drop_last_window_wb1_fit__041650,17,mix,mix,500,0.848,"{""1"": 424, ""0"": 76}",0.804,0.6590687706993961,0.6466138694283683,0.679245283018868,"{""books"": 0.8, ""electronics"": 0.2}","{""books"": 400, ""electronics"": 100}",0.008259773254394531,0.015625,189.1698418196513,
2026-01-28 04:16:51,BE_gradual__quality_drop_acc_th0.05_bk3_ck2_quality_drop_last_window_wb1_fit__041650,18,mix,mix,500,0.876,"{""1"": 438, ""0"": 62}",0.808,0.646424467426854,0.62875,0.6896450139932243,"{""books"": 0.8, ""electronics"": 0.2}","{""books"": 400, ""electronics"": 100}",0.002433300018310547,0.015625,642.1320791691162,
2026-01-28 04:16:51,BE_gradual__quality_drop_acc_th0.05_bk3_ck2_quality_drop_last_window_wb1_fit__041650,19,mix,mix,500,0.86,"{""1"": 430, ""0"": 70}",0.854,0.6413657577990666,0.6794871794871795,0.622093023255814,"{""books"": 0.6, ""electronics"": 0.4}","{""books"": 300, ""electronics"": 200}",0.00684666633605957,0.015625,228.21325347355224,
2026-01-28 04:16:51,BE_gradual__quality_drop_acc_th0.05_bk3_ck2_quality_drop_last_window_wb1_fit__041650,20,mix,mix,500,0.874,"{""1"": 437, ""0"": 63}",0.864,0.6222222222222222,0.6654602766913782,0.6029566670298936,"{""books"": 0.6, ""electronics"": 0.4}","{""books"": 300, ""electronics"": 200}",0.006726503372192383,0.015625,232.2900790415766,
2026-01-28 04:16:51,BE_gradual__quality_drop_acc_th0.05_bk3_ck2_quality_drop_last_window_wb1_fit__041650,21,mix,mix,500,0.866,"{""1"": 433, ""0"": 67}",0.852,0.6029361263736264,0.6465471951433075,0.5865361414635828,"{""books"": 0.6, ""electronics"": 0.4}","{""books"": 300, ""electronics"": 200}",0.007339000701904297,0.0,0.0,
2026-01-28 04:16:51,BE_gradual__quality_drop_acc_th0.05_bk3_ck2_quality_drop_last_window_wb1_fit__041650,22,mix,mix,500,0.834,"{""1"": 417, ""0"": 83}",0.832,0.6511627906976745,0.6835372856520534,0.6339025165409841,"{""books"": 0.6, ""electronics"": 0.4}","{""books"": 300, ""electronics"": 200}",0.007582902908325195,0.015625,206.05565162710263,
