ts,run_id,batch_id,group,step_kind,n,pos_share,label_dist,acc,f1_macro,precision,recall,mix_weights,mix_alloc,wall_pred_sec,cpu_pred_sec,cpu_pred_pct,rss_mb
2026-01-28 04:13:26,BE_gradual__quality_drop_acc_th0.02_bk3_ck2_quality_drop_last_window_wb16_fit__041326,6,books,group,500,0.894,"{""1"": 447, ""0"": 53}",0.906,0.5767214827356401,0.9524291497975709,0.5566037735849056,,,0.0032155513763427734,0.0,0.0,
2026-01-28 04:13:26,BE_gradual__quality_drop_acc_th0.02_bk3_ck2_quality_drop_last_window_wb16_fit__041326,7,books,group,500,0.896,"{""1"": 448, ""0"": 52}",0.904,0.6106677048861203,0.7771898883009994,0.5809581043956044,,,0.00913381576538086,0.015625,171.06760636909425,
2026-01-28 04:13:26,BE_gradual__quality_drop_acc_th0.02_bk3_ck2_quality_drop_last_window_wb16_fit__041326,8,books,group,500,0.89,"{""1"": 445, ""0"": 55}",0.898,0.5548106635939875,0.8660593792172739,0.5443309499489275,,,0.00782918930053711,0.015625,199.57366465680005,
2026-01-28 04:13:26,BE_gradual__quality_drop_acc_th0.02_bk3_ck2_quality_drop_last_window_wb16_fit__041326,9,books,group,500,0.894,"{""1"": 447, ""0"": 53}",0.906,0.589727474292498,0.8907520325203252,0.5649191676163944,,,0.012867212295532227,0.0,0.0,
2026-01-28 04:13:26,BE_gradual__quality_drop_acc_th0.02_bk3_ck2_quality_drop_last_window_wb16_fit__041326,10,books,group,500,0.884,"{""1"": 442, ""0"": 58}",0.892,0.5620011679968854,0.8221544715447154,0.5494616944921205,,,0.008957624435424805,0.015625,174.43240797423545,
2026-01-28 04:13:26,BE_gradual__quality_drop_acc_th0.02_bk3_ck2_quality_drop_last_window_wb16_fit__041326,11,books,group,500,0.882,"{""1"": 441, ""0"": 59}",0.896,0.5897500631153749,0.892509617560534,0.5666628233214189,,,0.011481285095214844,0.0,0.0,
2026-01-28 04:13:26,BE_gradual__quality_drop_acc_th0.02_bk3_ck2_quality_drop_last_window_wb16_fit__041326,12,books,group,500,0.914,"{""1"": 457, ""0"": 43}",0.916,0.5214656822532131,0.7920858484238766,0.5221617220497685,,,0.00884246826171875,0.0,0.0,
2026-01-28 04:13:26,BE_gradual__quality_drop_acc_th0.02_bk3_ck2_quality_drop_last_window_wb16_fit__041326,13,mix,mix,500,0.888,"{""1"": 444, ""0"": 56}",0.9,0.5826655982905984,0.8877032520325203,0.5613738738738738,"{""books"": 0.8, ""electronics"": 0.2}","{""books"": 400, ""electronics"": 100}",0.0074460506439208984,0.015625,209.84278441292307,
2026-01-28 04:13:26,BE_gradual__quality_drop_acc_th0.02_bk3_ck2_quality_drop_last_window_wb16_fit__041326,14,mix,mix,500,0.896,"{""0"": 52, ""1"": 448}",0.902,0.5587096309371566,0.8094755143436685,0.5458447802197802,"{""books"": 0.8, ""electronics"": 0.2}","{""books"": 400, ""electronics"": 100}",0.00923466682434082,0.0,0.0,
2026-01-28 04:13:26,BE_gradual__quality_drop_acc_th0.02_bk3_ck2_quality_drop_last_window_wb16_fit__041326,15,mix,mix,500,0.906,"{""1"": 453, ""0"": 47}",0.914,0.5716363491462613,0.8741565452091768,0.5520877366023202,"{""books"": 0.8, ""electronics"": 0.2}","{""books"": 400, ""electronics"": 100}",0.008653402328491211,0.0,0.0,
