2026-01-28 04:12:58,563 | INFO | Run started: run_id=BE_gradual__retrain_p4_last_window_wb4_fit__041258
2026-01-28 04:12:58,564 | INFO | run_dir=C:\Poly\Diploma\v2\outputs\20260128_041236__domain_gradual_sgd\runs\BE_gradual__retrain_p4_last_window_wb4_fit__041258
2026-01-28 04:12:58,877 | INFO | EVENT pretrain_fit batch_id=None reason=pretrain train_n=2500 wall=0.04300045967102051 cpu=0.03125 rss_mb=None info={'pretrain_batches': 5, 'pre_acc': 0.9452, 'pre_f1_macro': 0.7665352674892351}
2026-01-28 04:12:58,955 | INFO | EVENT retrain_fit batch_id=9 reason=periodic train_n=2000 wall=0.03299903869628906 cpu=0.03125 rss_mb=None info={'period_batches': 4, 'stream_batches_seen': 4, 'buffer_size': 2000, 'global_batch_id': 9}
2026-01-28 04:12:59,030 | INFO | EVENT retrain_fit batch_id=13 reason=periodic train_n=2000 wall=0.03099966049194336 cpu=0.03125 rss_mb=None info={'period_batches': 4, 'stream_batches_seen': 8, 'buffer_size': 2000, 'global_batch_id': 13}
2026-01-28 04:12:59,110 | INFO | EVENT retrain_fit batch_id=17 reason=periodic train_n=2000 wall=0.03287649154663086 cpu=0.03125 rss_mb=None info={'period_batches': 4, 'stream_batches_seen': 12, 'buffer_size': 2000, 'global_batch_id': 17}
2026-01-28 04:12:59,186 | INFO | EVENT retrain_fit batch_id=21 reason=periodic train_n=2000 wall=0.030228376388549805 cpu=0.03125 rss_mb=None info={'period_batches': 4, 'stream_batches_seen': 16, 'buffer_size': 2000, 'global_batch_id': 21}
2026-01-28 04:12:59,254 | INFO | EVENT retrain_fit batch_id=25 reason=periodic train_n=2000 wall=0.02625584602355957 cpu=0.03125 rss_mb=None info={'period_batches': 4, 'stream_batches_seen': 20, 'buffer_size': 2000, 'global_batch_id': 25}
2026-01-28 04:12:59,324 | INFO | EVENT retrain_fit batch_id=29 reason=periodic train_n=2000 wall=0.02446913719177246 cpu=0.03125 rss_mb=None info={'period_batches': 4, 'stream_batches_seen': 24, 'buffer_size': 2000, 'global_batch_id': 29}
2026-01-28 04:12:59,387 | INFO | EVENT retrain_fit batch_id=33 reason=periodic train_n=2000 wall=0.021297454833984375 cpu=0.03125 rss_mb=None info={'period_batches': 4, 'stream_batches_seen': 28, 'buffer_size': 2000, 'global_batch_id': 33}
2026-01-28 04:12:59,456 | INFO | EVENT retrain_fit batch_id=37 reason=periodic train_n=2000 wall=0.02618885040283203 cpu=0.03125 rss_mb=None info={'period_batches': 4, 'stream_batches_seen': 32, 'buffer_size': 2000, 'global_batch_id': 37}
2026-01-28 04:12:59,515 | INFO | EVENT retrain_fit batch_id=41 reason=periodic train_n=2000 wall=0.024646282196044922 cpu=0.03125 rss_mb=None info={'period_batches': 4, 'stream_batches_seen': 36, 'buffer_size': 2000, 'global_batch_id': 41}
2026-01-28 04:12:59,543 | INFO | Run finished. total={'wall_sec': 0.9805383682250977, 'cpu_sec': 0.984375, 'cpu_pct': 100.39127808755175, 'rss_mb': None} peak_rss_mb=None
