ts,run_id,batch_id,group,step_kind,n,pos_share,label_dist,acc,f1_macro,precision,recall,mix_weights,mix_alloc,wall_pred_sec,cpu_pred_sec,cpu_pred_pct,rss_mb
2026-01-28 03:55:29,BE_sudden__drift_detected_ADWIN_last_window_wb2_fit__035529,6,books,group,500,0.894,"{""1"": 447, ""0"": 53}",0.894,0.4720168954593453,0.447,0.5,,,0.008999347686767578,0.015625,173.62369522598422,
2026-01-28 03:55:29,BE_sudden__drift_detected_ADWIN_last_window_wb2_fit__035529,7,books,group,500,0.896,"{""1"": 448, ""0"": 52}",0.896,0.4725738396624473,0.448,0.5,,,0.01100015640258789,0.015625,142.04343491265334,
2026-01-28 03:55:29,BE_sudden__drift_detected_ADWIN_last_window_wb2_fit__035529,8,books,group,500,0.89,"{""1"": 445, ""0"": 55}",0.894,0.5069859165410876,0.9467871485943775,0.5181818181818182,,,0.00900125503540039,0.0,0.0,
2026-01-28 03:55:29,BE_sudden__drift_detected_ADWIN_last_window_wb2_fit__035529,9,books,group,500,0.894,"{""1"": 447, ""0"": 53}",0.894,0.4720168954593453,0.447,0.5,,,0.009002923965454102,0.0,0.0,
2026-01-28 03:55:29,BE_sudden__drift_detected_ADWIN_last_window_wb2_fit__035529,10,books,group,500,0.884,"{""1"": 442, ""0"": 58}",0.886,0.48666222374322304,0.9428857715430862,0.5086206896551724,,,0.008000850677490234,0.0,0.0,
2026-01-28 03:55:29,BE_sudden__drift_detected_ADWIN_last_window_wb2_fit__035529,11,books,group,500,0.882,"{""1"": 441, ""0"": 59}",0.882,0.46865037194473963,0.441,0.5,,,0.010001420974731445,0.0,0.0,
2026-01-28 03:55:29,BE_sudden__drift_detected_ADWIN_last_window_wb2_fit__035529,12,books,group,500,0.914,"{""1"": 457, ""0"": 43}",0.914,0.47753396029258094,0.457,0.5,,,0.008999824523925781,0.015625,173.61449613224542,
2026-01-28 03:55:29,BE_sudden__drift_detected_ADWIN_last_window_wb2_fit__035529,13,books,group,500,0.916,"{""1"": 458, ""0"": 42}",0.918,0.5018347063254842,0.9589178356713427,0.5119047619047619,,,0.008011817932128906,0.0,0.0,
2026-01-28 03:55:29,BE_sudden__drift_detected_ADWIN_last_window_wb2_fit__035529,14,books,group,500,0.92,"{""1"": 460, ""0"": 40}",0.922,0.5040565629848165,0.9609218436873748,0.5125,,,0.009000539779663086,0.015625,173.60069931922334,
2026-01-28 03:55:29,BE_sudden__drift_detected_ADWIN_last_window_wb2_fit__035529,15,books,group,500,0.888,"{""1"": 444, ""0"": 56}",0.89,0.4883816115049022,0.9448897795591182,0.5089285714285714,,,0.010000467300415039,0.015625,156.2426987722017,
2026-01-28 03:55:29,BE_sudden__drift_detected_ADWIN_last_window_wb2_fit__035529,16,electronics,group,500,0.81,"{""0"": 95, ""1"": 405}",0.81,0.44751381215469616,0.405,0.5,,,0.006999492645263672,0.015625,223.2304652905511,
2026-01-28 03:55:29,BE_sudden__drift_detected_ADWIN_last_window_wb2_fit__035529,17,electronics,group,500,0.782,"{""1"": 391, ""0"": 109}",0.782,0.4388327721661055,0.391,0.5,,,0.007014751434326172,0.015625,222.74488478009653,
2026-01-28 03:55:29,BE_sudden__drift_detected_ADWIN_last_window_wb2_fit__035529,18,electronics,group,500,0.804,"{""1"": 402, ""0"": 98}",0.804,0.44567627494456763,0.402,0.5,,,0.007002592086791992,0.0,0.0,
2026-01-28 03:55:29,BE_sudden__drift_detected_ADWIN_last_window_wb2_fit__035529,19,electronics,group,500,0.814,"{""1"": 407, ""0"": 93}",0.814,0.4487320837927232,0.407,0.5,,,0.008001089096069336,0.0,0.0,
