ts,run_id,event_type,batch_id,reason,train_n,info,wall_fit_sec,cpu_fit_sec,cpu_fit_pct,rss_mb
2026-01-28 03:54:55,BE_sudden__retrain_p4_all_seen_fit__035455,pretrain_fit,,pretrain,2500,"{""pretrain_batches"": 5, ""pre_acc"": 0.9144, ""pre_f1_macro"": 0.5241500519432466}",0.06600046157836914,0.0625,94.6963074277705,
2026-01-28 03:54:55,BE_sudden__retrain_p4_all_seen_fit__035455,retrain_fit,9,periodic,4500,"{""period_batches"": 4, ""stream_batches_seen"": 4, ""buffer_size"": 4500, ""global_batch_id"": 9}",0.10499882698059082,0.109375,104.16783038939866,
2026-01-28 03:54:55,BE_sudden__retrain_p4_all_seen_fit__035455,retrain_fit,13,periodic,6500,"{""period_batches"": 4, ""stream_batches_seen"": 8, ""buffer_size"": 6500, ""global_batch_id"": 13}",0.15231537818908691,0.15625,102.58320719660267,
2026-01-28 03:54:56,BE_sudden__retrain_p4_all_seen_fit__035455,retrain_fit,17,periodic,8500,"{""period_batches"": 4, ""stream_batches_seen"": 12, ""buffer_size"": 8500, ""global_batch_id"": 17}",0.1829972267150879,0.1875,102.46056913852722,
2026-01-28 03:54:56,BE_sudden__retrain_p4_all_seen_fit__035455,retrain_fit,21,periodic,10500,"{""period_batches"": 4, ""stream_batches_seen"": 16, ""buffer_size"": 10500, ""global_batch_id"": 21}",0.21199488639831543,0.21875,103.18645120005039,
2026-01-28 03:54:56,BE_sudden__retrain_p4_all_seen_fit__035455,retrain_fit,25,periodic,12500,"{""period_batches"": 4, ""stream_batches_seen"": 20, ""buffer_size"": 12500, ""global_batch_id"": 25}",0.27855372428894043,0.28125,100.9679553622707,
2026-01-28 03:54:57,BE_sudden__retrain_p4_all_seen_fit__035455,retrain_fit,29,periodic,14500,"{""period_batches"": 4, ""stream_batches_seen"": 24, ""buffer_size"": 14500, ""global_batch_id"": 29}",0.3050379753112793,0.296875,97.32394784519884,
2026-01-28 03:54:57,BE_sudden__retrain_p4_all_seen_fit__035455,retrain_fit,33,periodic,16500,"{""period_batches"": 4, ""stream_batches_seen"": 28, ""buffer_size"": 16500, ""global_batch_id"": 33}",0.3253614902496338,0.328125,100.84936596160962,
2026-01-28 03:54:57,BE_sudden__retrain_p4_all_seen_fit__035455,retrain_fit,37,periodic,18500,"{""period_batches"": 4, ""stream_batches_seen"": 32, ""buffer_size"": 18500, ""global_batch_id"": 37}",0.374849796295166,0.34375,91.7033978402706,
2026-01-28 03:54:58,BE_sudden__retrain_p4_all_seen_fit__035455,retrain_fit,41,periodic,20500,"{""period_batches"": 4, ""stream_batches_seen"": 36, ""buffer_size"": 20500, ""global_batch_id"": 41}",0.4051327705383301,0.40625,100.27576872149477,
2026-01-28 03:54:58,BE_sudden__retrain_p4_all_seen_fit__035455,retrain_fit,45,periodic,22500,"{""period_batches"": 4, ""stream_batches_seen"": 40, ""buffer_size"": 22500, ""global_batch_id"": 45}",0.44962382316589355,0.4375,97.30356299171889,
