ts,experiment_name,run_id,drift_name,adaptation_name,seed,batch_metrics_path,events_path,run_log_path,n_batches,n_events,mean_acc,mean_f1_macro,mean_precision,mean_recall,final_acc,final_f1_macro,total_wall_sec,total_cpu_sec,peak_rss_mb,retrain_count,retrain_wall_sum_sec,retrain_cpu_sum_sec,retrain_wall_mean_sec,retrain_cpu_mean_sec,retrain_train_n_sum
,domain_sudden_lr,BE_sudden__none__035436,BE_sudden,none,42,C:\Poly\Diploma\v2\outputs\20260128_035436__domain_sudden_lr\runs\BE_sudden__none__035436\batch_metrics.csv,C:\Poly\Diploma\v2\outputs\20260128_035436__domain_sudden_lr\runs\BE_sudden__none__035436\events.csv,C:\Poly\Diploma\v2\outputs\20260128_035436__domain_sudden_lr\runs\BE_sudden__none__035436\run.log,40,0,0.8092499999999999,0.4522976227752655,0.579562043363836,0.5028022201456881,0.744,0.42660550458715596,0.7607190608978271,0.75,,0,0.0,0.0,,,0
,domain_sudden_lr,BE_sudden__retrain_p1_all_seen_fit__035437,BE_sudden,retrain_p1_all_seen_fit,42,C:\Poly\Diploma\v2\outputs\20260128_035436__domain_sudden_lr\runs\BE_sudden__retrain_p1_all_seen_fit__035437\batch_metrics.csv,C:\Poly\Diploma\v2\outputs\20260128_035436__domain_sudden_lr\runs\BE_sudden__retrain_p1_all_seen_fit__035437\events.csv,C:\Poly\Diploma\v2\outputs\20260128_035436__domain_sudden_lr\runs\BE_sudden__retrain_p1_all_seen_fit__035437\run.log,40,40,0.8814000000000002,0.7129274433863514,0.8856130128108426,0.6833414939659346,0.878,0.8167937097171415,11.34122371673584,11.265625,,40,10.447271347045898,10.421875,0.26118178367614747,0.260546875,510000
,domain_sudden_lr,BE_sudden__retrain_p2_all_seen_fit__035448,BE_sudden,retrain_p2_all_seen_fit,42,C:\Poly\Diploma\v2\outputs\20260128_035436__domain_sudden_lr\runs\BE_sudden__retrain_p2_all_seen_fit__035448\batch_metrics.csv,C:\Poly\Diploma\v2\outputs\20260128_035436__domain_sudden_lr\runs\BE_sudden__retrain_p2_all_seen_fit__035448\events.csv,C:\Poly\Diploma\v2\outputs\20260128_035436__domain_sudden_lr\runs\BE_sudden__retrain_p2_all_seen_fit__035448\run.log,40,20,0.8795000000000002,0.7050657569295464,0.8705623675938827,0.6777172245835321,0.878,0.8167937097171415,6.207198858261108,6.1875,,20,5.340647459030151,5.296875,0.26703237295150756,0.26484375,260000
,domain_sudden_lr,BE_sudden__retrain_p4_all_seen_fit__035455,BE_sudden,retrain_p4_all_seen_fit,42,C:\Poly\Diploma\v2\outputs\20260128_035436__domain_sudden_lr\runs\BE_sudden__retrain_p4_all_seen_fit__035455\batch_metrics.csv,C:\Poly\Diploma\v2\outputs\20260128_035436__domain_sudden_lr\runs\BE_sudden__retrain_p4_all_seen_fit__035455\events.csv,C:\Poly\Diploma\v2\outputs\20260128_035436__domain_sudden_lr\runs\BE_sudden__retrain_p4_all_seen_fit__035455\run.log,40,10,0.8769000000000002,0.6937049213480294,0.8434309482840785,0.669395356209062,0.872,0.8057498057498058,3.586907386779785,3.53125,,10,2.790865898132324,2.765625,0.2790865898132324,0.2765625,135000
,domain_sudden_lr,BE_sudden__retrain_p8_all_seen_fit__035458,BE_sudden,retrain_p8_all_seen_fit,42,C:\Poly\Diploma\v2\outputs\20260128_035436__domain_sudden_lr\runs\BE_sudden__retrain_p8_all_seen_fit__035458\batch_metrics.csv,C:\Poly\Diploma\v2\outputs\20260128_035436__domain_sudden_lr\runs\BE_sudden__retrain_p8_all_seen_fit__035458\events.csv,C:\Poly\Diploma\v2\outputs\20260128_035436__domain_sudden_lr\runs\BE_sudden__retrain_p8_all_seen_fit__035458\run.log,40,5,0.8714999999999998,0.6699828884667839,0.8315525473128054,0.652729932838322,0.864,0.7906197654941374,2.278589963912964,2.25,,5,1.4962751865386963,1.515625,0.2992550373077393,0.303125,72500
,domain_sudden_lr,BE_sudden__retrain_p16_all_seen_fit__035501,BE_sudden,retrain_p16_all_seen_fit,42,C:\Poly\Diploma\v2\outputs\20260128_035436__domain_sudden_lr\runs\BE_sudden__retrain_p16_all_seen_fit__035501\batch_metrics.csv,C:\Poly\Diploma\v2\outputs\20260128_035436__domain_sudden_lr\runs\BE_sudden__retrain_p16_all_seen_fit__035501\events.csv,C:\Poly\Diploma\v2\outputs\20260128_035436__domain_sudden_lr\runs\BE_sudden__retrain_p16_all_seen_fit__035501\run.log,40,2,0.8638,0.6423346848133626,0.7786541554755344,0.6324214137994095,0.864,0.7906197654941374,1.340587854385376,1.3125,,2,0.5807614326477051,0.59375,0.29038071632385254,0.296875,29000
,domain_sudden_lr,BE_sudden__retrain_p1_last_window_wb1_fit__035502,BE_sudden,retrain_p1_last_window_wb1_fit,42,C:\Poly\Diploma\v2\outputs\20260128_035436__domain_sudden_lr\runs\BE_sudden__retrain_p1_last_window_wb1_fit__035502\batch_metrics.csv,C:\Poly\Diploma\v2\outputs\20260128_035436__domain_sudden_lr\runs\BE_sudden__retrain_p1_last_window_wb1_fit__035502\events.csv,C:\Poly\Diploma\v2\outputs\20260128_035436__domain_sudden_lr\runs\BE_sudden__retrain_p1_last_window_wb1_fit__035502\run.log,40,40,0.8126499999999999,0.46670655688868656,0.6916418248393048,0.5099538793995342,0.756,0.4743373203267726,1.457507848739624,1.34375,,40,0.627143144607544,0.578125,0.0156785786151886,0.014453125,20000
,domain_sudden_lr,BE_sudden__retrain_p2_last_window_wb2_fit__035503,BE_sudden,retrain_p2_last_window_wb2_fit,42,C:\Poly\Diploma\v2\outputs\20260128_035436__domain_sudden_lr\runs\BE_sudden__retrain_p2_last_window_wb2_fit__035503\batch_metrics.csv,C:\Poly\Diploma\v2\outputs\20260128_035436__domain_sudden_lr\runs\BE_sudden__retrain_p2_last_window_wb2_fit__035503\events.csv,C:\Poly\Diploma\v2\outputs\20260128_035436__domain_sudden_lr\runs\BE_sudden__retrain_p2_last_window_wb2_fit__035503\run.log,40,20,0.8242000000000003,0.5177424809203948,0.7369352616802457,0.5372203246166316,0.776,0.5508645856725802,1.342071294784546,1.265625,,20,0.5093050003051758,0.515625,0.02546525001525879,0.02578125,20000
,domain_sudden_lr,BE_sudden__retrain_p4_last_window_wb4_fit__035505,BE_sudden,retrain_p4_last_window_wb4_fit,42,C:\Poly\Diploma\v2\outputs\20260128_035436__domain_sudden_lr\runs\BE_sudden__retrain_p4_last_window_wb4_fit__035505\batch_metrics.csv,C:\Poly\Diploma\v2\outputs\20260128_035436__domain_sudden_lr\runs\BE_sudden__retrain_p4_last_window_wb4_fit__035505\events.csv,C:\Poly\Diploma\v2\outputs\20260128_035436__domain_sudden_lr\runs\BE_sudden__retrain_p4_last_window_wb4_fit__035505\run.log,40,10,0.8445000000000003,0.5928851261191085,0.8182359570800019,0.5858985581667187,0.798,0.629849521003291,1.2699403762817383,1.203125,,10,0.48486828804016113,0.453125,0.04848682880401611,0.0453125,20000
,domain_sudden_lr,BE_sudden__retrain_p8_last_window_wb8_fit__035506,BE_sudden,retrain_p8_last_window_wb8_fit,42,C:\Poly\Diploma\v2\outputs\20260128_035436__domain_sudden_lr\runs\BE_sudden__retrain_p8_last_window_wb8_fit__035506\batch_metrics.csv,C:\Poly\Diploma\v2\outputs\20260128_035436__domain_sudden_lr\runs\BE_sudden__retrain_p8_last_window_wb8_fit__035506\events.csv,C:\Poly\Diploma\v2\outputs\20260128_035436__domain_sudden_lr\runs\BE_sudden__retrain_p8_last_window_wb8_fit__035506\run.log,40,5,0.8587499999999999,0.6344264304926087,0.8289641892835645,0.6206377352440255,0.832,0.7270955165692008,1.2302863597869873,1.171875,,5,0.42200231552124023,0.40625,0.08440046310424805,0.08125,20000
