ts,run_id,batch_id,group,step_kind,n,pos_share,label_dist,acc,f1_macro,precision,recall,mix_weights,mix_alloc,wall_pred_sec,cpu_pred_sec,cpu_pred_pct,rss_mb
2026-01-28 04:08:32,BE_sudden__quality_drop_acc_th0.02_bk3_ck2_quality_drop_last_window_wb8_update__040832,6,books,group,500,0.894,"{""1"": 447, ""0"": 53}",0.892,0.7,0.7115682682823729,0.6901354944915791,,,0.009000301361083984,0.015625,173.60529801324503,
2026-01-28 04:08:32,BE_sudden__quality_drop_acc_th0.02_bk3_ck2_quality_drop_last_window_wb8_update__040832,7,books,group,500,0.896,"{""1"": 448, ""0"": 52}",0.89,0.7256337859544452,0.7115090182605773,0.7431318681318682,,,0.007997751235961914,0.0,0.0,
2026-01-28 04:08:32,BE_sudden__quality_drop_acc_th0.02_bk3_ck2_quality_drop_last_window_wb8_update__040832,8,books,group,500,0.89,"{""1"": 445, ""0"": 55}",0.866,0.7018485390578414,0.6812904453749524,0.7335035750766088,,,0.007998466491699219,0.015625,195.34994634553476,
2026-01-28 04:08:32,BE_sudden__quality_drop_acc_th0.02_bk3_ck2_quality_drop_last_window_wb8_update__040832,9,books,group,500,0.894,"{""1"": 447, ""0"": 53}",0.892,0.7197309417040358,0.7162410623084781,0.7233970706175341,,,0.007996320724487305,0.0,0.0,
2026-01-28 04:08:32,BE_sudden__quality_drop_acc_th0.02_bk3_ck2_quality_drop_last_window_wb8_update__040832,10,books,group,500,0.884,"{""1"": 442, ""0"": 58}",0.872,0.696969696969697,0.6915598762704375,0.7029177718832892,,,0.006997346878051758,0.0,0.0,
2026-01-28 04:08:32,BE_sudden__quality_drop_acc_th0.02_bk3_ck2_quality_drop_last_window_wb8_update__040832,11,books,group,500,0.882,"{""1"": 441, ""0"": 59}",0.876,0.7064393939393939,0.7035363531125135,0.7094815327260848,,,0.0069963932037353516,0.015625,223.329357641847,
2026-01-28 04:08:33,BE_sudden__quality_drop_acc_th0.02_bk3_ck2_quality_drop_last_window_wb8_update__040832,12,books,group,500,0.914,"{""1"": 457, ""0"": 43}",0.872,0.6242543797848856,0.6158784226385432,0.635031296117246,,,0.008002042770385742,0.0,0.0,
2026-01-28 04:08:33,BE_sudden__quality_drop_acc_th0.02_bk3_ck2_quality_drop_last_window_wb8_update__040832,13,books,group,500,0.916,"{""1"": 458, ""0"": 42}",0.892,0.7150816765860454,0.684776376146789,0.7680390933666044,,,0.007999658584594727,0.015625,195.32083569278456,
2026-01-28 04:08:33,BE_sudden__quality_drop_acc_th0.02_bk3_ck2_quality_drop_last_window_wb8_update__040832,14,books,group,500,0.92,"{""1"": 460, ""0"": 40}",0.9,0.7222222222222222,0.6912878787878788,0.7744565217391304,,,0.007004976272583008,0.015625,223.05571627922808,
2026-01-28 04:08:33,BE_sudden__quality_drop_acc_th0.02_bk3_ck2_quality_drop_last_window_wb8_update__040832,15,books,group,500,0.888,"{""1"": 444, ""0"": 56}",0.884,0.71288265811255,0.7097051022000312,0.7162162162162162,,,0.00799870491027832,0.0,0.0,
2026-01-28 04:08:33,BE_sudden__quality_drop_acc_th0.02_bk3_ck2_quality_drop_last_window_wb8_update__040832,16,electronics,group,500,0.81,"{""0"": 95, ""1"": 405}",0.646,0.5675142085021331,0.5782941017316017,0.6203378817413905,,,0.005995750427246094,0.015625,260.6012406553205,
2026-01-28 04:08:33,BE_sudden__quality_drop_acc_th0.02_bk3_ck2_quality_drop_last_window_wb8_update__040832,17,electronics,group,500,0.782,"{""1"": 391, ""0"": 109}",0.622,0.5574164360080368,0.5683333333333334,0.5962012248058377,,,0.0060002803802490234,0.0,0.0,
2026-01-28 04:08:33,BE_sudden__quality_drop_acc_th0.02_bk3_ck2_quality_drop_last_window_wb8_update__040832,18,electronics,group,500,0.804,"{""1"": 402, ""0"": 98}",0.646,0.6072793109415978,0.6399759903961585,0.7219768504416693,,,0.005002260208129883,0.0,0.0,
2026-01-28 04:08:33,BE_sudden__quality_drop_acc_th0.02_bk3_ck2_quality_drop_last_window_wb8_update__040832,19,electronics,group,500,0.814,"{""1"": 407, ""0"": 93}",0.644,0.6066889395626736,0.6477892816565586,0.7439961956090988,,,0.005995988845825195,0.0,0.0,
2026-01-28 04:08:33,BE_sudden__quality_drop_acc_th0.02_bk3_ck2_quality_drop_last_window_wb8_update__040832,20,electronics,group,500,0.786,"{""1"": 393, ""0"": 107}",0.654,0.6276543082333597,0.6657051282051283,0.7458918931773323,,,0.004998445510864258,0.0,0.0,
