ts,run_id,event_type,batch_id,reason,train_n,info,wall_fit_sec,cpu_fit_sec,cpu_fit_pct,rss_mb
2026-01-28 04:08:12,BE_sudden__retrain_p4_last_window_wb4_update__040811,pretrain_fit,,pretrain,2500,"{""pretrain_batches"": 5, ""pre_acc"": 0.9432, ""pre_f1_macro"": 0.846040686892728}",0.04410910606384277,0.046875,106.27057354586584,
2026-01-28 04:08:12,BE_sudden__retrain_p4_last_window_wb4_update__040811,retrain_update,9,periodic,2000,"{""period_batches"": 4, ""stream_batches_seen"": 4, ""buffer_size"": 2000, ""global_batch_id"": 9}",0.027643680572509766,0.03125,113.04572818380971,
2026-01-28 04:08:12,BE_sudden__retrain_p4_last_window_wb4_update__040811,retrain_update,13,periodic,2000,"{""period_batches"": 4, ""stream_batches_seen"": 8, ""buffer_size"": 2000, ""global_batch_id"": 13}",0.029218435287475586,0.03125,106.953023639138,
2026-01-28 04:08:12,BE_sudden__retrain_p4_last_window_wb4_update__040811,retrain_update,17,periodic,2000,"{""period_batches"": 4, ""stream_batches_seen"": 12, ""buffer_size"": 2000, ""global_batch_id"": 17}",0.022008895874023438,0.03125,141.9880405581073,
2026-01-28 04:08:12,BE_sudden__retrain_p4_last_window_wb4_update__040811,retrain_update,21,periodic,2000,"{""period_batches"": 4, ""stream_batches_seen"": 16, ""buffer_size"": 2000, ""global_batch_id"": 21}",0.017629384994506836,0.015625,88.63043154862528,
2026-01-28 04:08:12,BE_sudden__retrain_p4_last_window_wb4_update__040811,retrain_update,25,periodic,2000,"{""period_batches"": 4, ""stream_batches_seen"": 20, ""buffer_size"": 2000, ""global_batch_id"": 25}",0.01776266098022461,0.03125,175.930847494027,
2026-01-28 04:08:12,BE_sudden__retrain_p4_last_window_wb4_update__040811,retrain_update,29,periodic,2000,"{""period_batches"": 4, ""stream_batches_seen"": 24, ""buffer_size"": 2000, ""global_batch_id"": 29}",0.020343542098999023,0.015625,76.80570042307828,
2026-01-28 04:08:12,BE_sudden__retrain_p4_last_window_wb4_update__040811,retrain_update,33,periodic,2000,"{""period_batches"": 4, ""stream_batches_seen"": 28, ""buffer_size"": 2000, ""global_batch_id"": 33}",0.02090597152709961,0.03125,149.47882216089226,
2026-01-28 04:08:12,BE_sudden__retrain_p4_last_window_wb4_update__040811,retrain_update,37,periodic,2000,"{""period_batches"": 4, ""stream_batches_seen"": 32, ""buffer_size"": 2000, ""global_batch_id"": 37}",0.020003318786621094,0.015625,78.11203814064362,
2026-01-28 04:08:12,BE_sudden__retrain_p4_last_window_wb4_update__040811,retrain_update,41,periodic,2000,"{""period_batches"": 4, ""stream_batches_seen"": 36, ""buffer_size"": 2000, ""global_batch_id"": 41}",0.022000789642333984,0.015625,71.02017815730727,
2026-01-28 04:08:12,BE_sudden__retrain_p4_last_window_wb4_update__040811,retrain_update,45,periodic,2000,"{""period_batches"": 4, ""stream_batches_seen"": 40, ""buffer_size"": 2000, ""global_batch_id"": 45}",0.023998022079467773,0.03125,130.21906512344145,
