ts,run_id,event_type,batch_id,reason,train_n,info,wall_fit_sec,cpu_fit_sec,cpu_fit_pct,rss_mb
2026-01-28 04:06:34,BE_sudden__retrain_p4_all_seen_fit__040633,pretrain_fit,,pretrain,2500,"{""pretrain_batches"": 5, ""pre_acc"": 1.0, ""pre_f1_macro"": 1.0}",0.04499626159667969,0.046875,104.17532109702852,
2026-01-28 04:06:34,BE_sudden__retrain_p4_all_seen_fit__040633,retrain_fit,9,periodic,4500,"{""period_batches"": 4, ""stream_batches_seen"": 4, ""buffer_size"": 4500, ""global_batch_id"": 9}",0.06942176818847656,0.078125,112.53674753413743,
2026-01-28 04:06:34,BE_sudden__retrain_p4_all_seen_fit__040633,retrain_fit,13,periodic,6500,"{""period_batches"": 4, ""stream_batches_seen"": 8, ""buffer_size"": 6500, ""global_batch_id"": 13}",0.0879061222076416,0.109375,124.42250579731764,
2026-01-28 04:06:34,BE_sudden__retrain_p4_all_seen_fit__040633,retrain_fit,17,periodic,8500,"{""period_batches"": 4, ""stream_batches_seen"": 12, ""buffer_size"": 8500, ""global_batch_id"": 17}",0.14308977127075195,0.15625,109.19718342714133,
2026-01-28 04:06:34,BE_sudden__retrain_p4_all_seen_fit__040633,retrain_fit,21,periodic,10500,"{""period_batches"": 4, ""stream_batches_seen"": 16, ""buffer_size"": 10500, ""global_batch_id"": 21}",0.17399930953979492,0.171875,98.77912760377416,
2026-01-28 04:06:35,BE_sudden__retrain_p4_all_seen_fit__040633,retrain_fit,25,periodic,12500,"{""period_batches"": 4, ""stream_batches_seen"": 20, ""buffer_size"": 12500, ""global_batch_id"": 25}",0.19710111618041992,0.203125,103.05624033811458,
2026-01-28 04:06:35,BE_sudden__retrain_p4_all_seen_fit__040633,retrain_fit,29,periodic,14500,"{""period_batches"": 4, ""stream_batches_seen"": 24, ""buffer_size"": 14500, ""global_batch_id"": 29}",0.23043084144592285,0.234375,101.71164525083884,
2026-01-28 04:06:35,BE_sudden__retrain_p4_all_seen_fit__040633,retrain_fit,33,periodic,16500,"{""period_batches"": 4, ""stream_batches_seen"": 28, ""buffer_size"": 16500, ""global_batch_id"": 33}",0.2500193119049072,0.25,99.99227583471048,
2026-01-28 04:06:36,BE_sudden__retrain_p4_all_seen_fit__040633,retrain_fit,37,periodic,18500,"{""period_batches"": 4, ""stream_batches_seen"": 32, ""buffer_size"": 18500, ""global_batch_id"": 37}",0.27919793128967285,0.28125,100.73498707560195,
2026-01-28 04:06:36,BE_sudden__retrain_p4_all_seen_fit__040633,retrain_fit,41,periodic,20500,"{""period_batches"": 4, ""stream_batches_seen"": 36, ""buffer_size"": 20500, ""global_batch_id"": 41}",0.29599857330322266,0.296875,100.29609152740055,
2026-01-28 04:06:36,BE_sudden__retrain_p4_all_seen_fit__040633,retrain_fit,45,periodic,22500,"{""period_batches"": 4, ""stream_batches_seen"": 40, ""buffer_size"": 22500, ""global_batch_id"": 45}",0.3269970417022705,0.328125,100.34494449609012,
