ts,run_id,batch_id,group,step_kind,n,pos_share,label_dist,acc,f1_macro,precision,recall,mix_weights,mix_alloc,wall_pred_sec,cpu_pred_sec,cpu_pred_pct,rss_mb
2026-01-28 04:06:45,BE_sudden__retrain_p4_last_window_wb4_update__040644,6,books,group,500,0.894,"{""1"": 447, ""0"": 53}",0.89,0.6386856039205897,0.6918439716312057,0.6141783799755182,,,0.007998943328857422,0.0,0.0,
2026-01-28 04:06:45,BE_sudden__retrain_p4_last_window_wb4_update__040644,7,books,group,500,0.896,"{""1"": 448, ""0"": 52}",0.914,0.7348265272141985,0.7794933162103788,0.7055288461538461,,,0.009002447128295898,0.0,0.0,
2026-01-28 04:06:45,BE_sudden__retrain_p4_last_window_wb4_update__040644,8,books,group,500,0.89,"{""1"": 445, ""0"": 55}",0.906,0.7266647281186391,0.7663043478260869,0.7002042900919305,,,0.0070040225982666016,0.0,0.0,
2026-01-28 04:06:45,BE_sudden__retrain_p4_last_window_wb4_update__040644,9,books,group,500,0.894,"{""1"": 447, ""0"": 53}",0.896,0.6546043891811467,0.7182809868950875,0.6258494787049934,,,0.008998632431030273,0.015625,173.63749569456587,
2026-01-28 04:06:45,BE_sudden__retrain_p4_last_window_wb4_update__040644,10,books,group,500,0.884,"{""1"": 442, ""0"": 58}",0.894,0.7314524873579992,0.7411464269131738,0.7228506787330317,,,0.0069997310638427734,0.0,0.0,
2026-01-28 04:06:45,BE_sudden__retrain_p4_last_window_wb4_update__040644,11,books,group,500,0.882,"{""1"": 441, ""0"": 59}",0.906,0.7580288100165776,0.778888888888889,0.741169914293401,,,0.00799870491027832,0.0,0.0,
2026-01-28 04:06:45,BE_sudden__retrain_p4_last_window_wb4_update__040644,12,books,group,500,0.914,"{""1"": 457, ""0"": 43}",0.888,0.6437840313470052,0.6437840313470052,0.6437840313470052,,,0.007999897003173828,0.015625,195.31501460332598,
2026-01-28 04:06:45,BE_sudden__retrain_p4_last_window_wb4_update__040644,13,books,group,500,0.916,"{""1"": 458, ""0"": 42}",0.95,0.8241195424294016,0.8542242703533026,0.7996984820128925,,,0.0069963932037353516,0.0,0.0,
2026-01-28 04:06:45,BE_sudden__retrain_p4_last_window_wb4_update__040644,14,books,group,500,0.92,"{""1"": 460, ""0"": 40}",0.948,0.7695035460992907,0.9010416666666666,0.7092391304347826,,,0.007999658584594727,0.0,0.0,
2026-01-28 04:06:45,BE_sudden__retrain_p4_last_window_wb4_update__040644,15,books,group,500,0.888,"{""1"": 444, ""0"": 56}",0.904,0.7234513274336283,0.7652173913043478,0.6962676962676962,,,0.00900125503540039,0.015625,173.58690469883987,
2026-01-28 04:06:45,BE_sudden__retrain_p4_last_window_wb4_update__040644,16,electronics,group,500,0.81,"{""0"": 95, ""1"": 405}",0.83,0.6360522372083065,0.7364130434782609,0.6130604288499025,,,0.006002902984619141,0.0,0.0,
2026-01-28 04:06:45,BE_sudden__retrain_p4_last_window_wb4_update__040644,17,electronics,group,500,0.782,"{""1"": 391, ""0"": 109}",0.808,0.6315740996592061,0.7343101343101344,0.6125671648795138,,,0.005171298980712891,0.015625,302.14845550945137,
2026-01-28 04:06:45,BE_sudden__retrain_p4_last_window_wb4_update__040644,18,electronics,group,500,0.804,"{""1"": 402, ""0"": 98}",0.826,0.7114906317360306,0.7222871615039937,0.7027363184079602,,,0.004998922348022461,0.0,0.0,
2026-01-28 04:06:45,BE_sudden__retrain_p4_last_window_wb4_update__040644,19,electronics,group,500,0.814,"{""1"": 407, ""0"": 93}",0.88,0.7893495112908662,0.8104873868727263,0.7728197405616761,,,0.005999565124511719,0.015625,260.43554283897635,
2026-01-28 04:06:45,BE_sudden__retrain_p4_last_window_wb4_update__040644,20,electronics,group,500,0.786,"{""1"": 393, ""0"": 107}",0.824,0.7290373435806483,0.738175027499936,0.7214097167724904,,,0.005999326705932617,0.0,0.0,
2026-01-28 04:06:45,BE_sudden__retrain_p4_last_window_wb4_update__040644,21,electronics,group,500,0.802,"{""1"": 401, ""0"": 99}",0.864,0.771622021010774,0.7930137817456877,0.7554598352603341,,,0.004998445510864258,0.015625,312.5971857858335,
2026-01-28 04:06:45,BE_sudden__retrain_p4_last_window_wb4_update__040644,22,electronics,group,500,0.776,"{""1"": 388, ""0"": 112}",0.868,0.7905878769418215,0.8304143772893773,0.7656940353460973,,,0.006001710891723633,0.015625,260.3424303817582,
2026-01-28 04:06:45,BE_sudden__retrain_p4_last_window_wb4_update__040644,23,electronics,group,500,0.814,"{""1"": 407, ""0"": 93}",0.894,0.813063015399375,0.8379207680155547,0.7938627777337455,,,0.004997730255126953,0.0,0.0,
2026-01-28 04:06:45,BE_sudden__retrain_p4_last_window_wb4_update__040644,24,electronics,group,500,0.802,"{""1"": 401, ""0"": 99}",0.868,0.7661233167965982,0.8114186283200369,0.738935489558931,,,0.004998683929443359,0.015625,312.5822760660117,
2026-01-28 04:06:45,BE_sudden__retrain_p4_last_window_wb4_update__040644,25,electronics,group,500,0.77,"{""1"": 385, ""0"": 115}",0.872,0.8043579271722384,0.8363201590585454,0.782721626199887,,,0.005994081497192383,0.0,0.0,
2026-01-28 04:06:45,BE_sudden__retrain_p4_last_window_wb4_update__040644,26,electronics,group,500,0.776,"{""1"": 388, ""0"": 112}",0.854,0.7656515849015415,0.8083178644037832,0.7407952871870398,,,0.004999399185180664,0.0,0.0,
2026-01-28 04:06:45,BE_sudden__retrain_p4_last_window_wb4_update__040644,27,electronics,group,500,0.772,"{""1"": 386, ""0"": 114}",0.866,0.7865902213728301,0.8353958572733433,0.7586810289973638,,,0.004999399185180664,0.0,0.0,
2026-01-28 04:06:45,BE_sudden__retrain_p4_last_window_wb4_update__040644,28,electronics,group,500,0.748,"{""0"": 126, ""1"": 374}",0.87,0.8124325478585568,0.8489038397585122,0.7894278923690689,,,0.007001399993896484,0.0,0.0,
2026-01-28 04:06:45,BE_sudden__retrain_p4_last_window_wb4_update__040644,29,electronics,group,500,0.78,"{""1"": 390, ""0"": 110}",0.89,0.8261595160280927,0.8608304806434555,0.8022144522144523,,,0.006000041961669922,0.0,0.0,
2026-01-28 04:06:45,BE_sudden__retrain_p4_last_window_wb4_update__040644,30,electronics,group,500,0.726,"{""0"": 137, ""1"": 363}",0.884,0.8419067140583092,0.8811332127787823,0.8178600872695099,,,0.0050008296966552734,0.0,0.0,
2026-01-28 04:06:45,BE_sudden__retrain_p4_last_window_wb4_update__040644,31,electronics,group,500,0.774,"{""0"": 113, ""1"": 387}",0.868,0.803809659698937,0.8174644532122385,0.7925499073883515,,,0.006000041961669922,0.015625,260.4148454263689,
2026-01-28 04:06:45,BE_sudden__retrain_p4_last_window_wb4_update__040644,32,electronics,group,500,0.784,"{""1"": 392, ""0"": 108}",0.86,0.7761633112481134,0.8049095607235142,0.7564247921390779,,,0.004998922348022461,0.0,0.0,
2026-01-28 04:06:45,BE_sudden__retrain_p4_last_window_wb4_update__040644,33,electronics,group,500,0.778,"{""1"": 389, ""0"": 111}",0.892,0.8286628084069448,0.8694542877391921,0.8018249612079946,,,0.005107879638671875,0.015625,305.8999253174011,
2026-01-28 04:06:45,BE_sudden__retrain_p4_last_window_wb4_update__040644,34,electronics,group,500,0.77,"{""1"": 385, ""0"": 115}",0.906,0.8643743038361871,0.8729686318972033,0.8566346696781479,,,0.005998373031616211,0.015625,260.4873007671211,
2026-01-28 04:06:45,BE_sudden__retrain_p4_last_window_wb4_update__040644,35,electronics,group,500,0.766,"{""1"": 383, ""0"": 117}",0.858,0.8001564971655999,0.8029497318425598,0.7974939189038406,,,0.005997657775878906,0.0,0.0,
2026-01-28 04:06:45,BE_sudden__retrain_p4_last_window_wb4_update__040644,36,electronics,group,500,0.784,"{""1"": 392, ""0"": 108}",0.88,0.8216451451808519,0.8238674456469687,0.819491685563114,,,0.005998134613037109,0.015625,260.49765482152793,
2026-01-28 04:06:45,BE_sudden__retrain_p4_last_window_wb4_update__040644,37,electronics,group,500,0.774,"{""1"": 387, ""0"": 113}",0.876,0.8169406651549509,0.8284463573891565,0.80711623333562,,,0.005998373031616211,0.0,0.0,
2026-01-28 04:06:45,BE_sudden__retrain_p4_last_window_wb4_update__040644,38,electronics,group,500,0.768,"{""0"": 116, ""1"": 384}",0.876,0.8205146020056047,0.8316732113782205,0.8109734195402298,,,0.0059964656829833984,0.0,0.0,
2026-01-28 04:06:45,BE_sudden__retrain_p4_last_window_wb4_update__040644,39,electronics,group,500,0.784,"{""0"": 108, ""1"": 392}",0.864,0.7964754333876065,0.8006993006993006,0.7925170068027211,,,0.005000114440917969,0.015625,312.49284760633225,
2026-01-28 04:06:45,BE_sudden__retrain_p4_last_window_wb4_update__040644,40,electronics,group,500,0.774,"{""0"": 113, ""1"": 387}",0.876,0.8104717419481059,0.836728223824998,0.7914522878507237,,,0.005000591278076172,0.0,0.0,
2026-01-28 04:06:45,BE_sudden__retrain_p4_last_window_wb4_update__040644,41,electronics,group,500,0.79,"{""1"": 395, ""0"": 105}",0.87,0.8005829114894922,0.8062499999999999,0.7953586497890295,,,0.005997419357299805,0.015625,260.52872192407074,
2026-01-28 04:06:45,BE_sudden__retrain_p4_last_window_wb4_update__040644,42,electronics,group,500,0.774,"{""0"": 113, ""1"": 387}",0.88,0.8228458049886621,0.8345601721650241,0.8128330017607647,,,0.00699615478515625,0.015625,223.33696837513634,
2026-01-28 04:06:45,BE_sudden__retrain_p4_last_window_wb4_update__040644,43,electronics,group,500,0.764,"{""1"": 382, ""0"": 118}",0.89,0.8442447000719306,0.8520461335371361,0.8372304552311651,,,0.006000995635986328,0.0,0.0,
2026-01-28 04:06:45,BE_sudden__retrain_p4_last_window_wb4_update__040644,44,electronics,group,500,0.768,"{""1"": 384, ""0"": 116}",0.906,0.8626044352457627,0.8796923528404783,0.8485542385057472,,,0.005999326705932617,0.0,0.0,
2026-01-28 04:06:45,BE_sudden__retrain_p4_last_window_wb4_update__040644,45,electronics,group,500,0.744,"{""1"": 372, ""0"": 128}",0.874,0.8268079327464963,0.8449825146483244,0.8128360215053764,,,0.0049974918365478516,0.015625,312.6568388912743,
