ts,run_id,batch_id,group,step_kind,n,pos_share,label_dist,acc,f1_macro,precision,recall,mix_weights,mix_alloc,wall_pred_sec,cpu_pred_sec,cpu_pred_pct,rss_mb
2026-01-28 04:05:26,BE_sudden__quality_drop_acc_th0.02_bk3_ck2_quality_drop_last_window_wb1_fit__040525,6,books,group,500,0.894,"{""1"": 447, ""0"": 53}",0.906,0.5767214827356401,0.9524291497975709,0.5566037735849056,,,0.009000062942504883,0.015625,173.6098969509126,
2026-01-28 04:05:26,BE_sudden__quality_drop_acc_th0.02_bk3_ck2_quality_drop_last_window_wb1_fit__040525,7,books,group,500,0.896,"{""1"": 448, ""0"": 52}",0.904,0.6106677048861203,0.7771898883009994,0.5809581043956044,,,0.008997201919555664,0.015625,173.66510321435194,
2026-01-28 04:05:26,BE_sudden__quality_drop_acc_th0.02_bk3_ck2_quality_drop_last_window_wb1_fit__040525,8,books,group,500,0.89,"{""1"": 445, ""0"": 55}",0.898,0.5548106635939875,0.8660593792172739,0.5443309499489275,,,0.007002353668212891,0.0,0.0,
2026-01-28 04:05:26,BE_sudden__quality_drop_acc_th0.02_bk3_ck2_quality_drop_last_window_wb1_fit__040525,9,books,group,500,0.894,"{""1"": 447, ""0"": 53}",0.906,0.589727474292498,0.8907520325203252,0.5649191676163944,,,0.008108139038085938,0.0,0.0,
2026-01-28 04:05:26,BE_sudden__quality_drop_acc_th0.02_bk3_ck2_quality_drop_last_window_wb1_fit__040525,10,books,group,500,0.884,"{""1"": 442, ""0"": 58}",0.892,0.5620011679968854,0.8221544715447154,0.5494616944921205,,,0.008001327514648438,0.015625,195.28009535160905,
2026-01-28 04:05:26,BE_sudden__quality_drop_acc_th0.02_bk3_ck2_quality_drop_last_window_wb1_fit__040525,11,books,group,500,0.882,"{""1"": 441, ""0"": 59}",0.896,0.5897500631153749,0.892509617560534,0.5666628233214189,,,0.00900125503540039,0.015625,173.58690469883987,
2026-01-28 04:05:26,BE_sudden__quality_drop_acc_th0.02_bk3_ck2_quality_drop_last_window_wb1_fit__040525,12,books,group,500,0.914,"{""1"": 457, ""0"": 43}",0.916,0.5214656822532131,0.7920858484238766,0.5221617220497685,,,0.007999420166015625,0.0,0.0,
2026-01-28 04:05:26,BE_sudden__quality_drop_acc_th0.02_bk3_ck2_quality_drop_last_window_wb1_fit__040525,13,books,group,500,0.916,"{""1"": 458, ""0"": 42}",0.926,0.617760697535073,0.8532473410273818,0.5811499272197962,,,0.008996963500976562,0.015625,173.66970532117872,
2026-01-28 04:05:26,BE_sudden__quality_drop_acc_th0.02_bk3_ck2_quality_drop_last_window_wb1_fit__040525,14,books,group,500,0.92,"{""1"": 460, ""0"": 40}",0.928,0.5898277276456112,0.8812415654520918,0.5614130434782609,,,0.007999897003173828,0.015625,195.31501460332598,
2026-01-28 04:05:26,BE_sudden__quality_drop_acc_th0.02_bk3_ck2_quality_drop_last_window_wb1_fit__040525,15,books,group,500,0.888,"{""1"": 444, ""0"": 56}",0.894,0.5373522582447319,0.8474747474747475,0.5345881595881596,,,0.007998943328857422,0.0,0.0,
2026-01-28 04:05:26,BE_sudden__quality_drop_acc_th0.02_bk3_ck2_quality_drop_last_window_wb1_fit__040525,16,electronics,group,500,0.81,"{""0"": 95, ""1"": 405}",0.814,0.4878798224650051,0.7412280701754386,0.5185834957764782,,,0.004996538162231445,0.0,0.0,
2026-01-28 04:05:26,BE_sudden__quality_drop_acc_th0.02_bk3_ck2_quality_drop_last_window_wb1_fit__040525,17,electronics,group,500,0.782,"{""1"": 391, ""0"": 109}",0.788,0.4831486971446403,0.7516661837148653,0.5203782350594806,,,0.00599980354309082,0.015625,260.42519372143846,
2026-01-28 04:05:26,BE_sudden__quality_drop_acc_th0.02_bk3_ck2_quality_drop_last_window_wb1_fit__040525,18,electronics,group,500,0.804,"{""1"": 402, ""0"": 98}",0.856,0.7079439252336448,0.8230224095000958,0.6712356584424815,,,0.005999565124511719,0.015625,260.43554283897635,
2026-01-28 04:05:26,BE_sudden__quality_drop_acc_th0.02_bk3_ck2_quality_drop_last_window_wb1_fit__040525,19,electronics,group,500,0.814,"{""1"": 407, ""0"": 93}",0.862,0.7184845492896834,0.8077777777777777,0.6829542152122797,,,0.007001399993896484,0.0,0.0,
2026-01-28 04:05:26,BE_sudden__quality_drop_acc_th0.02_bk3_ck2_quality_drop_last_window_wb1_fit__040525,20,electronics,group,500,0.786,"{""1"": 393, ""0"": 107}",0.83,0.6788841791901836,0.7811111111111111,0.650412594230815,,,0.00499725341796875,0.015625,312.67175572519085,
2026-01-28 04:05:26,BE_sudden__quality_drop_acc_th0.02_bk3_ck2_quality_drop_last_window_wb1_fit__040525,21,electronics,group,500,0.802,"{""1"": 401, ""0"": 99}",0.86,0.7284632571996028,0.8219154953357816,0.6921081135544975,,,0.005002021789550781,0.0,0.0,
2026-01-28 04:05:26,BE_sudden__quality_drop_acc_th0.02_bk3_ck2_quality_drop_last_window_wb1_fit__040525,22,electronics,group,500,0.776,"{""1"": 388, ""0"": 112}",0.83,0.7029446917963809,0.7832069905522985,0.6745213549337261,,,0.004998207092285156,0.015625,312.61209692806716,
2026-01-28 04:05:26,BE_sudden__quality_drop_acc_th0.02_bk3_ck2_quality_drop_last_window_wb1_fit__040525,23,electronics,group,500,0.814,"{""1"": 407, ""0"": 93}",0.86,0.7093023255813954,0.8083227654877647,0.673430028268738,,,0.0059969425201416016,0.0,0.0,
2026-01-28 04:05:26,BE_sudden__quality_drop_acc_th0.02_bk3_ck2_quality_drop_last_window_wb1_fit__040525,24,electronics,group,500,0.802,"{""1"": 401, ""0"": 99}",0.836,0.6748509072452734,0.7635639621702339,0.6467165419783873,,,0.005999565124511719,0.015625,260.43554283897635,
2026-01-28 04:05:26,BE_sudden__quality_drop_acc_th0.02_bk3_ck2_quality_drop_last_window_wb1_fit__040525,25,electronics,group,500,0.77,"{""1"": 385, ""0"": 115}",0.822,0.6998090920742853,0.7689917609272447,0.674025974025974,,,0.006087541580200195,0.0,0.0,
2026-01-28 04:05:26,BE_sudden__quality_drop_acc_th0.02_bk3_ck2_quality_drop_last_window_wb1_fit__040525,26,electronics,group,500,0.776,"{""1"": 388, ""0"": 112}",0.82,0.6780563186813188,0.7660070785070785,0.6521999263622975,,,0.005997896194458008,0.0,0.0,
2026-01-28 04:05:26,BE_sudden__quality_drop_acc_th0.02_bk3_ck2_quality_drop_last_window_wb1_fit__040525,27,electronics,group,500,0.772,"{""1"": 386, ""0"": 114}",0.82,0.6840242669362993,0.770869090341707,0.6578038360149077,,,0.006003141403198242,0.0,0.0,
2026-01-28 04:05:26,BE_sudden__quality_drop_acc_th0.02_bk3_ck2_quality_drop_last_window_wb1_fit__040525,28,electronics,group,500,0.748,"{""0"": 126, ""1"": 374}",0.834,0.743496238974974,0.8115962052132265,0.7153679653679654,,,0.006998538970947266,0.015625,223.26088437691624,
2026-01-28 04:05:26,BE_sudden__quality_drop_acc_th0.02_bk3_ck2_quality_drop_last_window_wb1_fit__040525,29,electronics,group,500,0.78,"{""1"": 390, ""0"": 110}",0.808,0.6532894166594435,0.7280405405405406,0.6321678321678321,,,0.007999658584594727,0.0,0.0,
2026-01-28 04:05:26,BE_sudden__quality_drop_acc_th0.02_bk3_ck2_quality_drop_last_window_wb1_fit__040525,30,electronics,group,500,0.726,"{""0"": 137, ""1"": 363}",0.794,0.6816881037882208,0.7785574640413351,0.6604431843317046,,,0.00899958610534668,0.0,0.0,
2026-01-28 04:05:26,BE_sudden__quality_drop_acc_th0.02_bk3_ck2_quality_drop_last_window_wb1_fit__040525,31,electronics,group,500,0.774,"{""0"": 113, ""1"": 387}",0.84,0.719132681721155,0.8138667896537146,0.6867439573757746,,,0.006999969482421875,0.015625,223.21525885558583,
2026-01-28 04:05:26,BE_sudden__quality_drop_acc_th0.02_bk3_ck2_quality_drop_last_window_wb1_fit__040525,32,electronics,group,500,0.784,"{""1"": 392, ""0"": 108}",0.846,0.720558882235529,0.8137301493010178,0.6871220710506425,,,0.005995750427246094,0.0,0.0,
2026-01-28 04:05:26,BE_sudden__quality_drop_acc_th0.02_bk3_ck2_quality_drop_last_window_wb1_fit__040525,33,electronics,group,500,0.778,"{""1"": 389, ""0"": 111}",0.852,0.7327439253416543,0.8451481103166496,0.6956390838138911,,,0.00600123405456543,0.0,0.0,
2026-01-28 04:05:26,BE_sudden__quality_drop_acc_th0.02_bk3_ck2_quality_drop_last_window_wb1_fit__040525,34,electronics,group,500,0.77,"{""1"": 385, ""0"": 115}",0.802,0.6631713607196565,0.7264908256880733,0.6427442123094297,,,0.0059986114501953125,0.0,0.0,
2026-01-28 04:05:26,BE_sudden__quality_drop_acc_th0.02_bk3_ck2_quality_drop_last_window_wb1_fit__040525,35,electronics,group,500,0.766,"{""1"": 383, ""0"": 117}",0.814,0.6990661342618061,0.7512688745083111,0.6767646336836938,,,0.004999399185180664,0.0,0.0,
2026-01-28 04:05:26,BE_sudden__quality_drop_acc_th0.02_bk3_ck2_quality_drop_last_window_wb1_fit__040525,36,electronics,group,500,0.784,"{""1"": 392, ""0"": 108}",0.812,0.6467121681349409,0.7355555555555555,0.6251889644746788,,,0.004998683929443359,0.015625,312.5822760660117,
2026-01-28 04:05:26,BE_sudden__quality_drop_acc_th0.02_bk3_ck2_quality_drop_last_window_wb1_fit__040525,37,electronics,group,500,0.774,"{""1"": 387, ""0"": 113}",0.806,0.6546543339100962,0.7347168597168597,0.6334522421165764,,,0.005998134613037109,0.0,0.0,
2026-01-28 04:05:26,BE_sudden__quality_drop_acc_th0.02_bk3_ck2_quality_drop_last_window_wb1_fit__040525,38,electronics,group,500,0.768,"{""0"": 116, ""1"": 384}",0.82,0.6840242669362993,0.7816119691119691,0.6571928879310345,,,0.005999326705932617,0.015625,260.4458927790804,
2026-01-28 04:05:26,BE_sudden__quality_drop_acc_th0.02_bk3_ck2_quality_drop_last_window_wb1_fit__040525,39,electronics,group,500,0.784,"{""0"": 108, ""1"": 392}",0.832,0.7103927625772286,0.7664760348583879,0.684901738473167,,,0.005998373031616211,0.0,0.0,
2026-01-28 04:05:26,BE_sudden__quality_drop_acc_th0.02_bk3_ck2_quality_drop_last_window_wb1_fit__040525,40,electronics,group,500,0.774,"{""0"": 113, ""1"": 387}",0.834,0.7200466813726483,0.7862200435729847,0.6922663556744644,,,0.006001472473144531,0.015625,260.3527729222946,
2026-01-28 04:05:26,BE_sudden__quality_drop_acc_th0.02_bk3_ck2_quality_drop_last_window_wb1_fit__040525,41,electronics,group,500,0.79,"{""1"": 395, ""0"": 105}",0.832,0.6842959800354791,0.7729939639525558,0.6559373116335142,,,0.006002664566040039,0.0,0.0,
2026-01-28 04:05:26,BE_sudden__quality_drop_acc_th0.02_bk3_ck2_quality_drop_last_window_wb1_fit__040525,42,electronics,group,500,0.774,"{""0"": 113, ""1"": 387}",0.836,0.7121109987641838,0.8042584265344556,0.68102718895063,,,0.0060007572174072266,0.0,0.0,
2026-01-28 04:05:26,BE_sudden__quality_drop_acc_th0.02_bk3_ck2_quality_drop_last_window_wb1_fit__040525,43,electronics,group,500,0.764,"{""1"": 382, ""0"": 118}",0.86,0.7649050216287379,0.8663990825688073,0.7268169314047387,,,0.005997180938720703,0.0,0.0,
2026-01-28 04:05:26,BE_sudden__quality_drop_acc_th0.02_bk3_ck2_quality_drop_last_window_wb1_fit__040525,44,electronics,group,500,0.768,"{""1"": 384, ""0"": 116}",0.826,0.7039990745718193,0.784987831898587,0.6761404454022988,,,0.00498652458190918,0.0,0.0,
2026-01-28 04:05:26,BE_sudden__quality_drop_acc_th0.02_bk3_ck2_quality_drop_last_window_wb1_fit__040525,45,electronics,group,500,0.744,"{""1"": 372, ""0"": 128}",0.832,0.7334754797441365,0.8284313725490196,0.7026209677419355,,,0.006002187728881836,0.015625,260.3217477656405,
