ts,run_id,batch_id,group,step_kind,n,pos_share,label_dist,acc,f1_macro,precision,recall,mix_weights,mix_alloc,wall_pred_sec,cpu_pred_sec,cpu_pred_pct,rss_mb
2026-01-28 04:05:12,BE_sudden__retrain_p16_all_seen_fit__040512,6,books,group,500,0.894,"{""1"": 447, ""0"": 53}",0.906,0.5767214827356401,0.9524291497975709,0.5566037735849056,,,0.007998466491699219,0.0,0.0,
2026-01-28 04:05:12,BE_sudden__retrain_p16_all_seen_fit__040512,7,books,group,500,0.896,"{""1"": 448, ""0"": 52}",0.904,0.6106677048861203,0.7771898883009994,0.5809581043956044,,,0.011002540588378906,0.015625,142.01265493629194,
2026-01-28 04:05:12,BE_sudden__retrain_p16_all_seen_fit__040512,8,books,group,500,0.89,"{""1"": 445, ""0"": 55}",0.898,0.5548106635939875,0.8660593792172739,0.5443309499489275,,,0.006996631622314453,0.0,0.0,
2026-01-28 04:05:12,BE_sudden__retrain_p16_all_seen_fit__040512,9,books,group,500,0.894,"{""1"": 447, ""0"": 53}",0.906,0.589727474292498,0.8907520325203252,0.5649191676163944,,,0.011001348495483398,0.015625,142.02804325683204,
2026-01-28 04:05:12,BE_sudden__retrain_p16_all_seen_fit__040512,10,books,group,500,0.884,"{""1"": 442, ""0"": 58}",0.892,0.5620011679968854,0.8221544715447154,0.5494616944921205,,,0.010002851486206055,0.015625,156.20545822905493,
2026-01-28 04:05:12,BE_sudden__retrain_p16_all_seen_fit__040512,11,books,group,500,0.882,"{""1"": 441, ""0"": 59}",0.896,0.5897500631153749,0.892509617560534,0.5666628233214189,,,0.008002519607543945,0.0,0.0,
2026-01-28 04:05:12,BE_sudden__retrain_p16_all_seen_fit__040512,12,books,group,500,0.914,"{""1"": 457, ""0"": 43}",0.916,0.5214656822532131,0.7920858484238766,0.5221617220497685,,,0.007998466491699219,0.015625,195.34994634553476,
2026-01-28 04:05:12,BE_sudden__retrain_p16_all_seen_fit__040512,13,books,group,500,0.916,"{""1"": 458, ""0"": 42}",0.926,0.617760697535073,0.8532473410273818,0.5811499272197962,,,0.006997823715209961,0.0,0.0,
2026-01-28 04:05:12,BE_sudden__retrain_p16_all_seen_fit__040512,14,books,group,500,0.92,"{""1"": 460, ""0"": 40}",0.928,0.5898277276456112,0.8812415654520918,0.5614130434782609,,,0.008093118667602539,0.015625,193.0652526145235,
2026-01-28 04:05:12,BE_sudden__retrain_p16_all_seen_fit__040512,15,books,group,500,0.888,"{""1"": 444, ""0"": 56}",0.894,0.5373522582447319,0.8474747474747475,0.5345881595881596,,,0.008002758026123047,0.015625,195.24518858368586,
2026-01-28 04:05:12,BE_sudden__retrain_p16_all_seen_fit__040512,16,electronics,group,500,0.81,"{""0"": 95, ""1"": 405}",0.814,0.4878798224650051,0.7412280701754386,0.5185834957764782,,,0.0049991607666015625,0.0,0.0,
2026-01-28 04:05:12,BE_sudden__retrain_p16_all_seen_fit__040512,17,electronics,group,500,0.782,"{""1"": 391, ""0"": 109}",0.788,0.4831486971446403,0.7516661837148653,0.5203782350594806,,,0.005998373031616211,0.015625,260.4873007671211,
2026-01-28 04:05:12,BE_sudden__retrain_p16_all_seen_fit__040512,18,electronics,group,500,0.804,"{""1"": 402, ""0"": 98}",0.81,0.48588065937158376,0.805050505050505,0.5191643821707788,,,0.006000041961669922,0.0,0.0,
2026-01-28 04:05:12,BE_sudden__retrain_p16_all_seen_fit__040512,19,electronics,group,500,0.814,"{""1"": 407, ""0"": 93}",0.812,0.47777777777777775,0.6230078238191828,0.5112150273440597,,,0.006000995635986328,0.015625,260.3734604688121,
2026-01-28 04:05:12,BE_sudden__retrain_p16_all_seen_fit__040512,20,electronics,group,500,0.786,"{""1"": 393, ""0"": 107}",0.802,0.5208641867758516,0.8500000000000001,0.5407838101353118,,,0.005998134613037109,0.0,0.0,
2026-01-28 04:05:12,BE_sudden__retrain_p16_all_seen_fit__040512,21,electronics,group,500,0.802,"{""1"": 401, ""0"": 99}",0.804,0.4650421415782349,0.7357478202548625,0.5088541273079926,,,0.005997896194458008,0.0,0.0,
2026-01-28 04:05:13,BE_sudden__retrain_p16_all_seen_fit__040512,22,electronics,group,500,0.776,"{""1"": 388, ""0"": 112}",0.846,0.712082800499555,0.8578037668498426,0.6753037555228277,,,0.004999637603759766,0.0,0.0,
2026-01-28 04:05:13,BE_sudden__retrain_p16_all_seen_fit__040512,23,electronics,group,500,0.814,"{""1"": 407, ""0"": 93}",0.88,0.7446895424836601,0.8816854104116839,0.698158569126311,,,0.006642580032348633,0.0,0.0,
2026-01-28 04:05:13,BE_sudden__retrain_p16_all_seen_fit__040512,24,electronics,group,500,0.802,"{""1"": 401, ""0"": 99}",0.854,0.6986434828557038,0.8338012060719484,0.661742109373032,,,0.007544279098510742,0.0,0.0,
2026-01-28 04:05:13,BE_sudden__retrain_p16_all_seen_fit__040512,25,electronics,group,500,0.77,"{""1"": 385, ""0"": 115}",0.826,0.6842678279804029,0.8055555555555556,0.65527950310559,,,0.0055005550384521484,0.015625,284.0622426422782,
2026-01-28 04:05:13,BE_sudden__retrain_p16_all_seen_fit__040512,26,electronics,group,500,0.776,"{""1"": 388, ""0"": 112}",0.838,0.6840848992581846,0.8652038489348685,0.6510953608247423,,,0.00498199462890625,0.0,0.0,
2026-01-28 04:05:13,BE_sudden__retrain_p16_all_seen_fit__040512,27,electronics,group,500,0.772,"{""1"": 386, ""0"": 114}",0.844,0.7037914691943128,0.8824079850280724,0.667166621216253,,,0.004038572311401367,0.0,0.0,
2026-01-28 04:05:13,BE_sudden__retrain_p16_all_seen_fit__040512,28,electronics,group,500,0.748,"{""0"": 126, ""1"": 374}",0.856,0.7660818713450293,0.8841026376146789,0.7274424921483744,,,0.008234500885009766,0.0,0.0,
2026-01-28 04:05:13,BE_sudden__retrain_p16_all_seen_fit__040512,29,electronics,group,500,0.78,"{""1"": 390, ""0"": 110}",0.848,0.711386559727792,0.8576900976824363,0.6741258741258742,,,0.0030913352966308594,0.0,0.0,
2026-01-28 04:05:13,BE_sudden__retrain_p16_all_seen_fit__040512,30,electronics,group,500,0.726,"{""0"": 137, ""1"": 363}",0.82,0.7144380140115748,0.8539144471347861,0.6851661941243893,,,0.004876375198364258,0.015625,320.4224319170782,
2026-01-28 04:05:13,BE_sudden__retrain_p16_all_seen_fit__040512,31,electronics,group,500,0.774,"{""0"": 113, ""1"": 387}",0.844,0.7155444042478702,0.8436176252238089,0.6799295694130022,,,0.0,0.0,,
2026-01-28 04:05:13,BE_sudden__retrain_p16_all_seen_fit__040512,32,electronics,group,500,0.784,"{""1"": 392, ""0"": 108}",0.856,0.7293965543161249,0.8577777777777778,0.6901455026455026,,,0.0071790218353271484,0.0,0.0,
2026-01-28 04:05:13,BE_sudden__retrain_p16_all_seen_fit__040512,33,electronics,group,500,0.778,"{""1"": 389, ""0"": 111}",0.868,0.7544642857142856,0.9086383999275984,0.709141017624308,,,0.006009340286254883,0.0,0.0,
2026-01-28 04:05:13,BE_sudden__retrain_p16_all_seen_fit__040512,34,electronics,group,500,0.77,"{""1"": 385, ""0"": 115}",0.848,0.7200860367129261,0.8779766098351416,0.6817617165443253,,,0.0019328594207763672,0.015625,808.3878130011101,
