ts,run_id,batch_id,group,step_kind,n,pos_share,label_dist,acc,f1_macro,precision,recall,mix_weights,mix_alloc,wall_pred_sec,cpu_pred_sec,cpu_pred_pct,rss_mb
2026-01-28 04:19:54,BE_temporary__drift_detected_PHT_last_window_wb2_fit__041954,6,books,group,500,0.894,"{""1"": 447, ""0"": 53}",0.894,0.4720168954593453,0.447,0.5,,,0.008999109268188477,0.015625,173.6282951384289,
2026-01-28 04:19:54,BE_temporary__drift_detected_PHT_last_window_wb2_fit__041954,7,books,group,500,0.896,"{""1"": 448, ""0"": 52}",0.896,0.4725738396624473,0.448,0.5,,,0.010996818542480469,0.015625,142.0865493018819,
2026-01-28 04:19:54,BE_temporary__drift_detected_PHT_last_window_wb2_fit__041954,8,books,group,500,0.89,"{""1"": 445, ""0"": 55}",0.894,0.5069859165410876,0.9467871485943775,0.5181818181818182,,,0.009000778198242188,0.015625,173.59610086882816,
2026-01-28 04:19:54,BE_temporary__drift_detected_PHT_last_window_wb2_fit__041954,9,books,group,500,0.894,"{""1"": 447, ""0"": 53}",0.894,0.4720168954593453,0.447,0.5,,,0.00899815559387207,0.0,0.0,
2026-01-28 04:19:54,BE_temporary__drift_detected_PHT_last_window_wb2_fit__041954,10,books,group,500,0.884,"{""1"": 442, ""0"": 58}",0.886,0.48666222374322304,0.9428857715430862,0.5086206896551724,,,0.007998466491699219,0.0,0.0,
2026-01-28 04:19:54,BE_temporary__drift_detected_PHT_last_window_wb2_fit__041954,11,books,group,500,0.882,"{""1"": 441, ""0"": 59}",0.882,0.46865037194473963,0.441,0.5,,,0.008994340896606445,0.015625,173.72034459907223,
2026-01-28 04:19:54,BE_temporary__drift_detected_PHT_last_window_wb2_fit__041954,12,books,group,500,0.914,"{""1"": 457, ""0"": 43}",0.914,0.47753396029258094,0.457,0.5,,,0.008997678756713867,0.015625,173.65589973237235,
2026-01-28 04:19:54,BE_temporary__drift_detected_PHT_last_window_wb2_fit__041954,13,electronics,group,500,0.81,"{""0"": 95, ""1"": 405}",0.81,0.44751381215469616,0.405,0.5,,,0.005999326705932617,0.015625,260.4458927790804,
2026-01-28 04:19:55,BE_temporary__drift_detected_PHT_last_window_wb2_fit__041954,14,electronics,group,500,0.782,"{""1"": 391, ""0"": 109}",0.782,0.4388327721661055,0.391,0.5,,,0.0069997310638427734,0.0,0.0,
2026-01-28 04:19:55,BE_temporary__drift_detected_PHT_last_window_wb2_fit__041954,15,electronics,group,500,0.804,"{""1"": 402, ""0"": 98}",0.804,0.44567627494456763,0.402,0.5,,,0.007001399993896484,0.015625,223.16965197847853,
2026-01-28 04:19:55,BE_temporary__drift_detected_PHT_last_window_wb2_fit__041954,16,electronics,group,500,0.814,"{""1"": 407, ""0"": 93}",0.814,0.4487320837927232,0.407,0.5,,,0.0069997310638427734,0.015625,223.22286181409447,
2026-01-28 04:19:55,BE_temporary__drift_detected_PHT_last_window_wb2_fit__041954,17,electronics,group,500,0.786,"{""1"": 393, ""0"": 107}",0.788,0.44984221890051485,0.8937875751503006,0.5046728971962616,,,0.00699925422668457,0.0,0.0,
2026-01-28 04:19:55,BE_temporary__drift_detected_PHT_last_window_wb2_fit__041954,18,electronics,group,500,0.802,"{""1"": 401, ""0"": 99}",0.802,0.44506104328523866,0.401,0.5,,,0.006998538970947266,0.015625,223.26088437691624,
2026-01-28 04:19:55,BE_temporary__drift_detected_PHT_last_window_wb2_fit__041954,19,electronics,group,500,0.776,"{""1"": 388, ""0"": 112}",0.776,0.43693693693693697,0.388,0.5,,,0.006998777389526367,0.015625,223.25327882813832,
2026-01-28 04:19:55,BE_temporary__drift_detected_PHT_last_window_wb2_fit__041954,20,electronics,group,500,0.814,"{""1"": 407, ""0"": 93}",0.816,0.45986567094077313,0.9078156312625251,0.5053763440860215,,,0.006000518798828125,0.0,0.0,
2026-01-28 04:19:55,BE_temporary__drift_detected_PHT_last_window_wb2_fit__041954,21,electronics,group,500,0.802,"{""1"": 401, ""0"": 99}",0.802,0.44506104328523866,0.401,0.5,,,0.005480766296386719,0.015625,285.08787193318256,
2026-01-28 04:19:55,BE_temporary__drift_detected_PHT_last_window_wb2_fit__041954,22,electronics,group,500,0.77,"{""1"": 385, ""0"": 115}",0.77,0.4350282485875706,0.385,0.5,,,0.006823301315307617,0.0,0.0,
2026-01-28 04:19:55,BE_temporary__drift_detected_PHT_last_window_wb2_fit__041954,23,electronics,group,500,0.776,"{""1"": 388, ""0"": 112}",0.776,0.43693693693693697,0.388,0.5,,,0.005495548248291016,0.0,0.0,
2026-01-28 04:19:55,BE_temporary__drift_detected_PHT_last_window_wb2_fit__041954,24,electronics,group,500,0.772,"{""1"": 386, ""0"": 114}",0.77,0.43502824858757067,0.38577154308617234,0.49870466321243523,,,0.007080554962158203,0.015625,220.6747929153478,
2026-01-28 04:19:55,BE_temporary__drift_detected_PHT_last_window_wb2_fit__041954,25,books,group,500,0.916,"{""1"": 458, ""0"": 42}",0.918,0.5018347063254842,0.9589178356713427,0.5119047619047619,,,0.008937597274780273,0.015625,174.82327206765012,
2026-01-28 04:19:55,BE_temporary__drift_detected_PHT_last_window_wb2_fit__041954,26,books,group,500,0.92,"{""1"": 460, ""0"": 40}",0.922,0.5040565629848165,0.9609218436873748,0.5125,,,0.013494014739990234,0.015625,115.79207745856743,
2026-01-28 04:19:55,BE_temporary__drift_detected_PHT_last_window_wb2_fit__041954,27,books,group,500,0.888,"{""1"": 444, ""0"": 56}",0.89,0.4883816115049022,0.9448897795591182,0.5089285714285714,,,0.01136326789855957,0.0,0.0,
2026-01-28 04:19:55,BE_temporary__drift_detected_PHT_last_window_wb2_fit__041954,28,books,group,500,0.868,"{""1"": 434, ""0"": 66}",0.868,0.46466809421841543,0.434,0.5,,,0.013860225677490234,0.0,0.0,
2026-01-28 04:19:55,BE_temporary__drift_detected_PHT_last_window_wb2_fit__041954,29,books,group,500,0.892,"{""1"": 446, ""0"": 54}",0.892,0.4714587737843552,0.446,0.5,,,0.013271331787109375,0.0,0.0,
2026-01-28 04:19:55,BE_temporary__drift_detected_PHT_last_window_wb2_fit__041954,30,books,group,500,0.936,"{""1"": 468, ""0"": 32}",0.936,0.48347107438016534,0.468,0.5,,,0.013145923614501953,0.015625,118.85813776342995,
2026-01-28 04:19:55,BE_temporary__drift_detected_PHT_last_window_wb2_fit__041954,31,books,group,500,0.896,"{""1"": 448, ""0"": 52}",0.896,0.4725738396624473,0.448,0.5,,,0.013521432876586914,0.015625,115.55727963606228,
2026-01-28 04:19:55,BE_temporary__drift_detected_PHT_last_window_wb2_fit__041954,32,books,group,500,0.88,"{""1"": 440, ""0"": 60}",0.88,0.46808510638297873,0.44,0.5,,,0.012838363647460938,0.015625,121.70554152429061,
2026-01-28 04:19:55,BE_temporary__drift_detected_PHT_last_window_wb2_fit__041954,33,books,group,500,0.9,"{""1"": 450, ""0"": 50}",0.9,0.4736842105263158,0.45,0.5,,,0.00482630729675293,0.015625,323.74648026478286,
2026-01-28 04:19:55,BE_temporary__drift_detected_PHT_last_window_wb2_fit__041954,34,books,group,500,0.864,"{""1"": 432, ""0"": 68}",0.866,0.4785099394448855,0.9328657314629258,0.5073529411764706,,,0.009261608123779297,0.0,0.0,
2026-01-28 04:19:55,BE_temporary__drift_detected_PHT_last_window_wb2_fit__041954,35,books,group,500,0.91,"{""1"": 455, ""0"": 45}",0.91,0.47643979057591623,0.455,0.5,,,0.010155677795410156,0.0,0.0,
2026-01-28 04:19:55,BE_temporary__drift_detected_PHT_last_window_wb2_fit__041954,36,books,group,500,0.904,"{""1"": 452, ""0"": 48}",0.904,0.4747899159663866,0.452,0.5,,,0.009830474853515625,0.0,0.0,
2026-01-28 04:19:55,BE_temporary__drift_detected_PHT_last_window_wb2_fit__041954,37,books,group,500,0.9,"{""0"": 50, ""1"": 450}",0.9,0.4736842105263158,0.45,0.5,,,0.010269403457641602,0.015625,152.1509994660228,
2026-01-28 04:19:55,BE_temporary__drift_detected_PHT_last_window_wb2_fit__041954,38,books,group,500,0.902,"{""1"": 451, ""0"": 49}",0.902,0.47423764458464773,0.451,0.5,,,0.011029481887817383,0.015625,141.66576597998315,
2026-01-28 04:19:55,BE_temporary__drift_detected_PHT_last_window_wb2_fit__041954,39,books,group,500,0.896,"{""0"": 52, ""1"": 448}",0.898,0.4919407861967285,0.9488977955911824,0.5096153846153846,,,0.008918523788452148,0.015625,175.19715561258587,
2026-01-28 04:19:55,BE_temporary__drift_detected_PHT_last_window_wb2_fit__041954,40,books,group,500,0.896,"{""1"": 448, ""0"": 52}",0.896,0.4725738396624473,0.448,0.5,,,0.008973360061645508,0.015625,174.12652443074634,
2026-01-28 04:19:55,BE_temporary__drift_detected_PHT_last_window_wb2_fit__041954,41,books,group,500,0.908,"{""1"": 454, ""0"": 46}",0.91,0.49766694201960215,0.9549098196392786,0.5108695652173914,,,0.01227712631225586,0.015625,127.26919641123237,
2026-01-28 04:19:55,BE_temporary__drift_detected_PHT_last_window_wb2_fit__041954,42,books,group,500,0.906,"{""1"": 453, ""0"": 47}",0.908,0.49667366946778707,0.9539078156312626,0.5106382978723404,,,0.009021997451782227,0.0,0.0,
2026-01-28 04:19:55,BE_temporary__drift_detected_PHT_last_window_wb2_fit__041954,43,books,group,500,0.914,"{""1"": 457, ""0"": 43}",0.914,0.47753396029258094,0.457,0.5,,,0.009843587875366211,0.0,0.0,
2026-01-28 04:19:55,BE_temporary__drift_detected_PHT_last_window_wb2_fit__041954,44,books,group,500,0.878,"{""1"": 439, ""0"": 61}",0.878,0.4675186368477103,0.439,0.5,,,0.010832786560058594,0.0,0.0,
