ts,run_id,event_type,batch_id,reason,train_n,info,wall_fit_sec,cpu_fit_sec,cpu_fit_pct,rss_mb
2026-01-28 04:19:05,BE_temporary__retrain_p2_all_seen_fit__041905,pretrain_fit,,pretrain,2500,"{""pretrain_batches"": 5, ""pre_acc"": 0.9144, ""pre_f1_macro"": 0.5241500519432466}",0.06799769401550293,0.046875,68.9361612605758,
2026-01-28 04:19:05,BE_temporary__retrain_p2_all_seen_fit__041905,retrain_fit,7,periodic,3500,"{""period_batches"": 2, ""stream_batches_seen"": 2, ""buffer_size"": 3500, ""global_batch_id"": 7}",0.09400010108947754,0.09375,99.7339352973254,
2026-01-28 04:19:05,BE_temporary__retrain_p2_all_seen_fit__041905,retrain_fit,9,periodic,4500,"{""period_batches"": 2, ""stream_batches_seen"": 4, ""buffer_size"": 4500, ""global_batch_id"": 9}",0.10599970817565918,0.109375,103.1842463365535,
2026-01-28 04:19:05,BE_temporary__retrain_p2_all_seen_fit__041905,retrain_fit,11,periodic,5500,"{""period_batches"": 2, ""stream_batches_seen"": 6, ""buffer_size"": 5500, ""global_batch_id"": 11}",0.12789392471313477,0.140625,109.95440191191331,
2026-01-28 04:19:06,BE_temporary__retrain_p2_all_seen_fit__041905,retrain_fit,13,periodic,6500,"{""period_batches"": 2, ""stream_batches_seen"": 8, ""buffer_size"": 6500, ""global_batch_id"": 13}",0.1419980525970459,0.140625,99.03304829049856,
2026-01-28 04:19:06,BE_temporary__retrain_p2_all_seen_fit__041905,retrain_fit,15,periodic,7500,"{""period_batches"": 2, ""stream_batches_seen"": 10, ""buffer_size"": 7500, ""global_batch_id"": 15}",0.169999361038208,0.15625,91.91211016662716,
2026-01-28 04:19:06,BE_temporary__retrain_p2_all_seen_fit__041905,retrain_fit,17,periodic,8500,"{""period_batches"": 2, ""stream_batches_seen"": 12, ""buffer_size"": 8500, ""global_batch_id"": 17}",0.1790013313293457,0.171875,96.01883892347487,
2026-01-28 04:19:06,BE_temporary__retrain_p2_all_seen_fit__041905,retrain_fit,19,periodic,9500,"{""period_batches"": 2, ""stream_batches_seen"": 14, ""buffer_size"": 9500, ""global_batch_id"": 19}",0.19299983978271484,0.203125,105.24620135886349,
2026-01-28 04:19:06,BE_temporary__retrain_p2_all_seen_fit__041905,retrain_fit,21,periodic,10500,"{""period_batches"": 2, ""stream_batches_seen"": 16, ""buffer_size"": 10500, ""global_batch_id"": 21}",0.21831631660461426,0.21875,100.19864909876213,
2026-01-28 04:19:07,BE_temporary__retrain_p2_all_seen_fit__041905,retrain_fit,23,periodic,11500,"{""period_batches"": 2, ""stream_batches_seen"": 18, ""buffer_size"": 11500, ""global_batch_id"": 23}",0.22994685173034668,0.234375,101.92572685224066,
2026-01-28 04:19:07,BE_temporary__retrain_p2_all_seen_fit__041905,retrain_fit,25,periodic,12500,"{""period_batches"": 2, ""stream_batches_seen"": 20, ""buffer_size"": 12500, ""global_batch_id"": 25}",0.25999927520751953,0.25,96.15411419914976,
2026-01-28 04:19:07,BE_temporary__retrain_p2_all_seen_fit__041905,retrain_fit,27,periodic,13500,"{""period_batches"": 2, ""stream_batches_seen"": 22, ""buffer_size"": 13500, ""global_batch_id"": 27}",0.29050564765930176,0.296875,102.19250551306598,
2026-01-28 04:19:08,BE_temporary__retrain_p2_all_seen_fit__041905,retrain_fit,29,periodic,14500,"{""period_batches"": 2, ""stream_batches_seen"": 24, ""buffer_size"": 14500, ""global_batch_id"": 29}",0.30199527740478516,0.296875,98.3045173921968,
2026-01-28 04:19:08,BE_temporary__retrain_p2_all_seen_fit__041905,retrain_fit,31,periodic,15500,"{""period_batches"": 2, ""stream_batches_seen"": 26, ""buffer_size"": 15500, ""global_batch_id"": 31}",0.318523645401001,0.3125,98.10888595306085,
2026-01-28 04:19:08,BE_temporary__retrain_p2_all_seen_fit__041905,retrain_fit,33,periodic,16500,"{""period_batches"": 2, ""stream_batches_seen"": 28, ""buffer_size"": 16500, ""global_batch_id"": 33}",0.3440515995025635,0.34375,99.91233887504097,
2026-01-28 04:19:09,BE_temporary__retrain_p2_all_seen_fit__041905,retrain_fit,35,periodic,17500,"{""period_batches"": 2, ""stream_batches_seen"": 30, ""buffer_size"": 17500, ""global_batch_id"": 35}",0.36299920082092285,0.375,103.3060125619939,
2026-01-28 04:19:09,BE_temporary__retrain_p2_all_seen_fit__041905,retrain_fit,37,periodic,18500,"{""period_batches"": 2, ""stream_batches_seen"": 32, ""buffer_size"": 18500, ""global_batch_id"": 37}",0.37800168991088867,0.390625,103.33948509385955,
2026-01-28 04:19:10,BE_temporary__retrain_p2_all_seen_fit__041905,retrain_fit,39,periodic,19500,"{""period_batches"": 2, ""stream_batches_seen"": 34, ""buffer_size"": 19500, ""global_batch_id"": 39}",0.4215207099914551,0.421875,100.08405043931343,
2026-01-28 04:19:10,BE_temporary__retrain_p2_all_seen_fit__041905,retrain_fit,41,periodic,20500,"{""period_batches"": 2, ""stream_batches_seen"": 36, ""buffer_size"": 20500, ""global_batch_id"": 41}",0.45073866844177246,0.453125,100.52942685536107,
2026-01-28 04:19:11,BE_temporary__retrain_p2_all_seen_fit__041905,retrain_fit,43,periodic,21500,"{""period_batches"": 2, ""stream_batches_seen"": 38, ""buffer_size"": 21500, ""global_batch_id"": 43}",0.4642457962036133,0.453125,97.60454563195748,
