ts,run_id,event_type,batch_id,reason,train_n,info,wall_fit_sec,cpu_fit_sec,cpu_fit_pct,rss_mb
2026-01-28 04:22:58,BE_temporary__retrain_p4_all_seen_fit__042258,pretrain_fit,,pretrain,2500,"{""pretrain_batches"": 5, ""pre_acc"": 0.9432, ""pre_f1_macro"": 0.846040686892728}",0.04146003723144531,0.046875,113.06067994663478,
2026-01-28 04:22:58,BE_temporary__retrain_p4_all_seen_fit__042258,retrain_fit,9,periodic,4500,"{""period_batches"": 4, ""stream_batches_seen"": 4, ""buffer_size"": 4500, ""global_batch_id"": 9}",0.06999945640563965,0.0625,89.28640765125222,
2026-01-28 04:22:58,BE_temporary__retrain_p4_all_seen_fit__042258,retrain_fit,13,periodic,6500,"{""period_batches"": 4, ""stream_batches_seen"": 8, ""buffer_size"": 6500, ""global_batch_id"": 13}",0.13152074813842773,0.125,95.04203843825117,
2026-01-28 04:22:59,BE_temporary__retrain_p4_all_seen_fit__042258,retrain_fit,17,periodic,8500,"{""period_batches"": 4, ""stream_batches_seen"": 12, ""buffer_size"": 8500, ""global_batch_id"": 17}",0.11899995803833008,0.125,105.04205384655454,
2026-01-28 04:22:59,BE_temporary__retrain_p4_all_seen_fit__042258,retrain_fit,21,periodic,10500,"{""period_batches"": 4, ""stream_batches_seen"": 16, ""buffer_size"": 10500, ""global_batch_id"": 21}",0.13956403732299805,0.140625,100.76019775391458,
2026-01-28 04:22:59,BE_temporary__retrain_p4_all_seen_fit__042258,retrain_fit,25,periodic,12500,"{""period_batches"": 4, ""stream_batches_seen"": 20, ""buffer_size"": 12500, ""global_batch_id"": 25}",0.16200017929077148,0.15625,96.45051053897257,
2026-01-28 04:22:59,BE_temporary__retrain_p4_all_seen_fit__042258,retrain_fit,29,periodic,14500,"{""period_batches"": 4, ""stream_batches_seen"": 24, ""buffer_size"": 14500, ""global_batch_id"": 29}",0.19135761260986328,0.1875,97.98408197236024,
2026-01-28 04:22:59,BE_temporary__retrain_p4_all_seen_fit__042258,retrain_fit,33,periodic,16500,"{""period_batches"": 4, ""stream_batches_seen"": 28, ""buffer_size"": 16500, ""global_batch_id"": 33}",0.2475128173828125,0.25,101.00487022994884,
2026-01-28 04:23:00,BE_temporary__retrain_p4_all_seen_fit__042258,retrain_fit,37,periodic,18500,"{""period_batches"": 4, ""stream_batches_seen"": 32, ""buffer_size"": 18500, ""global_batch_id"": 37}",0.2539691925048828,0.25,98.43713622674667,
2026-01-28 04:23:00,BE_temporary__retrain_p4_all_seen_fit__042258,retrain_fit,41,periodic,20500,"{""period_batches"": 4, ""stream_batches_seen"": 36, ""buffer_size"": 20500, ""global_batch_id"": 41}",0.2810029983520508,0.28125,100.08790000441196,
