ts,run_id,batch_id,group,step_kind,n,pos_share,label_dist,acc,f1_macro,precision,recall,mix_weights,mix_alloc,wall_pred_sec,cpu_pred_sec,cpu_pred_pct,rss_mb
2026-01-28 04:20:35,BE_temporary__quality_drop_acc_th0.05_bk3_ck2_quality_drop_last_window_wb2_fit__042035,6,books,group,500,0.894,"{""1"": 447, ""0"": 53}",0.906,0.5767214827356401,0.9524291497975709,0.5566037735849056,,,0.007999181747436523,0.0,0.0,
2026-01-28 04:20:35,BE_temporary__quality_drop_acc_th0.05_bk3_ck2_quality_drop_last_window_wb2_fit__042035,7,books,group,500,0.896,"{""1"": 448, ""0"": 52}",0.904,0.6106677048861203,0.7771898883009994,0.5809581043956044,,,0.009998321533203125,0.015625,156.27623044639452,
2026-01-28 04:20:35,BE_temporary__quality_drop_acc_th0.05_bk3_ck2_quality_drop_last_window_wb2_fit__042035,8,books,group,500,0.89,"{""1"": 445, ""0"": 55}",0.898,0.5548106635939875,0.8660593792172739,0.5443309499489275,,,0.0070002079010009766,0.015625,223.20765641497223,
2026-01-28 04:20:35,BE_temporary__quality_drop_acc_th0.05_bk3_ck2_quality_drop_last_window_wb2_fit__042035,9,books,group,500,0.894,"{""1"": 447, ""0"": 53}",0.906,0.589727474292498,0.8907520325203252,0.5649191676163944,,,0.00699925422668457,0.0,0.0,
2026-01-28 04:20:35,BE_temporary__quality_drop_acc_th0.05_bk3_ck2_quality_drop_last_window_wb2_fit__042035,10,books,group,500,0.884,"{""1"": 442, ""0"": 58}",0.892,0.5620011679968854,0.8221544715447154,0.5494616944921205,,,0.006999492645263672,0.0,0.0,
2026-01-28 04:20:35,BE_temporary__quality_drop_acc_th0.05_bk3_ck2_quality_drop_last_window_wb2_fit__042035,11,books,group,500,0.882,"{""1"": 441, ""0"": 59}",0.896,0.5897500631153749,0.892509617560534,0.5666628233214189,,,0.007999897003173828,0.015625,195.31501460332598,
2026-01-28 04:20:35,BE_temporary__quality_drop_acc_th0.05_bk3_ck2_quality_drop_last_window_wb2_fit__042035,12,books,group,500,0.914,"{""1"": 457, ""0"": 43}",0.916,0.5214656822532131,0.7920858484238766,0.5221617220497685,,,0.008002519607543945,0.0,0.0,
2026-01-28 04:20:35,BE_temporary__quality_drop_acc_th0.05_bk3_ck2_quality_drop_last_window_wb2_fit__042035,13,electronics,group,500,0.81,"{""0"": 95, ""1"": 405}",0.814,0.4878798224650051,0.7412280701754386,0.5185834957764782,,,0.0050008296966552734,0.015625,312.4481525625745,
2026-01-28 04:20:35,BE_temporary__quality_drop_acc_th0.05_bk3_ck2_quality_drop_last_window_wb2_fit__042035,14,electronics,group,500,0.782,"{""1"": 391, ""0"": 109}",0.788,0.4831486971446403,0.7516661837148653,0.5203782350594806,,,0.004998445510864258,0.0,0.0,
2026-01-28 04:20:35,BE_temporary__quality_drop_acc_th0.05_bk3_ck2_quality_drop_last_window_wb2_fit__042035,15,electronics,group,500,0.804,"{""1"": 402, ""0"": 98}",0.854,0.7055858035894333,0.8145460523225776,0.6699918773479541,,,0.005002737045288086,0.015625,312.32902826097313,
2026-01-28 04:20:35,BE_temporary__quality_drop_acc_th0.05_bk3_ck2_quality_drop_last_window_wb2_fit__042035,16,electronics,group,500,0.814,"{""1"": 407, ""0"": 93}",0.87,0.7348042855627452,0.8300000000000001,0.6961639058413253,,,0.0059986114501953125,0.0,0.0,
2026-01-28 04:20:35,BE_temporary__quality_drop_acc_th0.05_bk3_ck2_quality_drop_last_window_wb2_fit__042035,17,electronics,group,500,0.786,"{""1"": 393, ""0"": 107}",0.848,0.7306874557051737,0.804365987432349,0.699269934127607,,,0.0050013065338134766,0.015625,312.418362968966,
2026-01-28 04:20:35,BE_temporary__quality_drop_acc_th0.05_bk3_ck2_quality_drop_last_window_wb2_fit__042035,18,electronics,group,500,0.802,"{""1"": 401, ""0"": 99}",0.864,0.7333333333333333,0.8373728110397833,0.6946018791405325,,,0.005000591278076172,0.0,0.0,
2026-01-28 04:20:35,BE_temporary__quality_drop_acc_th0.05_bk3_ck2_quality_drop_last_window_wb2_fit__042035,19,electronics,group,500,0.776,"{""1"": 388, ""0"": 112}",0.84,0.7289972899728998,0.7958877995642701,0.700018409425626,,,0.00599980354309082,0.015625,260.42519372143846,
2026-01-28 04:20:35,BE_temporary__quality_drop_acc_th0.05_bk3_ck2_quality_drop_last_window_wb2_fit__042035,20,electronics,group,500,0.814,"{""1"": 407, ""0"": 93}",0.874,0.7399251975330048,0.8465154867256637,0.6986209082983277,,,0.004999399185180664,0.0,0.0,
2026-01-28 04:20:35,BE_temporary__quality_drop_acc_th0.05_bk3_ck2_quality_drop_last_window_wb2_fit__042035,21,electronics,group,500,0.802,"{""1"": 401, ""0"": 99}",0.842,0.6951948823606577,0.7730858661351936,0.6656716793873901,,,0.005998373031616211,0.015625,260.4873007671211,
2026-01-28 04:20:35,BE_temporary__quality_drop_acc_th0.05_bk3_ck2_quality_drop_last_window_wb2_fit__042035,22,electronics,group,500,0.77,"{""1"": 385, ""0"": 115}",0.828,0.7008154518382456,0.7923824897190515,0.6718238283455675,,,0.005998849868774414,0.0,0.0,
2026-01-28 04:20:35,BE_temporary__quality_drop_acc_th0.05_bk3_ck2_quality_drop_last_window_wb2_fit__042035,23,electronics,group,500,0.776,"{""1"": 388, ""0"": 112}",0.854,0.7425207570595165,0.8438256658595642,0.7058634020618557,,,0.00499725341796875,0.0,0.0,
2026-01-28 04:20:35,BE_temporary__quality_drop_acc_th0.05_bk3_ck2_quality_drop_last_window_wb2_fit__042035,24,electronics,group,500,0.772,"{""1"": 386, ""0"": 114}",0.828,0.7008154518382455,0.7871212121212121,0.6722570675393146,,,0.004999399185180664,0.0,0.0,
2026-01-28 04:20:35,BE_temporary__quality_drop_acc_th0.05_bk3_ck2_quality_drop_last_window_wb2_fit__042035,25,books,group,500,0.916,"{""1"": 458, ""0"": 42}",0.922,0.6248196248196248,0.7727847101563734,0.5897795799542525,,,0.007999420166015625,0.0,0.0,
2026-01-28 04:20:36,BE_temporary__quality_drop_acc_th0.05_bk3_ck2_quality_drop_last_window_wb2_fit__042035,26,books,group,500,0.92,"{""1"": 460, ""0"": 40}",0.92,0.5942875689711133,0.7151639344262295,0.5684782608695652,,,0.007999658584594727,0.015625,195.32083569278456,
2026-01-28 04:20:36,BE_temporary__quality_drop_acc_th0.05_bk3_ck2_quality_drop_last_window_wb2_fit__042035,27,books,group,500,0.888,"{""1"": 444, ""0"": 56}",0.902,0.6186117467581999,0.837387458537356,0.5859073359073359,,,0.009001016616821289,0.0,0.0,
2026-01-28 04:20:36,BE_temporary__quality_drop_acc_th0.05_bk3_ck2_quality_drop_last_window_wb2_fit__042035,28,books,group,500,0.868,"{""1"": 434, ""0"": 66}",0.876,0.5585554796081112,0.7897959183673469,0.5495740818321463,,,0.00899958610534668,0.0,0.0,
2026-01-28 04:20:36,BE_temporary__quality_drop_acc_th0.05_bk3_ck2_quality_drop_last_window_wb2_fit__042035,29,books,group,500,0.892,"{""1"": 446, ""0"": 54}",0.882,0.5640673257377606,0.6353539774592406,0.5513619000166086,,,0.006999969482421875,0.015625,223.21525885558583,
2026-01-28 04:20:36,BE_temporary__quality_drop_acc_th0.05_bk3_ck2_quality_drop_last_window_wb2_fit__042035,30,books,group,500,0.936,"{""1"": 468, ""0"": 32}",0.93,0.5747369444241939,0.6531883249674661,0.5550213675213675,,,0.0069980621337890625,0.0,0.0,
2026-01-28 04:20:36,BE_temporary__quality_drop_acc_th0.05_bk3_ck2_quality_drop_last_window_wb2_fit__042035,31,books,group,500,0.896,"{""1"": 448, ""0"": 52}",0.896,0.5390070921985816,0.7012195121951219,0.5339972527472527,,,0.008998394012451172,0.0,0.0,
2026-01-28 04:20:36,BE_temporary__quality_drop_acc_th0.05_bk3_ck2_quality_drop_last_window_wb2_fit__042035,32,books,group,500,0.88,"{""1"": 440, ""0"": 60}",0.872,0.5084485407066053,0.5918367346938775,0.5170454545454546,,,0.007996320724487305,0.015625,195.40236739318405,
2026-01-28 04:20:36,BE_temporary__quality_drop_acc_th0.05_bk3_ck2_quality_drop_last_window_wb2_fit__042035,33,books,group,500,0.9,"{""1"": 450, ""0"": 50}",0.894,0.5226859273401899,0.6188051595383571,0.5233333333333333,,,0.007998466491699219,0.015625,195.34994634553476,
2026-01-28 04:20:36,BE_temporary__quality_drop_acc_th0.05_bk3_ck2_quality_drop_last_window_wb2_fit__042035,34,books,group,500,0.864,"{""1"": 432, ""0"": 68}",0.876,0.6137360446570973,0.7677083333333333,0.5874863834422658,,,0.007997989654541016,0.0,0.0,
