ts,run_id,batch_id,group,step_kind,n,pos_share,label_dist,acc,f1_macro,precision,recall,mix_weights,mix_alloc,wall_pred_sec,cpu_pred_sec,cpu_pred_pct,rss_mb
2026-01-28 04:20:14,BE_temporary__retrain_p8_all_seen_fit__042014,6,books,group,500,0.894,"{""1"": 447, ""0"": 53}",0.906,0.5767214827356401,0.9524291497975709,0.5566037735849056,,,0.015053272247314453,0.015625,103.79802971269282,
2026-01-28 04:20:14,BE_temporary__retrain_p8_all_seen_fit__042014,7,books,group,500,0.896,"{""1"": 448, ""0"": 52}",0.904,0.6106677048861203,0.7771898883009994,0.5809581043956044,,,0.011116266250610352,0.015625,140.55978552278822,
2026-01-28 04:20:14,BE_temporary__retrain_p8_all_seen_fit__042014,8,books,group,500,0.89,"{""1"": 445, ""0"": 55}",0.898,0.5548106635939875,0.8660593792172739,0.5443309499489275,,,0.002554655075073242,0.015625,611.6285580961269,
2026-01-28 04:20:14,BE_temporary__retrain_p8_all_seen_fit__042014,9,books,group,500,0.894,"{""1"": 447, ""0"": 53}",0.906,0.589727474292498,0.8907520325203252,0.5649191676163944,,,0.00680232048034668,0.0,0.0,
2026-01-28 04:20:14,BE_temporary__retrain_p8_all_seen_fit__042014,10,books,group,500,0.884,"{""1"": 442, ""0"": 58}",0.892,0.5620011679968854,0.8221544715447154,0.5494616944921205,,,0.002023935317993164,0.0,0.0,
2026-01-28 04:20:14,BE_temporary__retrain_p8_all_seen_fit__042014,11,books,group,500,0.882,"{""1"": 441, ""0"": 59}",0.896,0.5897500631153749,0.892509617560534,0.5666628233214189,,,0.00941920280456543,0.015625,165.88452679272027,
2026-01-28 04:20:14,BE_temporary__retrain_p8_all_seen_fit__042014,12,books,group,500,0.914,"{""1"": 457, ""0"": 43}",0.916,0.5214656822532131,0.7920858484238766,0.5221617220497685,,,0.0078105926513671875,0.015625,200.04884004884005,
2026-01-28 04:20:14,BE_temporary__retrain_p8_all_seen_fit__042014,13,electronics,group,500,0.81,"{""0"": 95, ""1"": 405}",0.814,0.4878798224650051,0.7412280701754386,0.5185834957764782,,,0.005743980407714844,0.0,0.0,
2026-01-28 04:20:14,BE_temporary__retrain_p8_all_seen_fit__042014,14,electronics,group,500,0.782,"{""1"": 391, ""0"": 109}",0.814,0.6114606572581657,0.7918439716312057,0.596553180506347,,,0.0060002803802490234,0.0,0.0,
2026-01-28 04:20:14,BE_temporary__retrain_p8_all_seen_fit__042014,15,electronics,group,500,0.804,"{""1"": 402, ""0"": 98}",0.828,0.6041390484607454,0.782051282051282,0.5882323078485125,,,0.0059986114501953125,0.015625,260.47694753577105,
2026-01-28 04:20:14,BE_temporary__retrain_p8_all_seen_fit__042014,16,electronics,group,500,0.814,"{""1"": 407, ""0"": 93}",0.836,0.6001716336401935,0.7899006471606964,0.5840268420913582,,,0.006000041961669922,0.0,0.0,
