2026-01-27 14:04:27,962 | INFO | Run started: run_id=huffpost_years__retrain_p1_all_seen_fit__140427
2026-01-27 14:04:27,962 | INFO | run_dir=C:\Poly\Diploma\v2\outputs\20260127_140427__huffpost_sgd_gradual\runs\huffpost_years__retrain_p1_all_seen_fit__140427
2026-01-27 14:04:28,069 | INFO | EVENT pretrain_fit batch_id=None reason=pretrain train_n=3000 wall=0.034999847412109375 cpu=0.03125 rss_mb=None info={'pretrain_batches': 6, 'pre_acc': 0.9376666666666666, 'pre_f1_macro': 0.9275767595642744}
2026-01-27 14:04:28,108 | INFO | EVENT retrain_fit batch_id=7 reason=periodic train_n=3500 wall=0.03199958801269531 cpu=0.03125 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 1, 'buffer_size': 3500, 'global_batch_id': 7}
2026-01-27 14:04:28,151 | INFO | EVENT retrain_fit batch_id=8 reason=periodic train_n=4000 wall=0.03600358963012695 cpu=0.03125 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 2, 'buffer_size': 4000, 'global_batch_id': 8}
2026-01-27 14:04:28,198 | INFO | EVENT retrain_fit batch_id=9 reason=periodic train_n=4500 wall=0.03999805450439453 cpu=0.03125 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 3, 'buffer_size': 4500, 'global_batch_id': 9}
2026-01-27 14:04:28,246 | INFO | EVENT retrain_fit batch_id=10 reason=periodic train_n=5000 wall=0.0429997444152832 cpu=0.03125 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 4, 'buffer_size': 5000, 'global_batch_id': 10}
2026-01-27 14:04:28,299 | INFO | EVENT retrain_fit batch_id=11 reason=periodic train_n=5500 wall=0.046999454498291016 cpu=0.046875 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 5, 'buffer_size': 5500, 'global_batch_id': 11}
2026-01-27 14:04:28,356 | INFO | EVENT retrain_fit batch_id=12 reason=periodic train_n=6000 wall=0.05100107192993164 cpu=0.046875 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 6, 'buffer_size': 6000, 'global_batch_id': 12}
2026-01-27 14:04:28,418 | INFO | EVENT retrain_fit batch_id=13 reason=periodic train_n=6500 wall=0.05600237846374512 cpu=0.046875 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 7, 'buffer_size': 6500, 'global_batch_id': 13}
2026-01-27 14:04:28,484 | INFO | EVENT retrain_fit batch_id=14 reason=periodic train_n=7000 wall=0.058997392654418945 cpu=0.046875 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 8, 'buffer_size': 7000, 'global_batch_id': 14}
2026-01-27 14:04:28,547 | INFO | EVENT retrain_fit batch_id=15 reason=periodic train_n=7500 wall=0.05733036994934082 cpu=0.0625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 9, 'buffer_size': 7500, 'global_batch_id': 15}
2026-01-27 14:04:28,625 | INFO | EVENT retrain_fit batch_id=16 reason=periodic train_n=8000 wall=0.06722807884216309 cpu=0.078125 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 10, 'buffer_size': 8000, 'global_batch_id': 16}
2026-01-27 14:04:28,703 | INFO | EVENT retrain_fit batch_id=17 reason=periodic train_n=8500 wall=0.07200193405151367 cpu=0.078125 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 11, 'buffer_size': 8500, 'global_batch_id': 17}
2026-01-27 14:04:28,785 | INFO | EVENT retrain_fit batch_id=18 reason=periodic train_n=9000 wall=0.07500195503234863 cpu=0.078125 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 12, 'buffer_size': 9000, 'global_batch_id': 18}
2026-01-27 14:04:28,869 | INFO | EVENT retrain_fit batch_id=19 reason=periodic train_n=9500 wall=0.07800054550170898 cpu=0.078125 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 13, 'buffer_size': 9500, 'global_batch_id': 19}
2026-01-27 14:04:28,956 | INFO | EVENT retrain_fit batch_id=20 reason=periodic train_n=10000 wall=0.0819859504699707 cpu=0.078125 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 14, 'buffer_size': 10000, 'global_batch_id': 20}
