ts,run_id,batch_id,group,step_kind,n,pos_share,label_dist,acc,f1_macro,precision,recall,mix_weights,mix_alloc,wall_pred_sec,cpu_pred_sec,cpu_pred_pct,rss_mb
2026-01-27 14:04:35,huffpost_years__retrain_p8_all_seen_fit__140435,7,y2013,group,500,,"{""10"": 188, ""6"": 42, ""2"": 30, ""4"": 61, ""0"": 26, ""5"": 28, ""7"": 21, ""8"": 19, ""1"": 52, ""9"": 19, ""3"": 14}",0.558,0.42218594171385654,0.7096930719101379,0.3564159471195985,,,0.002004384994506836,0.0,0.0,
2026-01-27 14:04:35,huffpost_years__retrain_p8_all_seen_fit__140435,8,y2013,group,500,,"{""10"": 185, ""1"": 50, ""3"": 17, ""2"": 39, ""7"": 27, ""0"": 21, ""6"": 39, ""4"": 65, ""5"": 27, ""8"": 12, ""9"": 18}",0.556,0.4082241214317607,0.6234941083871566,0.34521785345314754,,,0.0023956298828125,0.015625,652.2292993630574,
2026-01-27 14:04:35,huffpost_years__retrain_p8_all_seen_fit__140435,9,y2013,group,500,,"{""4"": 76, ""1"": 53, ""6"": 28, ""10"": 215, ""7"": 21, ""8"": 22, ""2"": 31, ""5"": 23, ""9"": 13, ""3"": 8, ""0"": 10}",0.594,0.4202310025750738,0.7348724836388942,0.3552490324957288,,,0.0,0.0,,
2026-01-27 14:04:35,huffpost_years__retrain_p8_all_seen_fit__140435,10,y2013,group,500,,"{""6"": 43, ""10"": 208, ""5"": 30, ""4"": 69, ""0"": 16, ""1"": 53, ""8"": 17, ""9"": 15, ""2"": 24, ""7"": 19, ""3"": 6}",0.582,0.43753453410347665,0.651296047011077,0.37456229629235,,,0.002216339111328125,0.0,0.0,
2026-01-27 14:04:35,huffpost_years__retrain_p8_all_seen_fit__140435,11,y2013,group,500,,"{""10"": 192, ""1"": 50, ""9"": 28, ""4"": 63, ""5"": 15, ""6"": 42, ""3"": 13, ""0"": 28, ""7"": 18, ""2"": 32, ""8"": 19}",0.574,0.4473768607389809,0.6969681964307057,0.3766772664470033,,,0.0010006427764892578,0.015625,1561.4963068858708,
2026-01-27 14:04:35,huffpost_years__retrain_p8_all_seen_fit__140435,12,y2013,group,500,,"{""5"": 30, ""6"": 45, ""4"": 52, ""10"": 209, ""1"": 43, ""9"": 17, ""0"": 15, ""7"": 26, ""3"": 19, ""2"": 33, ""8"": 11}",0.596,0.41978385791253686,0.6731614086666309,0.3519950149362568,,,0.0020029544830322266,0.0,0.0,
2026-01-27 14:04:35,huffpost_years__retrain_p8_all_seen_fit__140435,13,y2014,group,500,,"{""0"": 22, ""4"": 106, ""6"": 39, ""5"": 53, ""3"": 25, ""2"": 34, ""10"": 95, ""8"": 35, ""1"": 62, ""7"": 28, ""9"": 1}",0.306,0.20631361365252163,0.3844792076610259,0.20623119486309688,,,0.0009992122650146484,0.0,0.0,
2026-01-27 14:04:35,huffpost_years__retrain_p8_all_seen_fit__140435,14,y2014,group,500,,"{""0"": 22, ""4"": 110, ""10"": 77, ""8"": 43, ""3"": 36, ""6"": 41, ""7"": 22, ""2"": 36, ""1"": 58, ""5"": 52, ""9"": 3}",0.288,0.24801944400610781,0.5012926639476226,0.2774457084671222,,,0.0020067691802978516,0.0,0.0,
2026-01-27 14:04:35,huffpost_years__retrain_p8_all_seen_fit__140435,15,y2014,group,500,,"{""2"": 35, ""10"": 89, ""8"": 42, ""5"": 56, ""1"": 71, ""4"": 100, ""3"": 24, ""7"": 19, ""0"": 21, ""6"": 42, ""9"": 1}",0.404,0.3344898358819869,0.5500024732018858,0.30266626279548875,,,0.001999378204345703,0.015625,781.4929644645838,
2026-01-27 14:04:35,huffpost_years__retrain_p8_all_seen_fit__140435,16,y2014,group,500,,"{""8"": 45, ""5"": 44, ""10"": 93, ""2"": 29, ""4"": 101, ""1"": 69, ""7"": 19, ""6"": 61, ""0"": 20, ""3"": 18, ""9"": 1}",0.438,0.36799722315811556,0.6002520308046876,0.3248292055175195,,,0.0019998550415039062,0.0,0.0,
2026-01-27 14:04:35,huffpost_years__retrain_p8_all_seen_fit__140435,17,y2014,group,500,,"{""4"": 89, ""1"": 71, ""7"": 30, ""6"": 51, ""5"": 48, ""10"": 98, ""8"": 46, ""3"": 23, ""0"": 16, ""2"": 27, ""9"": 1}",0.43,0.3202128937874674,0.514444312474171,0.2923155218484936,,,0.001997232437133789,0.0,0.0,
2026-01-27 14:04:35,huffpost_years__retrain_p8_all_seen_fit__140435,18,y2014,group,500,,"{""4"": 90, ""1"": 82, ""2"": 34, ""8"": 42, ""5"": 59, ""6"": 46, ""7"": 20, ""10"": 81, ""0"": 20, ""3"": 22, ""9"": 4}",0.42,0.3710164232572431,0.6382977675667018,0.3395672490401575,,,0.0019991397857666016,0.015625,781.5861657722123,
2026-01-27 14:04:35,huffpost_years__retrain_p8_all_seen_fit__140435,19,y2015,group,500,,"{""4"": 153, ""7"": 21, ""6"": 43, ""2"": 24, ""1"": 46, ""5"": 31, ""0"": 38, ""3"": 45, ""8"": 53, ""10"": 33, ""9"": 13}",0.34,0.32842400454531684,0.5699072173237089,0.31482143340116253,,,0.002000570297241211,0.0,0.0,
2026-01-27 14:04:35,huffpost_years__retrain_p8_all_seen_fit__140435,20,y2015,group,500,,"{""8"": 45, ""4"": 151, ""1"": 65, ""3"": 48, ""7"": 19, ""6"": 41, ""2"": 26, ""5"": 29, ""0"": 41, ""10"": 21, ""9"": 14}",0.364,0.33671172746249367,0.5750159152981196,0.3344141712612673,,,0.0020008087158203125,0.0,0.0,
2026-01-27 14:04:35,huffpost_years__retrain_p8_all_seen_fit__140435,21,y2015,group,500,,"{""7"": 17, ""3"": 35, ""4"": 152, ""1"": 70, ""10"": 23, ""0"": 25, ""6"": 34, ""5"": 33, ""8"": 63, ""2"": 36, ""9"": 12}",0.31,0.3215024630241488,0.5018421770422822,0.31022981544806333,,,0.0019986629486083984,0.0,0.0,
2026-01-27 14:04:35,huffpost_years__retrain_p8_all_seen_fit__140435,22,y2015,group,500,,"{""5"": 27, ""6"": 47, ""4"": 142, ""3"": 33, ""8"": 52, ""1"": 56, ""7"": 22, ""0"": 46, ""2"": 33, ""9"": 25, ""10"": 17}",0.33,0.35289055673762904,0.6328858299504807,0.34660452426020777,,,0.0029990673065185547,0.0,0.0,
2026-01-27 14:04:35,huffpost_years__retrain_p8_all_seen_fit__140435,23,y2015,group,500,,"{""6"": 38, ""0"": 30, ""9"": 15, ""3"": 41, ""4"": 130, ""1"": 59, ""8"": 59, ""2"": 39, ""7"": 21, ""10"": 32, ""5"": 36}",0.494,0.4306460169576416,0.6109852781583457,0.41002185053704276,,,0.002000093460083008,0.0,0.0,
