ts,run_id,batch_id,group,step_kind,n,pos_share,label_dist,acc,f1_macro,precision,recall,mix_weights,mix_alloc,wall_pred_sec,cpu_pred_sec,cpu_pred_pct,rss_mb
2026-01-29 01:44:49,label_temporary__drift_detected_ADWIN_last_window_wb4_fit__014448,6,mix,mix,500,0.1,"{""0"": 450, ""1"": 50}",0.972,0.9222222222222222,0.9222222222222223,0.9222222222222223,"{""mail"": 0.9, ""spam"": 0.1}","{""mail"": 450, ""spam"": 50}",0.04733586311340332,0.046875,99.02639757027517,
2026-01-29 01:44:49,label_temporary__drift_detected_ADWIN_last_window_wb4_fit__014448,7,mix,mix,500,0.1,"{""0"": 450, ""1"": 50}",0.97,0.9201915403032722,0.9034729315628192,0.9388888888888889,"{""mail"": 0.9, ""spam"": 0.1}","{""mail"": 450, ""spam"": 50}",0.05246448516845703,0.046875,89.3461545452893,
2026-01-29 01:44:49,label_temporary__drift_detected_ADWIN_last_window_wb4_fit__014448,8,mix,mix,500,0.1,"{""0"": 450, ""1"": 50}",0.958,0.8801246703428436,0.8910102860363533,0.87,"{""mail"": 0.9, ""spam"": 0.1}","{""mail"": 450, ""spam"": 50}",0.046297311782836914,0.046875,101.24777917964826,
2026-01-29 01:44:50,label_temporary__drift_detected_ADWIN_last_window_wb4_fit__014448,9,mix,mix,500,0.1,"{""0"": 450, ""1"": 50}",0.978,0.9383401159205821,0.9423277071360695,0.9344444444444444,"{""mail"": 0.9, ""spam"": 0.1}","{""mail"": 450, ""spam"": 50}",0.04743313789367676,0.046875,98.82331652835651,
2026-01-29 01:44:50,label_temporary__drift_detected_ADWIN_last_window_wb4_fit__014448,10,mix,mix,500,0.1,"{""0"": 450, ""1"": 50}",0.966,0.9079996969401782,0.8978303997298552,0.9188888888888889,"{""mail"": 0.9, ""spam"": 0.1}","{""mail"": 450, ""spam"": 50}",0.04684782028198242,0.046875,100.05801703868819,
2026-01-29 01:44:50,label_temporary__drift_detected_ADWIN_last_window_wb4_fit__014448,11,mix,mix,500,0.1,"{""0"": 450, ""1"": 50}",0.974,0.9284133085166136,0.9246910345429932,0.9322222222222223,"{""mail"": 0.9, ""spam"": 0.1}","{""mail"": 450, ""spam"": 50}",0.05589938163757324,0.046875,83.8560260002815,
2026-01-29 01:44:50,label_temporary__drift_detected_ADWIN_last_window_wb4_fit__014448,12,mix,mix,500,0.1,"{""0"": 450, ""1"": 50}",0.974,0.9330717985152237,0.9045120873208041,0.9677777777777777,"{""mail"": 0.9, ""spam"": 0.1}","{""mail"": 450, ""spam"": 50}",0.04886150360107422,0.046875,95.9344198301942,
2026-01-29 01:44:50,label_temporary__drift_detected_ADWIN_last_window_wb4_fit__014448,13,mix,mix,500,0.1,"{""0"": 450, ""1"": 50}",0.966,0.9063866342140332,0.9028560199135334,0.9099999999999999,"{""mail"": 0.9, ""spam"": 0.1}","{""mail"": 450, ""spam"": 50}",0.04401683807373047,0.046875,106.49333766655833,
2026-01-29 01:44:50,label_temporary__drift_detected_ADWIN_last_window_wb4_fit__014448,14,mix,mix,500,0.1,"{""0"": 450, ""1"": 50}",0.97,0.9173999713653234,0.9137735272282632,0.9211111111111111,"{""mail"": 0.9, ""spam"": 0.1}","{""mail"": 450, ""spam"": 50}",0.07117748260498047,0.078125,109.76083606886849,
2026-01-29 01:44:50,label_temporary__drift_detected_ADWIN_last_window_wb4_fit__014448,15,mix,mix,500,0.1,"{""0"": 450, ""1"": 50}",0.984,0.9547490836689443,0.9632190265486726,0.9466666666666667,"{""mail"": 0.9, ""spam"": 0.1}","{""mail"": 450, ""spam"": 50}",0.05003237724304199,0.046875,93.6893319545773,
2026-01-29 01:44:50,label_temporary__drift_detected_ADWIN_last_window_wb4_fit__014448,16,mix,mix,500,0.3,"{""1"": 150, ""0"": 350}",0.932,0.9153032144921183,0.9389280913978495,0.8980952380952381,"{""mail"": 0.7, ""spam"": 0.3}","{""mail"": 350, ""spam"": 150}",0.038315773010253906,0.046875,122.33865146725738,
2026-01-29 01:44:50,label_temporary__drift_detected_ADWIN_last_window_wb4_fit__014448,17,mix,mix,500,0.3,"{""0"": 350, ""1"": 150}",0.938,0.9239357134093977,0.9388635210553019,0.9119047619047619,"{""mail"": 0.7, ""spam"": 0.3}","{""mail"": 350, ""spam"": 150}",0.04514265060424805,0.046875,103.83750039610864,
2026-01-29 01:44:50,label_temporary__drift_detected_ADWIN_last_window_wb4_fit__014448,18,mix,mix,500,0.3,"{""0"": 350, ""1"": 150}",0.946,0.9325913387360127,0.958613919908805,0.9138095238095238,"{""mail"": 0.7, ""spam"": 0.3}","{""mail"": 350, ""spam"": 150}",0.039652109146118164,0.03125,78.81043574465014,
2026-01-29 01:44:50,label_temporary__drift_detected_ADWIN_last_window_wb4_fit__014448,19,mix,mix,500,0.3,"{""0"": 350, ""1"": 150}",0.956,0.9459044771421827,0.9628496859962483,0.9323809523809523,"{""mail"": 0.7, ""spam"": 0.3}","{""mail"": 350, ""spam"": 150}",0.0350193977355957,0.03125,89.2362576762299,
2026-01-29 01:44:50,label_temporary__drift_detected_ADWIN_last_window_wb4_fit__014448,20,mix,mix,500,0.3,"{""1"": 150, ""0"": 350}",0.958,0.9486881264324565,0.9619854818925822,0.9376190476190476,"{""mail"": 0.7, ""spam"": 0.3}","{""mail"": 350, ""spam"": 150}",0.04922294616699219,0.0625,126.97330181733639,
2026-01-29 01:44:50,label_temporary__drift_detected_ADWIN_last_window_wb4_fit__014448,21,mix,mix,500,0.3,"{""1"": 150, ""0"": 350}",0.95,0.9381307569330675,0.9587393202176296,0.9223809523809524,"{""mail"": 0.7, ""spam"": 0.3}","{""mail"": 350, ""spam"": 150}",0.048220157623291016,0.046875,97.21038318912237,
2026-01-29 01:44:50,label_temporary__drift_detected_ADWIN_last_window_wb4_fit__014448,22,mix,mix,500,0.3,"{""0"": 350, ""1"": 150}",0.95,0.9383966369492043,0.9563520517916044,0.9242857142857143,"{""mail"": 0.7, ""spam"": 0.3}","{""mail"": 350, ""spam"": 150}",0.05762839317321777,0.0625,108.45348370574777,
