ts,run_id,batch_id,group,step_kind,n,pos_share,label_dist,acc,f1_macro,precision,recall,mix_weights,mix_alloc,wall_pred_sec,cpu_pred_sec,cpu_pred_pct,rss_mb
2026-01-29 01:38:15,label_temporary__drift_detected_ADWIN_last_window_wb2_update__013814,6,mix,mix,500,0.1,"{""0"": 450, ""1"": 50}",0.966,0.8992305959621107,0.9287313622716401,0.8744444444444445,"{""mail"": 0.9, ""spam"": 0.1}","{""mail"": 450, ""spam"": 50}",0.04385733604431152,0.046875,106.88063669129279,
2026-01-29 01:38:15,label_temporary__drift_detected_ADWIN_last_window_wb2_update__013814,7,mix,mix,500,0.1,"{""0"": 450, ""1"": 50}",0.974,0.9296468270719009,0.9189354607234815,0.9411111111111111,"{""mail"": 0.9, ""spam"": 0.1}","{""mail"": 450, ""spam"": 50}",0.049863338470458984,0.0625,125.34259020187241,
2026-01-29 01:38:15,label_temporary__drift_detected_ADWIN_last_window_wb2_update__013814,8,mix,mix,500,0.1,"{""0"": 450, ""1"": 50}",0.966,0.8972424714998972,0.9370582921515489,0.8655555555555556,"{""mail"": 0.9, ""spam"": 0.1}","{""mail"": 450, ""spam"": 50}",0.04519081115722656,0.046875,103.72683915080403,
2026-01-29 01:38:15,label_temporary__drift_detected_ADWIN_last_window_wb2_update__013814,9,mix,mix,500,0.1,"{""0"": 450, ""1"": 50}",0.98,0.9434363545861804,0.9516961651917404,0.9355555555555556,"{""mail"": 0.9, ""spam"": 0.1}","{""mail"": 450, ""spam"": 50}",0.04715919494628906,0.046875,99.39737108190091,
2026-01-29 01:38:15,label_temporary__drift_detected_ADWIN_last_window_wb2_update__013814,10,mix,mix,500,0.1,"{""0"": 450, ""1"": 50}",0.964,0.8962942477876106,0.9117985060333269,0.8822222222222222,"{""mail"": 0.9, ""spam"": 0.1}","{""mail"": 450, ""spam"": 50}",0.04558992385864258,0.03125,68.54584819420766,
2026-01-29 01:38:15,label_temporary__drift_detected_ADWIN_last_window_wb2_update__013814,11,mix,mix,500,0.1,"{""0"": 450, ""1"": 50}",0.984,0.9530317974731106,0.9809609250398724,0.9288888888888889,"{""mail"": 0.9, ""spam"": 0.1}","{""mail"": 450, ""spam"": 50}",0.045296430587768555,0.046875,103.48497528778285,
2026-01-29 01:38:15,label_temporary__drift_detected_ADWIN_last_window_wb2_update__013814,12,mix,mix,500,0.1,"{""0"": 450, ""1"": 50}",0.982,0.9495510039350217,0.9536404362188334,0.9455555555555556,"{""mail"": 0.9, ""spam"": 0.1}","{""mail"": 450, ""spam"": 50}",0.04510664939880371,0.046875,103.92037676210812,
2026-01-29 01:38:15,label_temporary__drift_detected_ADWIN_last_window_wb2_update__013814,13,mix,mix,500,0.1,"{""0"": 450, ""1"": 50}",0.976,0.929547696209666,0.9560406698564593,0.9066666666666666,"{""mail"": 0.9, ""spam"": 0.1}","{""mail"": 450, ""spam"": 50}",0.04340076446533203,0.046875,108.00500999802236,
2026-01-29 01:38:15,label_temporary__drift_detected_ADWIN_last_window_wb2_update__013814,14,mix,mix,500,0.1,"{""0"": 450, ""1"": 50}",0.976,0.929547696209666,0.9560406698564593,0.9066666666666666,"{""mail"": 0.9, ""spam"": 0.1}","{""mail"": 450, ""spam"": 50}",0.07024526596069336,0.078125,111.21745918609783,
2026-01-29 01:38:15,label_temporary__drift_detected_ADWIN_last_window_wb2_update__013814,15,mix,mix,500,0.1,"{""0"": 450, ""1"": 50}",0.976,0.9281746791802337,0.9652734456227905,0.8977777777777778,"{""mail"": 0.9, ""spam"": 0.1}","{""mail"": 450, ""spam"": 50}",0.057157039642333984,0.0625,109.34786054543785,
2026-01-29 01:38:15,label_temporary__drift_detected_ADWIN_last_window_wb2_update__013814,16,mix,mix,500,0.3,"{""1"": 150, ""0"": 350}",0.934,0.916864428556313,0.9480170796402925,0.8957142857142857,"{""mail"": 0.7, ""spam"": 0.3}","{""mail"": 350, ""spam"": 150}",0.03890037536621094,0.046875,120.5001225790635,
2026-01-29 01:38:15,label_temporary__drift_detected_ADWIN_last_window_wb2_update__013814,17,mix,mix,500,0.3,"{""0"": 350, ""1"": 150}",0.954,0.9433249059932679,0.9614738481080084,0.9290476190476191,"{""mail"": 0.7, ""spam"": 0.3}","{""mail"": 350, ""spam"": 150}",0.0472564697265625,0.046875,99.19276719405876,
2026-01-29 01:38:15,label_temporary__drift_detected_ADWIN_last_window_wb2_update__013814,18,mix,mix,500,0.3,"{""0"": 350, ""1"": 150}",0.938,0.9219029480377485,0.9534083802376485,0.9004761904761904,"{""mail"": 0.7, ""spam"": 0.3}","{""mail"": 350, ""spam"": 150}",0.0394439697265625,0.03125,79.22630560928432,
2026-01-29 01:38:16,label_temporary__drift_detected_ADWIN_last_window_wb2_update__013814,19,mix,mix,500,0.3,"{""0"": 350, ""1"": 150}",0.964,0.9555502874414745,0.9755434782608696,0.94,"{""mail"": 0.7, ""spam"": 0.3}","{""mail"": 350, ""spam"": 150}",0.033590078353881836,0.03125,93.03342394969017,
2026-01-29 01:38:16,label_temporary__drift_detected_ADWIN_last_window_wb2_update__013814,20,mix,mix,500,0.3,"{""1"": 150, ""0"": 350}",0.956,0.94567257353958,0.9652503293807642,0.9304761904761905,"{""mail"": 0.7, ""spam"": 0.3}","{""mail"": 350, ""spam"": 150}",0.04003024101257324,0.03125,78.06598014282396,
2026-01-29 01:38:16,label_temporary__drift_detected_ADWIN_last_window_wb2_update__013814,21,mix,mix,500,0.3,"{""1"": 150, ""0"": 350}",0.962,0.9529793752691312,0.9742547425474255,0.9366666666666666,"{""mail"": 0.7, ""spam"": 0.3}","{""mail"": 350, ""spam"": 150}",0.03503155708312988,0.03125,89.20528404102551,
2026-01-29 01:38:16,label_temporary__drift_detected_ADWIN_last_window_wb2_update__013814,22,mix,mix,500,0.3,"{""0"": 350, ""1"": 150}",0.954,0.9425778070714182,0.9691689008042895,0.9233333333333333,"{""mail"": 0.7, ""spam"": 0.3}","{""mail"": 350, ""spam"": 150}",0.04507613182067871,0.046875,103.9907332476476,
2026-01-29 01:38:16,label_temporary__drift_detected_ADWIN_last_window_wb2_update__013814,23,mix,mix,500,0.3,"{""0"": 350, ""1"": 150}",0.934,0.9164806462879442,0.9508384395647529,0.8938095238095238,"{""mail"": 0.7, ""spam"": 0.3}","{""mail"": 350, ""spam"": 150}",0.04703259468078613,0.046875,99.6649245446573,
2026-01-29 01:38:16,label_temporary__drift_detected_ADWIN_last_window_wb2_update__013814,24,mix,mix,500,0.3,"{""0"": 350, ""1"": 150}",0.926,0.9063570882622407,0.9399354543273948,0.8842857142857143,"{""mail"": 0.7, ""spam"": 0.3}","{""mail"": 350, ""spam"": 150}",0.03852128982543945,0.046875,121.68595655133998,
2026-01-29 01:38:16,label_temporary__drift_detected_ADWIN_last_window_wb2_update__013814,25,mix,mix,500,0.3,"{""0"": 350, ""1"": 150}",0.94,0.9252675421989278,0.9494287634408602,0.9076190476190475,"{""mail"": 0.7, ""spam"": 0.3}","{""mail"": 350, ""spam"": 150}",0.0413670539855957,0.046875,113.3148133205768,
2026-01-29 01:38:16,label_temporary__drift_detected_ADWIN_last_window_wb2_update__013814,26,mix,mix,500,0.3,"{""0"": 350, ""1"": 150}",0.938,0.9215424253007962,0.9562899321834318,0.8985714285714286,"{""mail"": 0.7, ""spam"": 0.3}","{""mail"": 350, ""spam"": 150}",0.04532885551452637,0.046875,103.41094975358058,
2026-01-29 01:38:16,label_temporary__drift_detected_ADWIN_last_window_wb2_update__013814,27,mix,mix,500,0.3,"{""1"": 150, ""0"": 350}",0.958,0.9484725800515275,0.9642313546423136,0.9357142857142857,"{""mail"": 0.7, ""spam"": 0.3}","{""mail"": 350, ""spam"": 150}",0.035523176193237305,0.03125,87.97073727306285,
