2026-01-29 01:34:15,340 | INFO | Run started: run_id=label_temporary__retrain_p2_all_seen_fit__013415
2026-01-29 01:34:15,340 | INFO | run_dir=C:\Poly\Diploma\v2\outputs\20260129_013318__label_temporary_pa\runs\label_temporary__retrain_p2_all_seen_fit__013415
2026-01-29 01:34:16,570 | INFO | EVENT pretrain_fit batch_id=None reason=pretrain train_n=2500 wall=0.2325587272644043 cpu=0.234375 rss_mb=None info={'pretrain_batches': 5, 'pre_acc': 0.9988, 'pre_f1_macro': 0.9966607287002354}
2026-01-29 01:34:16,990 | INFO | EVENT retrain_fit batch_id=7 reason=periodic train_n=3500 wall=0.3108489513397217 cpu=0.3125 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 2, 'buffer_size': 3500, 'global_batch_id': 7}
2026-01-29 01:34:17,512 | INFO | EVENT retrain_fit batch_id=9 reason=periodic train_n=4500 wall=0.41785383224487305 cpu=0.40625 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 4, 'buffer_size': 4500, 'global_batch_id': 9}
2026-01-29 01:34:18,103 | INFO | EVENT retrain_fit batch_id=11 reason=periodic train_n=5500 wall=0.4913010597229004 cpu=0.484375 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 6, 'buffer_size': 5500, 'global_batch_id': 11}
2026-01-29 01:34:18,802 | INFO | EVENT retrain_fit batch_id=13 reason=periodic train_n=6500 wall=0.600252628326416 cpu=0.59375 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 8, 'buffer_size': 6500, 'global_batch_id': 13}
2026-01-29 01:34:19,814 | INFO | EVENT retrain_fit batch_id=15 reason=periodic train_n=7500 wall=0.8789973258972168 cpu=0.875 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 10, 'buffer_size': 7500, 'global_batch_id': 15}
2026-01-29 01:34:21,024 | INFO | EVENT retrain_fit batch_id=17 reason=periodic train_n=8500 wall=1.08125638961792 cpu=1.078125 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 12, 'buffer_size': 8500, 'global_batch_id': 17}
2026-01-29 01:34:21,981 | INFO | EVENT retrain_fit batch_id=19 reason=periodic train_n=9500 wall=0.8719189167022705 cpu=0.875 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 14, 'buffer_size': 9500, 'global_batch_id': 19}
2026-01-29 01:34:23,002 | INFO | EVENT retrain_fit batch_id=21 reason=periodic train_n=10500 wall=0.9392266273498535 cpu=0.9375 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 16, 'buffer_size': 10500, 'global_batch_id': 21}
