ts,run_id,event_type,batch_id,reason,train_n,info,wall_fit_sec,cpu_fit_sec,cpu_fit_pct,rss_mb
2026-01-29 01:34:43,label_temporary__retrain_p4_all_seen_fit__013442,pretrain_fit,,pretrain,2500,"{""pretrain_batches"": 5, ""pre_acc"": 0.9988, ""pre_f1_macro"": 0.9966607287002354}",0.22765135765075684,0.21875,96.08991672941721,
2026-01-29 01:34:43,label_temporary__retrain_p4_all_seen_fit__013442,retrain_fit,9,periodic,4500,"{""period_batches"": 4, ""stream_batches_seen"": 4, ""buffer_size"": 4500, ""global_batch_id"": 9}",0.3905065059661865,0.390625,100.03034367725073,
2026-01-29 01:34:44,label_temporary__retrain_p4_all_seen_fit__013442,retrain_fit,13,periodic,6500,"{""period_batches"": 4, ""stream_batches_seen"": 8, ""buffer_size"": 6500, ""global_batch_id"": 13}",0.5673205852508545,0.5625,99.1502890294871,
2026-01-29 01:34:45,label_temporary__retrain_p4_all_seen_fit__013442,retrain_fit,17,periodic,8500,"{""period_batches"": 4, ""stream_batches_seen"": 12, ""buffer_size"": 8500, ""global_batch_id"": 17}",0.7552132606506348,0.765625,101.37864890513116,
2026-01-29 01:34:46,label_temporary__retrain_p4_all_seen_fit__013442,retrain_fit,21,periodic,10500,"{""period_batches"": 4, ""stream_batches_seen"": 16, ""buffer_size"": 10500, ""global_batch_id"": 21}",0.8980026245117188,0.875,97.43846800846198,
2026-01-29 01:34:47,label_temporary__retrain_p4_all_seen_fit__013442,retrain_fit,25,periodic,12500,"{""period_batches"": 4, ""stream_batches_seen"": 20, ""buffer_size"": 12500, ""global_batch_id"": 25}",1.0677580833435059,1.078125,100.9709050035034,
2026-01-29 01:34:49,label_temporary__retrain_p4_all_seen_fit__013442,retrain_fit,29,periodic,14500,"{""period_batches"": 4, ""stream_batches_seen"": 24, ""buffer_size"": 14500, ""global_batch_id"": 29}",1.2504520416259766,1.21875,97.46475349948214,
2026-01-29 01:34:50,label_temporary__retrain_p4_all_seen_fit__013442,retrain_fit,33,periodic,16500,"{""period_batches"": 4, ""stream_batches_seen"": 28, ""buffer_size"": 16500, ""global_batch_id"": 33}",1.4534199237823486,1.453125,99.97970828818823,
2026-01-29 01:34:53,label_temporary__retrain_p4_all_seen_fit__013442,retrain_fit,37,periodic,18500,"{""period_batches"": 4, ""stream_batches_seen"": 32, ""buffer_size"": 18500, ""global_batch_id"": 37}",2.057424306869507,2.0625,100.24670133008276,
2026-01-29 01:34:55,label_temporary__retrain_p4_all_seen_fit__013442,retrain_fit,41,periodic,20500,"{""period_batches"": 4, ""stream_batches_seen"": 36, ""buffer_size"": 20500, ""global_batch_id"": 41}",1.8642096519470215,1.84375,98.90250262755302,
2026-01-29 01:34:57,label_temporary__retrain_p4_all_seen_fit__013442,retrain_fit,45,periodic,22500,"{""period_batches"": 4, ""stream_batches_seen"": 40, ""buffer_size"": 22500, ""global_batch_id"": 45}",2.0992965698242188,2.015625,96.01430445669594,
