ts,run_id,batch_id,group,step_kind,n,pos_share,label_dist,acc,f1_macro,precision,recall,mix_weights,mix_alloc,wall_pred_sec,cpu_pred_sec,cpu_pred_pct,rss_mb
2026-01-29 01:29:42,label_temporary__quality_drop_acc_th0.05_bk3_ck2_quality_drop_last_window_wb1_fit__012941,6,mix,mix,500,0.1,"{""0"": 450, ""1"": 50}",0.966,0.8883210048481822,0.9817987152034261,0.8300000000000001,"{""mail"": 0.9, ""spam"": 0.1}","{""mail"": 450, ""spam"": 50}",0.04494786262512207,0.046875,104.28749502718473,
2026-01-29 01:29:42,label_temporary__quality_drop_acc_th0.05_bk3_ck2_quality_drop_last_window_wb1_fit__012941,7,mix,mix,500,0.1,"{""0"": 450, ""1"": 50}",0.96,0.872780011195359,0.9400143678160919,0.8266666666666667,"{""mail"": 0.9, ""spam"": 0.1}","{""mail"": 450, ""spam"": 50}",0.04696536064147949,0.046875,99.80760151685136,
2026-01-29 01:29:42,label_temporary__quality_drop_acc_th0.05_bk3_ck2_quality_drop_last_window_wb1_fit__012941,8,mix,mix,500,0.1,"{""0"": 450, ""1"": 50}",0.956,0.8505434782608695,0.9609929078014184,0.7888888888888889,"{""mail"": 0.9, ""spam"": 0.1}","{""mail"": 450, ""spam"": 50}",0.04673051834106445,0.046875,100.30918051856614,
2026-01-29 01:29:42,label_temporary__quality_drop_acc_th0.05_bk3_ck2_quality_drop_last_window_wb1_fit__012941,9,mix,mix,500,0.1,"{""0"": 450, ""1"": 50}",0.966,0.8951639758753808,0.9463540797597196,0.8566666666666667,"{""mail"": 0.9, ""spam"": 0.1}","{""mail"": 450, ""spam"": 50}",0.044904470443725586,0.046875,104.38827033656679,
2026-01-29 01:29:43,label_temporary__quality_drop_acc_th0.05_bk3_ck2_quality_drop_last_window_wb1_fit__012941,10,mix,mix,500,0.1,"{""0"": 450, ""1"": 50}",0.97,0.9055784265589002,0.9713676959897263,0.8588888888888888,"{""mail"": 0.9, ""spam"": 0.1}","{""mail"": 450, ""spam"": 50}",0.046041250228881836,0.046875,101.81087561040023,
2026-01-29 01:29:43,label_temporary__quality_drop_acc_th0.05_bk3_ck2_quality_drop_last_window_wb1_fit__012941,11,mix,mix,500,0.1,"{""0"": 450, ""1"": 50}",0.98,0.938949938949939,0.9891304347826086,0.9,"{""mail"": 0.9, ""spam"": 0.1}","{""mail"": 450, ""spam"": 50}",0.04402899742126465,0.046875,106.46392774176778,
2026-01-29 01:29:43,label_temporary__quality_drop_acc_th0.05_bk3_ck2_quality_drop_last_window_wb1_fit__012941,12,mix,mix,500,0.1,"{""0"": 450, ""1"": 50}",0.978,0.9321649255664228,0.9880694143167028,0.89,"{""mail"": 0.9, ""spam"": 0.1}","{""mail"": 450, ""spam"": 50}",0.0467829704284668,0.046875,100.19671596457074,
2026-01-29 01:29:43,label_temporary__quality_drop_acc_th0.05_bk3_ck2_quality_drop_last_window_wb1_fit__012941,13,mix,mix,500,0.1,"{""0"": 450, ""1"": 50}",0.972,0.9109460078367513,0.9849137931034483,0.86,"{""mail"": 0.9, ""spam"": 0.1}","{""mail"": 450, ""spam"": 50}",0.04289817810058594,0.03125,72.84691654439554,
2026-01-29 01:29:43,label_temporary__quality_drop_acc_th0.05_bk3_ck2_quality_drop_last_window_wb1_fit__012941,14,mix,mix,500,0.1,"{""0"": 450, ""1"": 50}",0.97,0.9055784265589002,0.9713676959897263,0.8588888888888888,"{""mail"": 0.9, ""spam"": 0.1}","{""mail"": 450, ""spam"": 50}",0.07299089431762695,0.0625,85.62711908697158,
2026-01-29 01:29:43,label_temporary__quality_drop_acc_th0.05_bk3_ck2_quality_drop_last_window_wb1_fit__012941,15,mix,mix,500,0.1,"{""0"": 450, ""1"": 50}",0.966,0.8883210048481822,0.9817987152034261,0.8300000000000001,"{""mail"": 0.9, ""spam"": 0.1}","{""mail"": 450, ""spam"": 50}",0.06482863426208496,0.0625,96.40801585813004,
2026-01-29 01:29:43,label_temporary__quality_drop_acc_th0.05_bk3_ck2_quality_drop_last_window_wb1_fit__012941,16,mix,mix,500,0.3,"{""1"": 150, ""0"": 350}",0.898,0.8636356344151573,0.9364089775561097,0.8300000000000001,"{""mail"": 0.7, ""spam"": 0.3}","{""mail"": 350, ""spam"": 150}",0.043537139892578125,0.046875,107.66669587312714,
2026-01-29 01:29:43,label_temporary__quality_drop_acc_th0.05_bk3_ck2_quality_drop_last_window_wb1_fit__012941,17,mix,mix,500,0.3,"{""0"": 350, ""1"": 150}",0.908,0.8786177197019274,0.9419191919191919,0.8466666666666667,"{""mail"": 0.7, ""spam"": 0.3}","{""mail"": 350, ""spam"": 150}",0.045034170150756836,0.046875,104.08762911158522,
2026-01-29 01:29:43,label_temporary__quality_drop_acc_th0.05_bk3_ck2_quality_drop_last_window_wb1_fit__012941,18,mix,mix,500,0.3,"{""0"": 350, ""1"": 150}",0.932,0.916397828310646,0.9322649049832803,0.9038095238095238,"{""mail"": 0.7, ""spam"": 0.3}","{""mail"": 350, ""spam"": 150}",0.038030147552490234,0.03125,82.17165068020815,
