ts,run_id,batch_id,group,step_kind,n,pos_share,label_dist,acc,f1_macro,precision,recall,mix_weights,mix_alloc,wall_pred_sec,cpu_pred_sec,cpu_pred_pct,rss_mb
2026-01-29 01:28:18,label_temporary__retrain_p8_all_seen_fit__012817,6,mix,mix,500,0.1,"{""0"": 450, ""1"": 50}",0.966,0.8883210048481822,0.9817987152034261,0.8300000000000001,"{""mail"": 0.9, ""spam"": 0.1}","{""mail"": 450, ""spam"": 50}",0.04737138748168945,0.046875,98.95213649403594,
2026-01-29 01:28:18,label_temporary__retrain_p8_all_seen_fit__012817,7,mix,mix,500,0.1,"{""0"": 450, ""1"": 50}",0.96,0.872780011195359,0.9400143678160919,0.8266666666666667,"{""mail"": 0.9, ""spam"": 0.1}","{""mail"": 450, ""spam"": 50}",0.05112028121948242,0.0625,122.26067327693156,
2026-01-29 01:28:18,label_temporary__retrain_p8_all_seen_fit__012817,8,mix,mix,500,0.1,"{""0"": 450, ""1"": 50}",0.956,0.8505434782608695,0.9609929078014184,0.7888888888888889,"{""mail"": 0.9, ""spam"": 0.1}","{""mail"": 450, ""spam"": 50}",0.048445940017700195,0.046875,96.75733401575812,
2026-01-29 01:28:18,label_temporary__retrain_p8_all_seen_fit__012817,9,mix,mix,500,0.1,"{""0"": 450, ""1"": 50}",0.966,0.8951639758753808,0.9463540797597196,0.8566666666666667,"{""mail"": 0.9, ""spam"": 0.1}","{""mail"": 450, ""spam"": 50}",0.047888755798339844,0.046875,97.88310265856815,
2026-01-29 01:28:18,label_temporary__retrain_p8_all_seen_fit__012817,10,mix,mix,500,0.1,"{""0"": 450, ""1"": 50}",0.97,0.9055784265589002,0.9713676959897263,0.8588888888888888,"{""mail"": 0.9, ""spam"": 0.1}","{""mail"": 450, ""spam"": 50}",0.050688982009887695,0.0625,123.30095717410221,
2026-01-29 01:28:18,label_temporary__retrain_p8_all_seen_fit__012817,11,mix,mix,500,0.1,"{""0"": 450, ""1"": 50}",0.98,0.938949938949939,0.9891304347826086,0.9,"{""mail"": 0.9, ""spam"": 0.1}","{""mail"": 450, ""spam"": 50}",0.046965837478637695,0.046875,99.80658818512708,
2026-01-29 01:28:18,label_temporary__retrain_p8_all_seen_fit__012817,12,mix,mix,500,0.1,"{""0"": 450, ""1"": 50}",0.978,0.9321649255664228,0.9880694143167028,0.89,"{""mail"": 0.9, ""spam"": 0.1}","{""mail"": 450, ""spam"": 50}",0.049185752868652344,0.046875,95.30198739699468,
2026-01-29 01:28:19,label_temporary__retrain_p8_all_seen_fit__012817,13,mix,mix,500,0.1,"{""0"": 450, ""1"": 50}",0.972,0.9109460078367513,0.9849137931034483,0.86,"{""mail"": 0.9, ""spam"": 0.1}","{""mail"": 450, ""spam"": 50}",0.04605531692504883,0.046875,101.77977946886163,
2026-01-29 01:28:19,label_temporary__retrain_p8_all_seen_fit__012817,14,mix,mix,500,0.1,"{""0"": 450, ""1"": 50}",0.974,0.9181679696843801,0.9859611231101512,0.87,"{""mail"": 0.9, ""spam"": 0.1}","{""mail"": 450, ""spam"": 50}",0.07532095909118652,0.078125,103.72278970242373,
2026-01-29 01:28:19,label_temporary__retrain_p8_all_seen_fit__012817,15,mix,mix,500,0.1,"{""0"": 450, ""1"": 50}",0.968,0.8982240089562872,0.9699473180076628,0.8488888888888888,"{""mail"": 0.9, ""spam"": 0.1}","{""mail"": 450, ""spam"": 50}",0.05164217948913574,0.046875,90.76882591653856,
2026-01-29 01:28:19,label_temporary__retrain_p8_all_seen_fit__012817,16,mix,mix,500,0.3,"{""1"": 150, ""0"": 350}",0.896,0.8605868222374743,0.9353233830845771,0.8266666666666667,"{""mail"": 0.7, ""spam"": 0.3}","{""mail"": 350, ""spam"": 150}",0.038372039794921875,0.03125,81.43950690923552,
2026-01-29 01:28:19,label_temporary__retrain_p8_all_seen_fit__012817,17,mix,mix,500,0.3,"{""0"": 350, ""1"": 150}",0.926,0.904556030769072,0.9521963824289406,0.8766666666666667,"{""mail"": 0.7, ""spam"": 0.3}","{""mail"": 350, ""spam"": 150}",0.048725128173828125,0.046875,96.20292805135834,
2026-01-29 01:28:19,label_temporary__retrain_p8_all_seen_fit__012817,18,mix,mix,500,0.3,"{""0"": 350, ""1"": 150}",0.908,0.8792422715053764,0.938176419883153,0.8485714285714285,"{""mail"": 0.7, ""spam"": 0.3}","{""mail"": 350, ""spam"": 150}",0.039903879165649414,0.03125,78.3131882248206,
2026-01-29 01:28:19,label_temporary__retrain_p8_all_seen_fit__012817,19,mix,mix,500,0.3,"{""0"": 350, ""1"": 150}",0.932,0.9129294626211304,0.9557291666666667,0.8866666666666667,"{""mail"": 0.7, ""spam"": 0.3}","{""mail"": 350, ""spam"": 150}",0.03532695770263672,0.046875,132.68903706503252,
2026-01-29 01:28:19,label_temporary__retrain_p8_all_seen_fit__012817,20,mix,mix,500,0.3,"{""1"": 150, ""0"": 350}",0.924,0.9026858699883225,0.9445043103448276,0.8771428571428572,"{""mail"": 0.7, ""spam"": 0.3}","{""mail"": 350, ""spam"": 150}",0.04108595848083496,0.046875,114.09007294271936,
2026-01-29 01:28:20,label_temporary__retrain_p8_all_seen_fit__012817,21,mix,mix,500,0.3,"{""1"": 150, ""0"": 350}",0.924,0.9022150856389988,0.9476865739478229,0.8752380952380951,"{""mail"": 0.7, ""spam"": 0.3}","{""mail"": 350, ""spam"": 150}",0.0347442626953125,0.03125,89.94290733421168,
2026-01-29 01:28:21,label_temporary__retrain_p8_all_seen_fit__012817,22,mix,mix,500,0.3,"{""0"": 350, ""1"": 150}",0.95,0.9375845729037156,0.9638914103565472,0.9185714285714286,"{""mail"": 0.7, ""spam"": 0.3}","{""mail"": 350, ""spam"": 150}",0.04579496383666992,0.046875,102.35841689313716,
2026-01-29 01:28:21,label_temporary__retrain_p8_all_seen_fit__012817,23,mix,mix,500,0.3,"{""0"": 350, ""1"": 150}",0.944,0.9299383457442549,0.957304133774722,0.9104761904761904,"{""mail"": 0.7, ""spam"": 0.3}","{""mail"": 350, ""spam"": 150}",0.05210542678833008,0.0625,119.94911826343196,
